"rownum","string","string"
0,"2HSharpMetal","OnHit_2HSharpMetalSG"
1,"1HSword","OnHit_1HSwordSG"
2,"2HBluntWood","OnHit_2HBluntWoodSG"
3,"Stab","OnHit_StabSG"
4,"Claw","OnHit_ClawSG"
5,"Unarmed","OnHit_UnarmedSG"
6,"Arrow","OnHit_ArrowSG"
7,"Wand","OnHit_ElementalSG"
8,"2HBluntMetal","OnHit_2HBluntMetalSG"
9,"SpearMetal","OnHit_SpearMetalSG"
10,"1HAxe","OnHit_1HAxeSG"
11,"Flail","OnHit_FlailSG"
12,"StaffWood","OnHit_StaffWoodSG"
13,"StaffMetal","OnHit_StaffMetalSG"
14,"Beast","OnHit_BeastSG"
15,"ShieldMetal","OnHit_ShieldMetalSG"
16,"ShieldWood","OnHit_ShieldWoodSG"
17,"SpearWood","OnHit_SpearWoodSG"
18,"MonsterBlunt","OnHit_MonsterBluntSG"
19,"MonsterStab","OnHit_MonsterStabSG"
20,"Snap","OnHit_SnapSG"
21,"1HBluntWood","OnHit_1HBluntWoodSG"
22,"1HBluntMetal","OnHit_1HBluntMetalSG"
23,"2HAxe","OnHit_2HAxeSG"
24,"Constant","OnHit_ConstantSG"
25,"1HBluntStone","OnHit_1HBluntStoneSG"
26,"2HBluntStone","OnHit_2HBluntStoneSG"
