"rownum","Id","ArmFiles","TdtFiles","bool","[string]","[i32]","row","WorldAreasKey","bool","i32"
0,"MissionFish","[""Metadata/Terrain/Missions/Fish/mission_room.arm""]","[""Metadata/Terrain/Islands/Tiles/Island/Volcano/Pools_02.tdt""]","",[],[0],"","","",39
1,"Shrine","[""Metadata/Terrain/generic_shrine.arm""]",[],"",[],[8],"","","",39
2,"ExpeditionEncounter","[""Metadata/Terrain/Gallows/Leagues/Expedition/encounter.arm""]",[],"",[],[0],"","","",39
3,"ExpeditionBossSideArea","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Boss_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurBossEntrance_01.tdt""]","","[""link""]",[8],"",370,"",39
4,"ExpeditionSideAreaKalguur","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Kalguur_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/KalguurEntrance_01.tdt""]","","[""link""]",[8],"",369,"",39
5,"ExpeditionSideAreaCavern","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Cavern_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/CavernEntrance_01.tdt""]","","[""link""]",[8],"",368,"",39
6,"ExpeditionSideAreaPrecursor","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Precursor_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/PrecursorEntrance_01.tdt""]","","[""link""]",[8],"",371,"",39
7,"ExpeditionSideAreaShrike","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Shrike_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/ShrikeEntrance_01.tdt""]","","[""link""]",[8],"",372,"",39
8,"ExpeditionSideAreaVolcano","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Volcano_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/VolcanoEntrance_01.tdt""]","","[""link""]",[8],"",374,"",39
9,"ExpeditionSideAreaSiren","[""Metadata/Terrain/Gallows/Leagues/Expedition/ExpeditionTerrainFeatures/Siren_Entrance_01.arm""]","[""Metadata/Terrain/Leagues/Expedition/Tiles/TerrainFeatures/SirenEntrance_01.tdt""]","","[""link""]",[8],"",373,"",39
