"rownum","HideoutNPC","Order","AddMod","Cost_BaseItemTypes","Cost_Values","RequiredLevel","Name","CraftingBenchCustomAction","ItemClasses","Links","SocketColours","Sockets","ItemQuantity","[i32]","Description","IsDisabled","IsAreaOption","RecipeIds","Tier","CraftingItemClassCategories","i32","UnlockCategory","UnveilsRequired","UnveilsRequired2","[rid]","KalandraAchievement","i32","i32","VeiledMod","AddEnchantment","SortCategory","ModType","bool","i32","Stat1","Stat2","Stat3"
0,4,0,"",[22],[1],0,"Two Sockets",7,[],0,"",2,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4119,4119,"","",3,"","",0,"","",""
1,4,1,"",[22],[3],0,"Three Sockets",7,[],0,"",3,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4119,4119,"","",3,"","",0,"","",""
2,4,2,"",[22],[10],0,"Four Sockets",7,[],0,"",4,0,[],"","","",[234],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4119,4119,"","",3,"","",0,"","",""
3,4,3,"",[22],[70],0,"Five Sockets",7,[],0,"",5,0,[],"","","",[237],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4119,4119,"","",3,"","",0,"","",""
4,4,4,"",[22],[350],0,"Six Sockets",7,[],0,"",6,0,[],"","","",[238],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8850],4119,4119,"","",3,"","",0,"","",""
5,4,5,"",[21],[1],0,"Two Linked Sockets",7,[],2,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4119,4119,"","",3,"","",0,"","",""
6,4,6,"",[21],[3],0,"Three Linked Sockets",7,[],3,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4119,4119,"","",3,"","",0,"","",""
7,4,7,"",[21],[5],0,"Four Linked Sockets",7,[],4,"",0,0,[],"","","",[239],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4119,4119,"","",3,"","",0,"","",""
8,4,8,"",[21],[150],0,"Five Linked Sockets",7,[],5,"",0,0,[],"","","",[242],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4119,4119,"","",3,"","",0,"","",""
9,4,9,"",[21],[1500],0,"Six Linked Sockets",7,[],6,"",0,0,[],"","","",[243],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8849],4119,4119,"","",3,"","",0,"","",""
10,4,10,"",[20],[4],0,"At Least One Red Socket",7,[],0,"R",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4,9,10]",1,"",0,0,[],[8848],4119,4119,"","",3,"","",0,"","",""
11,4,11,"",[20],[25],0,"At Least Two Red Sockets",7,[],0,"RR",0,0,[],"","","",[244],0,"[0,1,2,3,6,7,8,5,4]",1,"",0,0,[],[8848],4119,4119,"","",3,"","",0,"","",""
