"rownum","BaseItemType","Tier","AreaLevel"
0,2689,1,1
1,2689,2,4
2,2689,3,7
3,2689,4,11
4,2689,5,15
5,2689,6,19
6,2689,7,23
7,2689,8,27
8,2689,9,32
9,2689,10,37
10,2689,11,42
11,2689,12,47
12,2689,13,53
13,2689,14,59
14,2691,1,1
15,2691,2,35
16,2691,3,53
17,2691,4,85
18,2691,5,86
19,2691,6,87
20,2691,7,88
21,2691,8,89
22,2691,9,90
23,2691,10,91
24,2691,11,92
25,2690,1,1
26,3029,1,1
27,3029,2,4
28,3029,3,7
29,3029,4,11
30,3029,5,15
31,3029,6,19
32,3029,7,23
33,3029,8,27
34,3029,9,32
35,3029,10,37
36,3029,11,42
37,3029,12,47
38,3029,13,53
39,3029,14,59
