"rownum","Id","IsSupport","AllowedActiveSkillTypes","BaseEffectiveness","IncrementalEffectiveness","SupportGemLetter","i32","AddedActiveSkillTypes","ExcludedActiveSkillTypes","SupportsGemsOnly","i32","[i32]","bool","i32","CastTime","ActiveSkill","bool","bool","[i32]","rid","MultiPartAchievement","bool","SupportWeaponRestrictions","GrantedEffect","i32","i32","i32","bool"
0,"Fireball","",[],2.921,0.0474,"",3,[],[],"",-800852557,[],"",2,750,45,"","",[],"","","",[],"",0,0,0,""
1,"FireballRoyale","",[],3.4315,0.0412,"",3,[],[],"",-1174666910,[],"",2,750,45,"","",[],"","","",[],"",0,0,0,""
2,"MonsterFireball","",[],2.5,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
3,"MonsterFireballContactPos","",[],2.5,0.0394,"",3,[],[],"",0,[],"",2,1330,45,"","",[],"","","",[],"",0,0,0,""
4,"BlightMonsterFireball","",[],2.5,0.045,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
5,"GemlingFireball1","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,10,0,""
6,"GemlingFireball2","",[],1.7889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,11,0,""
7,"GemlingFireball3","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,3000,45,"","",[],"","","",[],"",1,11,0,""
8,"FireballSuperNovaCitystalker","",[],0.6111,0.0394,"",3,[],[],"",0,[],"",2,2300,45,"","",[],"","","",[],"",0,7,0,""
9,"MonsterFireball3Parallel","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,45,"","",[],"","","",[],"",0,8,0,""
10,"HolyFireElementalFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,9,0,""
11,"LegionTemplarFireball","",[],2.75,0.04,"",3,[],[],"",0,[],"",2,1330,45,"","",[],"","","",[],"",0,9,0,""
12,"HolyCitystalkerFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,9,0,""
13,"AbberathMinionFireball","",[],1.7833,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,8,0,""
14,"AbberathMinionFireballMap","",[],1.605,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,8,0,""
15,"ExileShadowFireball","",[],0.9444,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
16,"AvariusFireball","",[],4.4444,0.03,"",3,[],[],"",0,[],"",2,1200,45,"","",[],"","","",[],"",0,6,0,""
17,"AvariusWickermanFireball","",[],2,0.03,"",3,[],[],"",0,[],"",2,1200,45,"","",[],"","","",[],"",0,12,0,""
18,"AvariusJudgeFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,7,0,""
19,"BlackguardClericBossFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,1200,45,"","",[],"","","",[],"",0,7,0,""
20,"VaalSideAreaBossHolyFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,7,0,""
21,"PhoenixMinionFireball","",[],4.6444,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,5,0,""
22,"IzaroDaemonFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
23,"MonsterFireballSideArea","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
24,"ProphecyFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,2,0,""
25,"EssenceFireballBurst","",[],1.5222,0.0414,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,2,0,""
26,"ProphecyMultiFireball","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
27,"MonsterFireballStrMissionBoss","",[],0.5889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
28,"MonsterFireballKaomsChest","",[],1.5222,0.0414,"",1,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
29,"MonsterMultiFireball","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,21,0,""
30,"MonsterMultiFireballSpectre","",[],0.7778,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,21,0,""
31,"MonsterSplitFireball","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,21,0,""
32,"MonsterSplitFireballSpectre","",[],0.9556,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,21,0,""
33,"MonsterLesserMultiFireball","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,21,0,""
34,"MonsterLesserMultiFireballSpectre","",[],0.8889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,21,0,""
35,"MonsterFireballGoatmanBoss","",[],1.0222,0.0339,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
36,"MonsterFireballVaalSummonedSkeleton","",[],1.1889,0.0475,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
37,"PyroFireball","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,930,45,"","",[],"","","",[],"",0,0,0,""
38,"PyroFireballInvasion","",[],1.1889,0.0394,"",4,[],[],"",0,[],"",2,930,45,"","",[],"","","",[],"",0,0,0,""
39,"BloodlinesYellowElementalPyroFireball","",[],0.4467,0.034,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
40,"PyroFireballBossSideArea","",[],1.0222,0.0394,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
41,"PyroChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
42,"WbAnimatedItemChaosFireball","",[],1.3556,0.0285,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
43,"GladiatorBossFireball","",[],0.9444,0.048,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
44,"ExileFireball","",[],0.9444,0.048,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
45,"GemlingFireball","",[],0.7778,0.04,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
46,"ProphecyDragonFireball","",[],1.7778,0.0414,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
47,"FrostfireMageDragonFireball","",[],1.7778,0.0414,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
48,"WestFireball","",[],3,0.0414,"",4,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
49,"KitavaClericFireball","",[],1.7778,0.041,"",4,[],[],"",0,[],"",2,2300,45,"","",[],"","","",[],"",0,0,0,""
50,"MetamorphKitavaClericFireballVaal","",[],1.7778,0.041,"",4,[],[],"",0,[],"",2,2300,46,"","",[],"","","",[],"",0,0,0,""
51,"MonsterFireballRepeat","",[],1.1889,0.0394,"",3,[],[],"",0,[],"",2,850,45,"","",[],"","","",[],"",0,0,0,""
