"rownum","Id","rid","rid","rid","i32","bool","bool","bool","bool","i32","i32","i32","bool","i32","bool","bool","rid","i32","f32","f32","f32","bool","rid","row"
0,0,118,20,451,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
1,1,128,20,510,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
2,2,129,20,515,0,"","","","",10,15,0,"",4,"","","",0,1,1,1,1,"",8
3,3,137,20,551,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
4,4,144,20,574,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
5,5,128,20,510,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
6,6,184,20,765,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
7,7,216,20,1009,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
8,8,283,20,1230,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
9,9,302,20,1362,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
10,10,308,31,1387,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
11,11,130,31,515,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
12,12,342,20,1520,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
13,13,349,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
14,14,350,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
15,15,368,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
16,16,368,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
17,17,372,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
18,18,384,24,1717,0,"","","",1,0,15,0,"",4,"","","",0,1,1,1,1,"",8
19,19,390,31,1725,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
20,20,369,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
21,21,370,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
22,22,392,20,1744,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
23,23,399,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
24,24,399,31,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
25,25,405,20,1790,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
26,26,406,20,1791,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
27,27,396,20,1768,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
28,28,373,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
29,29,393,20,1744,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
30,30,425,31,1865,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
31,31,427,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
32,32,441,20,515,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
33,33,421,20,1846,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
34,34,448,20,2011,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
35,35,471,26,2107,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
36,36,451,20,2050,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
37,37,452,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
38,38,453,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
39,39,468,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
40,40,473,26,2108,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
41,41,472,25,2107,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
42,42,495,20,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
43,43,496,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
44,44,497,20,792,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
45,45,525,31,2384,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
46,46,495,40,"",0,1,1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
47,47,504,20,1744,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
48,48,510,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
49,49,517,20,"",0,"",1,"","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
50,50,521,20,2378,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
51,51,522,20,2380,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
52,52,523,20,2379,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
53,53,526,31,2413,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
54,54,527,31,2414,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
55,55,544,40,2434,0,"","","","",0,15,50,"",4,"","","",0,1,1,1,1,"",8
56,56,546,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
57,57,547,20,"",50,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
58,58,549,31,2444,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
59,59,567,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
60,60,570,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
61,61,577,31,2522,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
62,62,574,31,"",0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
63,63,590,20,2590,20,1,1,"","",0,8,0,"",2,"","","",0,1,1,1,1,"",8
64,64,591,20,2582,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
65,65,601,20,2707,50,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
66,66,600,20,"",0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
67,67,603,20,2633,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
68,68,605,20,2634,25,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
69,69,611,26,"",0,"","","","",0,0,0,"",4,"","","",0,1,1,1,1,"",8
70,70,638,24,2773,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
71,71,645,24,2773,25,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
72,72,649,20,2802,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
73,73,650,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
74,74,651,24,2821,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
75,75,652,24,2822,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
76,76,656,20,2840,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",8
77,77,660,20,2917,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
78,78,551,31,2941,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
79,79,672,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
80,80,678,20,3125,0,"","","","",0,11,0,"",4,"","","",0,1,1,1,1,"",8
81,81,574,20,2840,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
82,82,677,20,3188,25,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
83,83,684,20,3153,0,1,"","","",0,18,0,"",4,"","","",0,1,1,1,1,"",8
84,84,701,20,3208,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
85,85,699,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
86,86,717,20,"",0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
87,87,718,20,"",0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
88,88,721,20,3284,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
89,89,553,31,3021,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
90,90,405,20,1790,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
91,91,740,20,3438,25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
92,92,741,20,"",25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
93,93,744,20,2582,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
94,94,746,20,551,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
95,95,756,20,1789,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
96,96,740,20,3438,25,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
97,97,555,31,3481,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
98,98,89,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
99,99,766,20,2582,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
100,100,767,24,2633,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
101,101,769,20,3518,0,"","","","",0,9,0,"",4,"","","",0,1,1,1,1,"",8
102,102,772,26,3530,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
103,103,277,28,1192,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
104,104,267,28,1374,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
105,105,800,20,3600,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
106,106,806,20,3611,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
107,107,807,20,3612,20,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
108,108,781,28,3584,0,"","","","",0,13,0,"",4,"","","",0,1,1,1,1,"",8
109,109,818,20,3676,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
110,110,822,20,3664,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
111,111,824,20,1455,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
112,112,826,20,3696,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
113,113,849,20,3784,0,1,"","","",4,20,0,"",4,"","","",0,1,1,1,1,"",8
114,114,850,20,3797,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
115,115,853,31,3817,0,"","",1,"",0,10,-50,"",4,"","","",0,1,1,1,1,"",8
116,116,862,20,"",0,1,"","","",0,10,400,"",4,"","","",0,1,1,1,1,"",8
117,117,861,20,"",10,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
118,118,852,20,3886,0,1,"","","",0,10,-50,"",4,"","","",0,1,1,1,1,"",8
119,119,863,20,3797,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
120,120,860,20,"",0,"","",1,"",0,3,0,1,4,"","","",0,1,1,1,1,"",8
121,121,864,31,3895,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
122,122,871,31,3954,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
123,123,876,31,4032,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
124,124,878,20,4176,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
125,125,879,20,4055,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
126,126,881,20,"",0,"","","","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
127,127,882,20,4058,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
128,128,883,20,4059,0,"","","","",0,8,0,"",4,"","","",0,1,1,1,1,"",8
129,129,886,20,4086,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
130,130,887,20,"",0,"",1,"","",0,5,0,"",4,"","","",0,1,1,1,1,"",8
131,131,891,20,4157,0,1,1,1,"",0,7,100,1,4,"","","",0,1,1,1,1,"",8
132,132,892,29,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
133,133,896,20,4359,0,1,"","","",0,15,0,"",3,"","","",0,1,1,1,1,"",8
134,134,904,20,"",0,"",1,1,"",0,5,0,"",4,"","","",0,1,1,1,1,"",8
135,135,911,20,"",0,1,1,1,"",0,5,0,"",4,"","","",0,1,1,1,1,"",8
136,136,912,20,4243,0,1,"","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
137,137,901,20,4191,0,"","","","",0,10,0,"",4,"","","",0,1,1,1,1,"",8
138,138,932,20,3797,0,1,"","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
139,139,1035,20,5110,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
140,140,935,20,3797,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
141,141,936,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
142,142,937,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
143,143,938,20,"",0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
144,144,946,31,4506,0,"","","","",0,15,0,"",4,"","","",0,1,1,1,1,"",8
145,145,949,20,"",0,"","","","",0,1,0,"",4,"","","",0,1,1,1,1,"",8
