"rownum","rid","[rid]"
0,326,"[1430,1431,1432,1433]"
1,327,"[1434,1435,1436]"
2,328,"[1437,1438,1439,1440]"
3,329,"[1441,1442,1443]"
4,330,"[1444,1445,1446]"
5,331,"[1447,1448]"
6,332,"[1449,1450]"
7,333,"[1451,1452]"
8,334,[1453]
9,335,[1454]
10,336,"[1455,1456]"
11,337,"[1457,1458]"
12,338,"[1459,1460,1461]"
13,339,"[1462,1463,1464]"
14,340,"[1465,1466]"
15,341,"[1467,1468]"
16,342,"[1469,1470]"
17,343,[1471]
18,344,"[1472,1473,1474,1475]"
19,345,"[1476,1477]"
20,346,"[1478,1479,1480]"
21,349,"[129,130,131,132,133,134,140,141,142,143,144,165,166,178,179,180,181,318,385,386,308,309,310,311,322,324,326,327,328,343,344,345]"
