"rownum","ModsKey","i32","i32","i32"
0,21729,2,9,100
1,21730,10,14,100
2,21731,15,20,100
3,21739,21,30,50
4,21732,2,9,100
5,21733,10,14,100
6,21734,15,30,100
7,21645,15,30,10
8,21646,15,30,10
9,21647,15,30,10
10,21648,10,14,0
11,21649,15,30,0
12,21650,10,14,0
13,21651,15,30,0
14,21652,10,14,0
15,21653,15,30,0
16,21654,10,14,20
17,21655,15,30,20
18,21656,5,14,35
19,21657,15,30,35
20,21658,5,9,50
21,21659,10,15,50
22,21660,15,30,50
23,21661,2,9,25
24,21662,10,14,25
25,21663,15,20,25
26,21744,21,30,25
27,21664,5,9,25
28,21665,10,14,25
29,21666,15,30,25
30,21667,5,9,25
31,21668,10,14,25
32,21669,15,30,25
33,21670,2,9,25
34,21671,10,14,25
35,21672,15,20,25
36,21745,21,30,25
37,21673,5,9,25
38,21674,10,14,25
39,21675,15,30,25
40,21676,5,9,25
41,21677,10,14,25
42,21678,15,30,25
43,21679,2,9,25
44,21680,10,14,25
45,21681,15,20,25
46,21742,21,30,25
47,21682,5,9,25
48,21683,10,14,25
49,21684,15,30,25
50,21685,5,9,25
51,21686,10,14,25
52,21687,15,30,25
53,21688,2,9,25
54,21689,10,14,25
55,21690,15,20,25
56,21743,21,30,25
57,21691,10,14,25
58,21692,15,17,25
59,21693,15,30,25
60,21694,5,9,25
61,21695,10,14,25
62,21696,15,30,25
63,21697,2,9,25
64,21698,10,14,25
65,21699,15,20,25
66,21746,21,30,25
67,21700,10,14,25
68,21701,15,17,25
69,21702,18,30,25
70,21703,10,14,20
71,21704,15,30,20
72,21705,2,9,20
73,21706,10,14,20
74,21707,15,30,20
75,21708,10,14,10
76,21709,15,17,10
77,21710,15,30,10
78,21711,2,9,100
79,21712,10,14,100
80,21713,15,30,100
81,21714,10,14,25
82,21715,15,30,25
83,21716,10,14,25
84,21717,15,30,25
85,21718,10,14,25
86,21719,15,30,25
87,21720,10,14,0
88,21721,15,30,0
89,21722,10,14,10
90,21723,15,20,10
91,21741,21,30,10
92,21724,10,14,10
93,21725,15,30,10
94,21726,2,9,30
95,21727,10,14,30
96,21728,15,30,30
97,21735,2,9,40
98,21736,10,14,40
99,21737,15,20,40
100,21740,21,30,40
