"rownum","BaseItemTypesKey","Stacks","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","bool","CosmeticTypeName","Possession_AchievementItemsKey","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","rid","rid","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","i32","[i32]","ShopTag"
0,4,40,2,"add_armour_quality","Right click this item then left click an armour to apply it. Has greater effect on lower-rarity armours. The maximum quality is 20%.","","Improves the quality of an armour",[],"","",1140,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an armour to apply it. Has greater effect on lower rarity armours. The maximum quality is 20%.",100,"","",[],[],[],19,[],""
1,5,10,2,"duplicate","Right click this item then left click an equipable non-unique item to apply it. Mirrored copies cannot be modified.","","Creates a mirrored copy of an item",[],"","",1141,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an equipable non-unique item to apply it. Mirrored copies cannot be modified.",100,"","",[],[],[],19,[],""
2,1,40,2,"identify","Right click this item then left click an unidentified item to apply it.","","Identifies an item",[],1,"",1142,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an unidentified item to apply it.",100,"","",[],[],[],19,[],""
3,8,40,1,"skill_point_respec","Right click on this item to use it.","","Grants a passive skill refund point",[],"","",1143,[12],[64],5000,"<<xbox_button_a>> to use.",100,"","",[],[],[],19,[],""
4,9,40,1,"atlas_skill_point_respec","Right click on this item to use it.","","Grants an atlas passive skill refund point",[],"","","",[],[],5000,"<<xbox_button_a>> to use.",100,"","",[],[],[],19,[],""
5,2,10,2,"reroll","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers",[8257],"","",1144,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",100,"","",[],[7257],[],19,[],""
6,3,10,2,"reroll_rare_veiled","Right click this item then left click a rare item to apply it.","","Reforges a rare item with new random modifiers, including a Veiled modifier. Can only be used on items that can have a Veiled modifier.",[7779],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it.",100,"","",[],[],[],19,[],""
7,7,20,2,"transmute_to_random","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a random rarity",[7961],"","",1145,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",100,"","",[],[7255],[],19,[],""
8,10,40,2,"transmute_to_magic","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a magic item","[7960,8245]","","",1146,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",100,"","",[],[7253],[],19,[],""
9,6,10,2,"transmute_to_rare","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to a rare item",[7962],"","",1147,[8],[8],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",100,"","",[7003],[7256],[],19,[],""
10,0,20,2,"add_weapon_quality","Right click this item then left click a weapon to apply it. Has greater effect on lower-rarity weapons. The maximum quality is 20%.","","Improves the quality of a weapon",[],"","",1148,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on weapon to apply it. Has greater effect on lower rarity weapons. The maximum quality is 20%.",100,"","",[],[],[],19,[],""
11,15,30,2,"add_mod_to_magic","Right click this item then left click a magic item to apply it. Magic items can have up to two random modifiers.","","Augments a magic item with a new random modifier",[8247],"","",1149,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a magic item to apply it. Magic items can have up to two random modifiers.",100,"","",[],[],[],19,[],""
12,11,20,2,"reroll_magic","Right click this item then left click a magic item to apply it.","","Reforges a magic item with new random modifiers",[8246],"","",1150,[15],[64],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a magic item to apply it.",100,"","",[],[7254],[],19,[],""
13,12,30,2,"convert_to_normal","Right click this item then left click on a magic or rare item to apply it.","","Removes all modifiers from an item",[],"","",1151,[7],[96],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a magic or rare item to apply it.",100,"","",[],[],[],19,[],""
14,13,10,2,"add_mod_to_rare","Right click this item then left click a rare item to apply it. Rare items can have up to six random modifiers.","","Augments a rare item with a new random modifier",[8340],"","",1152,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a rare item to apply it. Rare items can have up to six random modifiers.",100,"","",[],[],[],19,[],""
15,14,10,2,"upgrade_magic_to_rare","Right click this item then left click a magic item to apply it. Current modifiers are retained and a new one is added.","","Upgrades a magic item to a rare item",[],"","",1153,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a magic item to apply it. Current modifiers are retained and a new one is added.",100,"","",[],[7258],[],19,[],""
16,16,40,1,"town_portal","Right click on this item to use it.","","Creates a portal to town",[],1,"",1154,[],[],5000,"<<xbox_button_a>> to use.",100,"","",[],[],[],19,[],""
17,17,20,2,"add_flask_quality","Right click this item then left click a flask to apply it. Has greater effect on lower-rarity flasks. The maximum quality is 20%.","","Improves the quality of a flask",[8258],"","",1155,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a flask to apply it. Has greater effect on lower rarity flasks. The maximum quality is 20%.",100,"","",[],[],[],19,[],""
18,18,20,2,"add_gem_quality","Right click this item then left click a gem to apply it. The maximum quality is 20%.","","Improves the quality of a gem",[],"","",1156,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a gem to apply it. The maximum quality is 20%.",100,"","",[],[],[],19,[],""
19,25,20,2,"add_map_quality","Right click this item then left click a map to apply it. Has greater effect on lower-rarity maps. The maximum quality is 20%.","","Improves the quality of a map",[7965],"","",1157,[2],[12],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a map to apply it. Has greater effect on lower rarity maps. The maximum quality is 20%.",100,"","",[7004],[],[],19,[],""
