"rownum","BaseItemTypesKey","AddedModsKeys","NegativeWeight_TagsKeys","NegativeWeight_Values","ForcedAddModsKeys","ForbiddenDelveCraftingTagsKeys","AllowedDelveCraftingTagsKeys","CanMirrorItem","CorruptedEssenceChance","CanImproveQuality","CanRollEnchant","HasLuckyRolls","SellPrice_ModsKeys","CanRollWhiteSockets","Weight_TagsKeys","Weight_Values","DelveCraftingModifierDescriptionsKeys","BlockedDelveCraftingModifierDescriptionsKeys","bool","bool"
0,239,[],[310],[0],[],[],[],"",0,"","","",[],"",[309],[1000],"[11,29]","[12,57]","",""
1,240,[],[309],[0],[],[],[],"",0,"","","",[],"",[310],[1000],"[12,28]","[11,51]","",""
2,241,[],[313],[0],[],[],[],"",0,"","","",[],"",[311],[1000],"[13,27]","[10,45]","",""
3,242,[],[312],[0],[],[],[],"",0,"","","",[],"",[313],[1000],"[10,31]","[14,58]","",""
4,243,[],[311],[0],[],[],[],"",0,"","","",[],"",[312],[1000],"[14,30]","[13,48]","",""
5,244,[],[317],[0],[],[],[],"",0,"","","",[],"",[316],[1000],"[17,33]","[18,53]","",""
6,245,[],[316],[0],[],[],[],"",0,"","","",[],"",[317],[1000],"[18,32]","[17,49]","",""
7,246,[],[318],[0],[],[],[],"",0,"","","",[],"","[315,314]","[1000,1000]","[16,34]","[15,52]","",""
8,247,[],"[315,314]","[0,0]",[],[],[],"",0,"","","",[],"",[318],[600],"[15,35]","[16,63]","",""
9,248,[],[319],[15],[],[],[],"",0,"","","",[],"",[34],[1000],"[19,26]",[25],"",""
10,249,[],[34],[15],[],[],[],"",0,"","","",[],"",[319],[1000],"[20,25]",[26],"",""
11,250,[],[324],[0],[],[],[],"",0,"","","",[],"",[323],[1000],"[21,37]","[22,43]","",""
12,251,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[1000],"[22,36]","[21,47]","",""
13,252,[],[],[],[],[],[],"",0,"","","",[],"","[320,321,645]","[1000,1000,1000]",[23],[],"",""
14,253,[],[],[],[],[],"[0,2,5,6,4,3,7]","",0,1,"","",[],"",[],[],[9],[],"",""
15,254,[],[639],[0],[],[],[],"",0,"","","",[],"",[630],[1000],"[39,42]","[41,61]","",""
16,255,[],[630],[0],[],[],[],"",0,"","","",[],"",[639],[1000],"[41,40]","[39,56]","",""
17,256,"[15773,15774,15775]",[],[],[],[],[],"",0,"","","",[],"",[27],[1000],[24],[],"",""
18,257,[],[],[],[],"[13,14,15]",[],"",0,"","","",[],"",[],[],[38],[],1,""
19,258,[],[],[],[15776],[],"[0,4,6,5,2]","",0,"","","",[],"",[],[],[5],[],"",""
20,259,[],[],[],[],[],[],1,0,"","","",[],"",[],[],[4],[],"",""
21,260,[],[],[],[],[],"[0,2,5,6,4,3,8,9,10,11]","",100,"","","",[],"",[],[],[3],[],"",""
22,261,"[15773,15774,15775,15777,15778,15779,15781,15782,15783,15780,15776]",[],[],[],[],[],"",10,"","","",[],"",[],[],[2],[],"",1
23,262,[],[],[],[],[],[],"",0,"","",1,[],"",[],[],[1],[],"",""
24,263,[],[],[],[],[],[],"",0,"","","","[15420,15421,15422,15423,15424,15425,15426,15427,15428]","",[],[],[0],[],"",""
25,9000,[],[638],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,64]","[44,73]","",""
26,9001,[],[313],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,27]","[45,10]","",""
27,9002,[],[320],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,65]","[46,74]","",""
28,9003,[],[323],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,36]","[47,21]","",""
29,9004,[],[311],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,30]","[48,13]","",""
30,9005,[],[316],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,32]","[49,17]","",""
31,9006,[],[27],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,66]","[50,75]","",""
32,9007,[],[309],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,28]","[51,11]","",""
33,9008,[],[318],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,34]","[52,15]","",""
34,9009,[],[317],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,33]","[53,18]","",""
35,9010,[],[637],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,67]","[54,76]","",""
36,9011,[],[645],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,68]","[55,77]","",""
37,9012,[],[630],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,40]","[56,39]","",""
38,9013,[],[310],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,29]","[57,12]","",""
39,9014,[],[312],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,31]","[58,14]","",""
40,9015,[],[34],[0],[],[],[],"",0,"","","",[],"",[324],[3000],"[43,69]","[59,19,25]","",""
