"rownum","Id","Text","BackgroundImage","i32","f32","f32","string","string","ForegroundImage","OGGFile","i32","i32"
0,"LegionMapDeviceAward","You have unlocked an additional item slot on the Map Device","Art/2DArt/UIImages/InGame/GenericRewardBackground",6,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice5","Audio/Sound Effects/UI/Atlas/Upgrade.ogg",2626,0
1,"AtlasMissionKirac","Atlas Mission from Kirac Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationKirac",1211,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2626,0
2,"AtlasMissionAlva","Atlas Mission from Alva Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationAlva",1211,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2626,0
3,"AtlasMissionNiko","Atlas Mission from Niko Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationNiko",1211,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2626,0
4,"AtlasMissionEinhar","Atlas Mission from Einhar Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationEinhar",1211,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2626,0
5,"AtlasMissionJun","Atlas Mission from Jun Received","Art/2DArt/UIImages/InGame/AtlasMissionNotificationJun",1211,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2626,0
6,"FavouredMapSlotUnlocked","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",1211,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
7,"HarvestCraftingBenchUnlocked","Horticrafting Station decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1211,3,2,"","","Art/2DArt/UIImages/InGame/HorticraftingDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
8,"HarvestSeedStashUnlocked","Seed Stockpile decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1211,3,2,"","","Art/2DArt/UIImages/InGame/SeedStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
9,"HeistStashUnlocked","Heist Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1211,3,2,"","","Art/2DArt/UIImages/InGame/HeistStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
10,"ExpeditionStashUnlocked","Expedition Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1211,3,2,"","","Art/2DArt/UIImages/InGame/ExpeditionStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
11,"FavouriteMapSlotUnlock1","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",355,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
12,"FavouriteMapSlotUnlock2","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",356,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
13,"FavouriteMapSlotUnlock3","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",357,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
14,"FavouriteMapSlotUnlock4","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",358,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
15,"FavouriteMapSlotUnlock5","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",359,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
16,"FavouriteMapSlotUnlock6","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",360,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
17,"FavouriteMapSlotUnlock7","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",361,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
18,"FavouriteMapSlotUnlock8","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",362,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
19,"FavouriteMapSlotUnlock9","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",363,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
20,"FavouriteMapSlotUnlock10","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",364,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
21,"FavouriteMapSlotUnlock11","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",365,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
22,"FavouriteMapSlotUnlock12","Favoured Map Slot Unlocked","Art/2DArt/UIImages/InGame/UnlockedFavouredMapNotification",366,3,2,"","","Art/2DArt/UIImages/InGame/UnlockedFavouredMapHeader","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
23,"ArchnemesisModPanelUnlocked","Archnemesis Inventory now available","Art/2DArt/UIImages/InGame/GenericRewardBackground",1164,3,2,"","","Art/2DArt/UIImages/InGame/ArchnemesisStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
24,"AtlasMissionGeneric","Craft Recieved","Art/2DArt/UIImages/InGame/AtlasMissionNotification",1211,3,2,"","","","Audio/Sound Effects/UI/Atlas/Receive.ogg",2626,-44
25,"SentinelStashUnlocked","Sentinel Locker decoration now available in your Hideout","Art/2DArt/UIImages/InGame/GenericRewardBackground",1211,3,2,"","","Art/2DArt/UIImages/InGame/SentinelStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2626,0
