"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","rid"
0,"Metadata/Items/Currency/CurrencyWeaponQuality",30,1,1,"Blacksmith's Whetstone","Metadata/Items/Currency/StackableCurrency",1,"",[],1,35,[348],31,1,0,1154719587,[],"","","",[],[],"","","","","",""
1,"Metadata/Items/Currency/CurrencyIdentification",30,1,1,"Scroll of Wisdom","Metadata/Items/Currency/StackableCurrency",1,"",[],1,27,[],31,1,1,1351093167,[7243],"","","",[],[],"","","","","",""
2,"Metadata/Items/Currency/CurrencyRerollRare",30,1,1,"Chaos Orb","Metadata/Items/Currency/StackableCurrency",12,"",[],1,34,[],31,1,2,1934876153,[7484],"","","",[],[],"","","","","",""
3,"Metadata/Items/Currency/CurrencyRerollRareVeiled",30,1,1,"Veiled Chaos Orb","Metadata/Items/Currency/StackableCurrency",61,"",[],1,34,[],31,1,3,-1550851543,[],"","","",[],[],"","","","","",""
4,"Metadata/Items/Currency/CurrencyArmourQuality",30,1,1,"Armourer's Scrap","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[348],31,1,4,-66826851,[],"","","",[],[],"","","","","",""
5,"Metadata/Items/Currency/CurrencyDuplicate",30,1,1,"Mirror of Kalandra","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],31,1,6,2042772245,[],"","","",[],[],"","","","","",""
6,"Metadata/Items/Currency/CurrencyUpgradeToRare",30,1,1,"Orb of Alchemy","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],31,1,7,-1861203649,[],"","","",[],[],"","","","","",""
7,"Metadata/Items/Currency/CurrencyUpgradeRandomly",30,1,1,"Orb of Chance","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],31,1,8,-982307707,[8657],"","","",[],[],"","","","","",""
8,"Metadata/Items/Currency/CurrencyPassiveRefund",30,1,1,"Orb of Regret","Metadata/Items/Currency/StackableCurrency",2,"",[],1,34,[],31,1,9,-1689566555,[],"","","",[],[],"","","","","",""
9,"Metadata/Items/Currency/CurrencyAtlasPassiveRefund",30,1,1,"Orb of Unmaking","Metadata/Items/Currency/StackableCurrency",70,"",[],1,34,[],31,1,10,-402031475,[],"","","",[],[],"",1,"","","",""
