"rownum","BaseItemTypesKey","i32","Description","Hash","AchievementItemsKeys"
0,8405,111,"Essence Item",52571,[]
1,8406,131,"Currency Item",52259,[]
2,8407,151,"Unique Item",18701,[]
3,8408,121,"Map Item",22038,[]
4,8409,251,"Unique Map Item",6696,[]
5,8410,301,"Rare Abyss Item",41772,[]
6,8411,301,"Fragment Item",60390,[]
7,8412,301,"Scarab Item",32186,[]
8,8413,151,"Essence Item",23218,[]
9,8414,301,"Fossil Item",19642,[]
10,8415,221,"Expedition Item",40101,[]
11,8416,151,"Stacked Decks",34745,[]
12,8417,151,"Talisman Item",43064,[]
13,8418,161,"Enchanted Helmet",19352,[]
14,8419,1001,"6-Linked Armour Item",6078,[]
15,8420,141,"Currency Item",14134,[]
16,8421,1501,"League-specific Unique Item",4526,[]
17,8422,501,"Shaper or Elder Armour Item",61377,[]
18,8423,501,"Shaper or Elder Weapon Item",53204,[]
19,8424,701,"Shaper or Elder Trinket Item",61894,[]
20,8425,501,"Elder Map Item",39336,[]
21,8426,351,"Breach Item",43164,[]
22,8427,351,"valuable Currency Shards or Harbinger Item",50482,[]
23,8428,501,"high level Corrupted Gem or Valuable Gem",15068,[]
24,8429,301,"Item",31223,[]
25,8430,121,"Quality Gem",16288,[]
26,8431,151,"Bestiary Item",28161,[]
27,8432,221,"Blight Item",19373,[]
28,8433,221,"Metamorph Item",62324,[]
29,8434,431,"Delirium Item",23535,[]
30,8435,111,"Essence Item",46750,[]
31,8436,131,"Currency Item",54300,[]
32,8437,151,"Unique Item",59184,[]
33,8438,121,"Map Item",43361,[]
34,8439,251,"Unique Map Item",37492,[]
35,8440,301,"Rare Abyss Item",2531,[]
36,8441,301,"Fragment Item",4173,[]
37,8442,301,"Scarab Item",25303,[]
38,8443,151,"Essence Item",31454,[]
39,8444,301,"Fossil Item",51101,[]
40,8445,221,"Expedition Item",41074,[]
41,8446,151,"Stacked Decks",47490,[]
42,8447,151,"Talisman Item",23793,[]
43,8448,161,"Enchanted Helmet",42868,[]
44,8449,1001,"6-Linked Armour Item",12755,[]
45,8450,141,"Currency Item",30048,[]
46,8451,1501,"League-specific Unique Item",32094,[]
47,8452,501,"Shaper or Elder Armour Item",38195,[]
48,8453,501,"Shaper or Elder Weapon Item",28068,[]
49,8454,701,"Shaper or Elder Trinket Item",52048,[]
50,8455,501,"Elder Map Item",56725,[]
51,8456,351,"Breach Item",39939,[]
52,8457,351,"valuable Currency Shards or Harbinger Item",19733,[]
53,8458,501,"high level Corrupted Gem or Valuable Gem",41974,[]
54,8459,301,"Item",55071,[]
55,8460,121,"Quality Gem",43471,[]
56,8461,151,"Bestiary Item",58563,[]
57,8462,221,"Blight Item",24651,[]
58,8463,221,"Metamorph Item",65346,[]
59,8464,431,"Delirium Item",12740,[]
