"rownum","BaseType","Type","i32","i32","i32","Visual","i32","UseAchievement","bool"
0,9442,0,8,30,15,1762,5,8669,""
1,9443,0,10,30,25,1752,10,8670,""
2,9444,0,8,40,30,1750,16,8671,""
3,9445,0,8,40,50,1758,22,8672,""
4,9446,0,10,50,75,1751,28,8673,""
5,9447,0,8,50,85,1763,34,8674,""
6,9448,0,12,100,100,1753,40,8675,1
7,9449,0,18,60,100,1756,45,8676,1
8,9450,0,12,60,150,1757,50,8677,1
9,9451,1,8,10,30,1752,18,8678,""
10,9452,1,10,10,30,1750,20,8679,""
11,9453,1,8,10,50,1758,22,8680,""
12,9454,1,10,10,80,1751,24,8681,""
13,9455,1,8,10,100,1763,26,8682,""
14,9456,1,12,10,200,1753,20,8683,1
15,9457,1,18,10,120,1756,30,8684,1
16,9458,1,12,10,70,1757,35,8685,1
17,9459,2,12,20,1,1752,30,8686,""
18,9460,2,8,30,1,1766,35,8687,""
19,9461,2,8,50,2,1758,40,8688,""
20,9462,2,10,30,2,1751,45,8689,""
21,9463,2,8,40,3,1763,42,8690,""
22,9464,2,12,50,3,1753,45,8691,1
23,9465,2,18,30,3,1756,50,8692,1
24,9466,2,12,30,3,1757,55,8693,1
25,9467,2,5,20,1,1754,100,8694,""
