"rownum","ModsKey","AtlasModTiers"
0,12247,2
1,12248,2
2,12249,3
3,12250,2
4,12251,3
5,12252,2
6,12253,3
7,12254,2
8,12255,3
9,12256,2
10,12257,2
11,12258,3
12,12259,2
13,12260,3
14,12261,2
15,12262,3
16,12263,2
17,12264,3
18,12265,2
19,12266,3
20,12267,2
21,12268,3
22,12269,2
23,12270,2
24,12271,2
25,12272,2
26,12273,3
27,12274,2
28,12275,3
29,12276,2
30,12277,3
31,12278,2
32,12279,3
33,12280,2
34,12281,3
35,12282,2
36,12283,3
37,12284,2
38,12285,3
39,12286,2
40,12287,2
41,12288,3
42,12289,2
43,12290,3
44,12291,2
45,12292,3
46,12293,2
47,12294,3
48,12295,2
49,12296,3
50,12297,2
51,12298,3
52,12299,2
53,12300,3
54,12301,2
55,12302,3
56,12303,2
57,12304,3
58,12305,2
59,12306,3
60,12307,2
61,12308,3
62,12309,2
63,12310,3
64,12311,2
65,12312,3
66,12313,2
67,12314,3
68,12315,2
69,12316,3
70,12317,2
71,12318,3
72,12319,2
73,12320,3
74,12321,2
75,12322,3
76,12323,2
77,12324,3
78,12325,2
79,12326,3
80,12327,2
81,12328,3
82,12329,2
83,12330,3
84,12331,2
85,12332,3
86,12333,2
87,12334,3
88,12335,2
89,12336,3
90,12337,2
91,12338,3
92,12339,2
93,12340,3
94,12341,2
95,12342,3
96,12343,2
97,12344,3
98,12345,2
99,12346,3
100,12347,2
101,12348,2
102,12349,2
103,12350,3
104,12351,3
105,12352,3
106,12353,2
107,12354,3
108,12355,2
109,12356,3
110,19525,2
111,19526,3
112,19536,2
113,19537,3
114,19540,2
115,19541,3
116,19542,2
117,19543,3
118,19544,2
119,19545,2
120,19546,2
121,19547,3
122,19548,2
123,19549,3
124,19550,2
125,19590,2
126,19591,3
127,19594,2
128,19595,3
129,19794,2
130,19795,3
131,21409,2
132,21410,3
133,19945,2
134,19946,3
135,21022,2
136,21023,3
137,21766,2
138,21767,3
139,21762,2
140,21763,3
141,23294,2
142,23295,3
