"rownum","BaseItemTypesKey","AOFile","bool"
0,553,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX.ao",1
1,554,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_SG.ao",""
2,555,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_TW.ao",""
3,556,"Metadata/Effects/Microtransactions/Misc/fireworks/Gore/gorefireworksMTX.ao",""
4,557,"Metadata/Effects/Microtransactions/Misc/arctic_aurora/arcticAurora.ao",""
5,558,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_BR.ao",""
6,559,"Metadata/Effects/misc/darksoulercoaster/rig.ao",""
7,560,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_Classic.ao",""
8,561,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_halloween.ao",""
9,562,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_frigid.ao",""
10,3725,"Metadata/Effects/Microtransactions/Misc/fireworks/fireworksMTX_valentine.ao",""
