"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
0,"IIQGrind",[],[1038],[],[],1,[0]
1,"TierGrind",[],[10018],[8218],[],1,[0]
2,"LeaguestoneGrind",[10],[],[],[],1,[0]
3,"Twinned",[3],[],[],[28],1,[0]
4,"RareUnid","[1,4]",[],[],[27],1,[0]
5,"Rare8Mod","[1,8]",[],[],[],1,[0]
6,"Rare8ModRed","[1,8,18]",[],[8094],[],1,[0]
7,"ShaperInfluenceGrind",[13],[],[],[],1,[0]
8,"ElderInfluenceGrind",[14],[],[],[],1,[0]
9,"ShaperElderInfluenceGrind",[15],[],[],[],1,[0]
10,"ZanaMod",[11],[],[],[],1,[0]
11,"CraftedMods",[12],[],[],[],1,[0]
12,"Corrupted",[5],[],[],[],1,[0]
13,"AnySextant",[19],[],[],[],1,[0]
14,"NemesisSextant",[20],[],[],[],1,[0]
15,"GroundHasteSextant",[21],[],[],[],1,[0]
16,"NoReflectSextant",[22],[],[],[],1,[0]
17,"ExtraTeamMonstersSextant",[23],[],[],[],1,[0]
18,"BodyguardsSextant",[24],[],[],[],1,[0]
19,"BarrelSextant","[25,26,27,28,29,30]",[],[],[],"",[0]
20,"ConvertOnDeathSextant",[31],[],[],[],1,[0]
21,"OnslaughtIfHitRecentlySextant",[32],[],[],[],1,[0]
22,"QualityAffectsRaritySextant",[33],[],[],[],1,[0]
23,"CorruptedDropsSextant",[34],[],[],[],1,[0]
24,"MinStrongboxRaritySextant",[35],[],[],[],1,[0]
25,"PossessedRustedScarabSextant",[36],[],[],[],1,[0]
26,"PossessedPolishedScarabSextant",[37],[],[],[],1,[0]
27,"PossessedGildedScarabSextant",[38],[],[],[],1,[0]
28,"PossessedUniqueDropSextant",[40],[],[],[],1,[0]
29,"PossessedMapDropSextant",[41],[],[],[],1,[0]
30,"ShrineDurationSextant",[42],[],[],[],1,[0]
31,"CurrencyShardSextant",[43],[],[],[],1,[0]
32,"VaalMonstersSextant",[44],[],[],[],1,[0]
