"rownum","JewelName","Limit"
0,617,1
1,489,1
2,494,1
3,493,1
4,495,1
5,498,1
6,499,1
7,501,1
8,502,1
9,504,1
10,512,1
11,513,1
12,516,1
13,517,1
14,518,1
15,526,1
16,527,1
17,528,1
18,529,1
19,531,1
20,532,1
21,709,1
22,710,1
23,711,1
24,712,1
25,734,1
26,807,1
27,842,1
28,843,1
29,844,1
30,845,1
31,846,1
32,847,1
33,883,1
34,881,2
35,880,1
36,879,2
37,869,2
38,878,1
39,877,2
40,875,2
41,874,1
42,870,1
43,871,1
44,873,2
45,872,2
46,888,2
47,889,1
48,635,2
49,600,1
50,876,1
51,597,2
52,616,1
53,619,1
54,618,1
55,636,1
56,637,1
57,792,2
58,534,1
59,533,1
60,535,1
61,536,1
62,537,1
63,538,1
64,539,1
65,634,1
66,724,3
67,523,1
68,907,2
69,908,2
70,919,1
71,963,2
72,969,1
73,964,1
74,988,1
75,970,1
76,1089,2
77,524,1
78,1091,1
79,1120,2
80,1172,1
81,554,1
82,1188,1
83,1189,1
84,510,1
85,508,1
86,1239,2
87,1291,1
88,530,1
89,1275,1
90,1292,1
91,1293,1
92,505,1
93,965,1
94,511,1
95,1353,1
96,1354,1
97,1365,1
98,1366,1
99,1367,1
100,1373,1
101,1372,1
