"rownum","ScarabType","Tier","BaseItemTypesKey"
0,0,1,8565
1,0,2,8566
2,0,3,8567
3,0,4,8568
4,1,1,8553
5,1,2,8554
6,1,3,8555
7,1,4,8556
8,2,1,8557
9,2,2,8558
10,2,3,8559
11,2,4,8560
12,3,1,8561
13,3,2,8562
14,3,3,8563
15,3,4,8564
16,4,1,8573
17,4,2,8574
18,4,3,8575
19,4,4,8576
20,5,1,8577
21,5,2,8578
22,5,3,8579
23,5,4,8580
24,6,1,8585
25,6,2,8586
26,6,3,8587
27,6,4,8588
28,7,1,8589
29,7,2,8590
30,7,3,8591
31,7,4,8592
32,8,1,8593
33,8,2,8594
34,8,3,8595
35,8,4,8596
36,9,1,8597
37,9,2,8598
38,9,3,8599
39,9,4,8600
40,10,1,8601
41,10,2,8602
42,10,3,8603
43,10,4,8604
44,11,1,8605
45,11,2,8606
46,11,3,8607
47,11,4,8608
48,12,1,8609
49,12,2,8610
50,12,3,8611
51,12,4,8612
52,13,1,8581
53,13,2,8582
54,13,3,8583
55,13,4,8584
56,14,1,8613
57,14,2,8614
58,14,3,8615
59,14,4,8616
60,15,1,8617
61,15,2,8618
62,15,3,8619
63,15,4,8620
