"rownum","Item","i32","i32","i32","i32","[rid]","bool","bool","rid","i32","rid","string"
0,8878,2285,2626,225,2626,[],"","","",1211,"",""
1,8879,1871,2626,351,2626,[],"","","",1211,"",""
2,8880,1870,2626,352,2626,[],"","","",1211,"",""
3,8887,2302,2626,979,2626,[],"",1,944,1211,"",""
4,8888,2303,2626,980,2626,[],"",1,944,1211,"",""
5,8889,2304,2626,981,2626,[],"",1,944,1211,"",""
6,8890,2305,2626,982,2626,[],"",1,944,1211,"",""
7,5385,2584,2626,1156,2626,[],"","",959,1211,"",""
8,5386,2585,2626,1157,2626,[],"","",960,1211,"",""
9,5387,2595,2626,1160,2626,[],"","",961,1211,"",""
10,9423,954,2626,207,2626,[],"",1,946,1211,"",""
11,9425,955,2626,212,2626,[],"",1,6474,1211,"",""
12,9427,956,2626,323,2626,[],"",1,947,1211,"",""
13,9429,957,2626,328,2626,[],"",1,6475,1211,"",""
14,5289,2008,2626,662,2626,[],"","",942,662,956,"skill_book"
15,5290,2009,2626,663,2626,[],"","",942,663,956,"skill_book"
16,5291,2010,2626,664,2626,[],"","",942,664,956,"skill_book"
17,5292,2011,2626,665,2626,[],"","",942,665,956,"skill_book"
18,5293,2013,2626,675,2626,[],"","",942,675,956,"skill_book"
19,5294,2014,2626,676,2626,[],"","",942,676,956,"skill_book"
20,5388,1519,1517,1211,1517,[],"","",962,1211,"","sentinel_controller"
