"rownum","ModsKey","i32","i32","i32","i32","i32","bool","bool"
0,19438,0,11,100,1,6,1,1
1,19439,0,50,100,3,6,1,1
2,19490,0,11,100,1,6,1,1
3,19494,0,11,100,1,6,1,1
4,19495,0,11,100,1,6,1,1
5,19496,0,11,100,1,6,1,1
6,19497,0,11,100,1,6,1,1
7,19502,0,11,100,1,6,1,1
8,19505,150,11,100,1,3,1,1
9,19506,150,25,100,4,5,1,1
10,19507,75,68,100,6,7,1,1
11,19508,150,11,100,1,3,1,1
12,19509,150,25,100,4,5,1,1
13,19510,75,68,100,6,7,1,1
14,19511,150,11,100,1,3,1,1
15,19512,150,25,100,4,5,1,1
16,19513,75,68,100,6,7,1,1
17,19504,75,68,100,3,6,1,1
18,19514,150,40,100,1,3,1,1
19,19515,75,68,100,4,5,1,1
20,19503,37,68,100,6,7,1,1
21,19492,0,11,100,1,3,1,1
22,19516,0,25,100,4,5,1,1
23,19517,0,68,100,6,7,1,1
24,19518,0,68,100,6,7,1,1
25,19498,0,11,100,1,3,1,1
26,19519,0,25,100,4,5,1,1
27,19520,0,68,100,6,7,1,1
28,19493,150,11,100,1,3,1,1
29,19521,75,40,100,4,5,1,1
30,19522,37,68,100,6,7,1,1
31,19499,150,11,100,1,6,1,1
32,19500,75,68,100,4,7,1,1
33,19523,150,68,100,3,7,1,1
