"rownum","Id","rid","rid","i32","string","bool","i32","bool","i32","i32","rid","rid","i32","bool"
0,0,102,2321,40,"root","",0,"",0,0,"","",0,""
1,1,191,3029,40,"R_Weapon","",30,"",0,0,"","",0,""
2,2,281,4204,20,"mouth_fx_mid",1,0,"",20,78,"","",0,""
3,3,281,4204,20,"mouth_fx_mid","",30,"",0,0,"","",0,""
4,4,476,5768,18,"facelaser",1,20,1,0,0,"","",0,""
5,5,109,"",36,"root",1,0,"",0,0,"","",0,""
6,6,109,"",20,"root",1,0,"",0,0,"","",0,""
7,7,389,4946,15,"aux_lantern",1,0,"",20,78,"","",0,""
8,8,446,5401,20,"aux_laser",1,0,"",20,78,"","",0,""
9,9,461,5595,20,"aux_L_Weapon_attachment","",10,1,0,0,"","",0,""
10,10,507,6333,20,"death_beam","",0,"",0,0,508,6334,30,1
