"rownum","Id","HASH16","RewardText","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText","bool","TrialMods"
0,"DoubleDivinationCards1",20652,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24350,24355]"
1,"DoubleDivinationCards2",54378,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24351,24356]"
2,"DoubleDivinationCards3",13401,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24352,24357]"
3,"DoubleDivinationCards4",39568,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24353,24358]"
4,"DoubleDivinationCards5",25975,"Doubles sacrificed Divination Cards","",2,"",0,"",1,"[24354,24359]"
5,"MirrorRare1",49959,"Item and Mirrored Copy","",3,"",0,"Mirrorable, Rare Item","","[24354,24359]"
6,"Unique1",24507,"","",4,"",0,"","","[24350,24355]"
7,"Unique2",31270,"","",4,"",0,"","","[24352,24357]"
8,"Unique3",62141,"","",4,"",0,"","","[24353,24358]"
9,"Unique4",49320,"","",4,"",0,"","","[24351,24356]"
10,"Unique5",18654,"","",4,"",0,"","","[24352,24357]"
11,"Unique6",7505,"","",4,"",0,"","","[24353,24358]"
12,"Unique7",6641,"","",4,"",0,"","","[24354,24359]"
13,"Unique8",5026,"","",4,"",0,"","","[24354,24359]"
14,"Unique9",17340,"","",4,"",0,"","","[24352,24357]"
15,"Unique10",31328,"","",4,"",0,"","","[24353,24358]"
16,"CurrencyChaos5",10698,"Doubles sacrificed Currency","",1,2,5,"",1,"[24350,24355]"
17,"CurrencyChaos10",32977,"Doubles sacrificed Currency","",1,2,10,"",1,"[24351,24356]"
18,"CurrencyBlessed10",33537,"Doubles sacrificed Currency","",1,23,10,"",1,"[24350,24355]"
19,"CurrencyBlessed20",12316,"Doubles sacrificed Currency","",1,23,20,"",1,"[24351,24356]"
20,"CurrencyScouring15",44257,"Doubles sacrificed Currency","",1,12,15,"",1,"[24350,24355]"
21,"CurrencyScouring30",34349,"Doubles sacrificed Currency","",1,12,30,"",1,"[24351,24356]"
22,"CurrencyFusing10",64174,"Doubles sacrificed Currency","",1,20,10,"",1,"[24350,24355]"
23,"CurrencyFusing20",59104,"Doubles sacrificed Currency","",1,20,20,"",1,"[24351,24356]"
24,"CurrencyRegret20",62668,"Doubles sacrificed Currency","",1,8,20,"",1,"[24350,24355]"
25,"CurrencyRegret40",19592,"Doubles sacrificed Currency","",1,8,40,"",1,"[24351,24356]"
26,"CurrencyGemcutters5",33199,"Doubles sacrificed Currency","",1,18,5,"",1,"[24350,24355]"
27,"CurrencyGemcutters10",60325,"Doubles sacrificed Currency","",1,18,10,"",1,"[24351,24356]"
28,"CurrencyVaal5",9165,"Doubles sacrificed Currency","",1,33,5,"",1,"[24350,24355]"
29,"CurrencyVaal10",9804,"Doubles sacrificed Currency","",1,33,10,"",1,"[24351,24356]"
30,"CurrencyRegal5",34962,"Doubles sacrificed Currency","",1,14,5,"",1,"[24350,24355]"
31,"CurrencyRegal10",29237,"Doubles sacrificed Currency","",1,14,10,"",1,"[24351,24356]"
32,"CurrencyAwakenedSextant5",4287,"Doubles sacrificed Currency","",1,180,5,"",1,"[24350,24355]"
33,"CurrencyAwakenedSextant10",54692,"Doubles sacrificed Currency","",1,180,10,"",1,"[24351,24356]"
34,"CurrencyStackedDeck5",18117,"Doubles sacrificed Currency","",1,8119,5,"",1,"[24350,24355]"
35,"CurrencyStackedDeck10",43188,"Doubles sacrificed Currency","",1,8119,10,"",1,"[24351,24356]"
36,"CurrencyDivine1",59332,"Doubles sacrificed Currency","",1,22,1,"",1,"[24351,24356]"
37,"CurrencyDivine4",53728,"Doubles sacrificed Currency","",1,22,4,"",1,"[24352,24357]"
38,"CurrencyDivine8",15262,"Doubles sacrificed Currency","",1,22,8,"",1,"[24353,24358]"
39,"CurrencyAncient1",55631,"Doubles sacrificed Currency","",1,208,1,"",1,"[24351,24356]"
40,"CurrencyAncient2",14932,"Doubles sacrificed Currency","",1,208,2,"",1,"[24352,24357]"
41,"CurrencyAncient4",43751,"Doubles sacrificed Currency","",1,208,4,"",1,"[24353,24358]"
42,"CurrencyAnnulment1",62284,"Doubles sacrificed Currency","",1,202,1,"",1,"[24351,24356]"
43,"CurrencyAnnulment4",50518,"Doubles sacrificed Currency","",1,202,4,"",1,"[24352,24357]"
44,"CurrencyAnnulment8",33670,"Doubles sacrificed Currency","",1,202,8,"",1,"[24353,24358]"
45,"CurrencyExalted1",48788,"Doubles sacrificed Currency","",1,13,1,"",1,"[24351,24356]"
46,"CurrencyExalted4",63287,"Doubles sacrificed Currency","",1,13,4,"",1,"[24352,24357]"
47,"CurrencyExalted8",35965,"Doubles sacrificed Currency","",1,13,8,"",1,"[24353,24358]"
48,"CurrencyUnmaking3",56656,"Doubles sacrificed Currency","",1,9,3,"",1,"[24351,24356]"
49,"CurrencyHarbinger3",26435,"Doubles sacrificed Currency","",1,205,3,"",1,"[24351,24356]"
50,"CurrencyHorizon10",1387,"Doubles sacrificed Currency","",1,204,10,"",1,"[24350,24355]"
51,"CurrencyVeiledChaos3",44803,"Doubles sacrificed Currency","",1,3,3,"",1,"[24352,24357]"
52,"CurrencyChisel10",11387,"Doubles sacrificed Currency","",1,25,10,"",1,"[24350,24355]"
