"rownum","Mod","i32","i32","i32","i32","string","rid","i32","[string]"
0,6823,50,350,180,150,"Toxic",0,0,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]"
1,6824,50,350,180,150,"Chaosweaver",1,0,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]"
2,6825,50,350,180,150,"Frostweaver",2,0,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]"
3,6826,50,350,180,150,"Permafrost",3,0,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]"
4,6828,50,350,180,150,"Hasted",4,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
5,6829,50,350,180,150,"Deadeye",5,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
6,6831,100,700,360,300,"Bombardier",6,1,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]"
7,6832,50,350,180,150,"Flameweaver",7,0,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]"
8,6833,50,350,180,150,"Incendiary",8,0,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]"
9,6834,50,350,180,150,"Arcane Buffer",9,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
10,6837,50,350,180,150,"Echoist",10,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
11,6839,50,350,180,150,"Stormweaver",11,0,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
12,6840,50,350,180,150,"Dynamo",12,0,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
13,6841,50,350,180,150,"Bonebreaker",13,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
14,6842,50,350,180,150,"Bloodletter",14,0,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
15,6844,50,350,180,150,"Steel-infused",16,0,"[""outlinecolour:archnemesismodphysicalgreyoutline"",""archnemesismodphysicalgrey""]"
16,6845,50,350,180,150,"Gargantuan",17,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
17,6847,50,350,180,150,"Berserker",18,0,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
18,6838,50,350,180,150,"Sentinel",19,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
19,6843,50,350,180,150,"Juggernaut",20,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
20,6835,50,350,180,150,"Vampiric",21,0,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
21,6848,50,350,180,150,"Overcharged",22,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
22,6849,50,350,180,150,"Soul Conduit",23,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
23,6850,300,2000,1000,900,"Opulent",24,2,"[""outlinecolour:archnemesismodgoldenoutline"",""archnemesismodgolden""]"
24,6851,50,350,180,150,"Malediction",25,0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
25,6852,50,350,180,150,"Consecrator",26,0,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]"
26,6853,50,350,180,150,"Frenzied",27,0,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
27,6854,100,700,360,300,"Heralding Minions",28,1,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
28,6855,100,700,360,300,"Empowering Minions",29,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
29,6827,100,700,360,300,"Assassin",30,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
30,6830,100,700,360,300,"Trickster",31,2,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]"
31,6836,100,700,360,300,"Necromancer",32,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
32,6846,100,700,360,300,"Rejuvenating",33,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
33,6856,100,700,360,300,"Executioner",34,1,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
34,6857,100,700,360,300,"Hexer",35,1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]"
35,6858,100,700,360,300,"Drought Bringer",36,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
36,6859,100,700,360,300,"Entangler",37,1,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]"
37,6860,100,700,360,300,"Temporal Bubble",38,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
38,6861,100,700,360,300,"Treant Horde",39,1,"[""outlinecolour:archnemesismodchaosgreenoutline"",""archnemesismodchaosgreen""]"
39,6862,100,700,360,300,"Frost Strider",40,1,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]"
40,6863,100,700,360,300,"Ice Prison",41,1,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]"
41,6864,100,700,360,300,"Soul Eater",42,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
42,6865,100,700,360,300,"Flame Strider",43,1,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]"
43,6866,100,700,360,300,"Corpse Detonator",44,1,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]"
44,6867,100,700,360,300,"Evocationist",45,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
45,6868,100,700,360,300,"Magma Barrier",46,1,"[""outlinecolour:archnemesismodfireoutline"",""archnemesismodfire""]"
46,6869,100,700,360,300,"Mirror Image",47,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
47,6870,100,700,360,300,"Storm Strider",48,1,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
48,6871,100,700,360,300,"Mana Siphoner",49,1,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
49,6872,100,700,360,300,"Corrupter",50,1,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
50,6873,100,700,360,300,"Invulnerable",51,1,"[""outlinecolour:archnemesismodholyoutline"",""archnemesismodholy""]"
51,6874,100,700,360,300,"Crystal-skinned",52,1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]"
52,6875,100,700,360,300,"Empowered Elements",53,1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
53,6876,100,700,360,300,"Effigy",54,1,"[""outlinecolour:archnemesismodchaospurpleoutline"",""archnemesismodchaospurple""]"
54,6878,300,2000,1000,900,"Lunaris-touched",55,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
55,6879,300,2000,1000,900,"Solaris-touched",56,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
56,6880,300,2000,1000,900,"Arakaali-touched",57,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
57,6881,300,2000,1000,900,"Brine King-touched",58,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
58,6882,300,2000,1000,900,"Tukohama-touched",59,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
59,6883,300,2000,1000,900,"Abberath-touched",60,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
60,6884,300,2000,1000,900,"Shakari-touched",61,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
61,6885,300,2000,1000,900,"Innocence-touched",62,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
62,6886,300,2000,1000,900,"Kitava-touched",63,2,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
63,6890,50,350,180,150,"Bloodletter",15,3,"[""outlinecolour:archnemesismodphysicalredoutline"",""archnemesismodphysicalred""]"
64,6891,100,700,360,300,"Heralds of the Obelisk","",3,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
65,6892,100,700,360,300,"Spirit Walkers","",3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
66,6893,100,700,360,300,"Union of Souls","",3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
67,6894,100,700,360,300,"Voidspawn of Abaxoth","",3,"[""outlinecolour:archnemesismodgodoutline"",""archnemesismodgod""]"
68,6887,100,700,360,300,"Storm Herald",12,1,"[""outlinecolour:archnemesismodlightningoutline"",""archnemesismodlightning""]"
69,6888,100,700,360,300,"Final Gasp","",1,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
70,6895,50,350,180,150,"Arcane Buffer",9,3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
71,6896,100,700,360,300,"Evocationist",45,3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
72,6897,50,350,180,150,"Deadeye",5,3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
73,6898,50,350,180,150,"Hasted",4,3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
74,6899,50,350,180,150,"Bonebreaker",13,3,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
75,6889,50,350,180,150,"Splinterer","",0,"[""outlinecolour:archnemesismodnormaloutline"",""archnemesismodnormal""]"
76,6900,50,350,180,150,"Permafrost",3,3,"[""outlinecolour:archnemesismodcoldoutline"",""archnemesismodcold""]"
