"rownum","string","[rid]","[string]","bool","i32","i32","i32","f32","i32","i32","i32","f32","i32","bool","bool","bool","rid"
0,"HarvestThornOnHit",[4133],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
1,"HarvestBulbOnHit",[4134],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
2,"HarvestScaleOnHit",[4135],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
3,"HarvestRavenBossScreechHit",[4256],[],1,16777216,16777216,0,0,1,0,0,0.125,0,"","","",""
4,"HarvestSpikerBreathImpact",[4260],[],1,16777216,0,0,0.125,0,16777216,0,9007199254740992,1,"","","",""
5,"HarvestCatBossStealthHit",[4291],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
6,"HarvestPlagueSpiderViperStrikeImpact",[4318],[],1,16777216,0,0,0.125,0,16777216,0,0,2,"","","",""
7,"HarvestMinerHammerGasHit",[4319],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
8,"HarvestSnakeHeadbuttImpact",[4366],[],1,16777216,0,0,0.125,0,16777216,0,0,2,"","","",""
9,"HeistTemplarRangedSnipeImpact",[4387],[],1,16777216,0,0,0.125,0,0,0,0.125,0,"","","",""
10,"HeistMilitaryBounceShield",[4519],[],1,16777216,0,0,0.125,0,16777216,0,590295810358705700000,3,"","","",""
11,"GreenShockHit",[4543],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
12,"HeistYellowChaosHit",[4637],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
13,"RedLightningHit",[4714],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
14,"HeistTrapLaserBeamImpact",[4676],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
15,"HeistTwinsColdSnipeImpact",[4775],[],1,0,0,0,0.125,0,16777216,0,0,4,"","","",""
16,"BrutalPirateLordHitEffect",[4967],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
17,"CrimsonPriestRuneHitEffect",[5016],[],1,0,16777216,0,2,5,0,0,0.125,0,"","","",""
18,"MavenOnHitEffect",[5175],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
19,"MavenBrainOnHitEffect",[5176],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
20,"BloodTendrilsOnHitEffect",[5222],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
21,"BloodScytheHitEffect",[5317],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
22,"BloodScytheHitEffectConsole",[5318],[],1,50331648,0,0,0.125,0,0,0,0.125,0,"","","",""
23,"OblivionToxicRainHitEffect",[5329],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
24,"ArcaneHit",[5475],[],1,0,0,0,0.125,0,0,0,0.125,0,"","","",""
