"rownum","Id","Text","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool","[i32]","i32"
0,"Life","Life",[244],0,[],[],4,"",[],0
1,"Mana","Mana",[245],0,[],[],4,"",[],0
2,"EnergyShield","Maximum Energy Shield",[246],0,[],[],4,"",[],4
3,"GamepadEnergyShield","Energy Shield",[246],0,[],[],4,"",[],2
4,"GamepadArmour","Armour",[240],0,[],[],4,1,[],2
5,"GamepadEvasion","Evasion",[281],0,[],[],4,1,[],2
6,"GamepadFireResist","Fire","[307,2048]",5,[],[],5,"",[],2
7,"GamepadColdResist","Cold","[306,2049]",5,[],[],5,"",[],2
8,"GamepadLightningResist","Lightning","[308,2050]",5,[],[],5,"",[],2
9,"GamepadChaosResist","Chaos","[309,2051]",5,[],[],5,"",[],2
10,"DPS","Damage per Second",[676],0,[],[2098],0,1,[14],0
11,"DamagePerUse","Damage per Use",[1998],0,[],[],0,1,[14],0
12,"MH_HitChance","Main Hand Chance to Hit",[673],1,[7659],"[435,1636]",0,1,[],0
13,"MH_HitChanceEvasive","Main Hand Chance to Hit Evasive Monsters",[9387],1,[7659],"[435,1636]",0,1,[],0
14,"OH_HitChance","Off Hand Chance to Hit",[674],1,[7660],"[435,1636]",0,1,[],0
15,"OH_HitChanceEvasive","Off Hand Chance to Hit Evasive Monsters",[9388],1,[7660],"[435,1636]",0,1,[],0
16,"APS","Attacks per Second",[675],0,[],"[435,1636,8149]",0,1,[14],0
17,"CPS","Casts per Second",[679],0,[435],"[1636,8149]",0,1,[14],0
18,"MH_TotalDamage","Main Hand Total Combined Damage","[667,668]",2,[7659],"[435,1636]",0,1,[],0
19,"MH_PhysicalDamage","Main Hand Physical Damage","[276,277]",2,[7659],"[435,1636]",0,1,[],0
20,"MH_FireDamage","Main Hand Fire Damage","[264,265]",2,[7659],"[435,1636]",0,1,[],0
21,"MH_ColdDamage","Main Hand Cold Damage","[260,261]",2,[7659],"[435,1636]",0,1,[],0
22,"MH_LightningDamage","Main Hand Lightning Damage","[268,269]",2,[7659],"[435,1636]",0,1,[],0
23,"MH_ChaosDamage","Main Hand Chaos Damage","[272,273]",2,[7659],"[435,1636]",0,1,[],0
24,"MH_Accuracy","Main Hand Accuracy Rating",[289],0,[7659],"[435,1636]",0,1,[],0
