"rownum","Id","BaseItemTypesKeys","WorldAreasKey","MicrotransactionPortalVariation","AreaLevel","i32","i32","bool","bool","bool","[rid]"
0,"Disabled","[6687,6688,6689,6690]",0,"",0,2626,1,"","","",[]
1,"Atziri1","[6615,6616,6617,6618]",745,24,0,2626,0,"","","",[]
2,"Atziri2","[6620,6621,6622,6623]",746,24,0,2626,0,"","","",[]
3,"VaalFragment1_1",[6615],1491,"",72,2626,0,"","","",[]
4,"VaalFragment1_2",[6616],1491,"",70,2626,0,"","","",[]
5,"VaalFragment1_3",[6617],1491,"",71,2626,0,"","","",[]
6,"VaalFragment1_4",[6618],1491,"",69,2626,0,"","","",[]
7,"VaalFragment2_1",[6620],1491,"",74,2626,0,"","","",[]
8,"VaalFragment2_2",[6621],1491,"",76,2626,0,"","","",[]
9,"VaalFragment2_3",[6622],1491,"",75,2626,0,"","","",[]
10,"VaalFragment2_4",[6623],1491,"",73,2626,0,"","","",[]
11,"Disabled2","[6625,6626,6627,6628]",0,"",0,2626,0,"","","",[]
12,"ShapersRealm","[6630,6631,6632,6633]",1238,20,0,2626,0,"",1,"",[]
13,"EldersRealm","[6635,6636,6637,6638]",1271,108,0,2626,0,"",1,"",[]
14,"UberEldersRealm","[6640,6641,6642,6643]",1272,20,0,2626,0,"",1,"",[]
15,"BreachDomainFire",[6651],1052,"",0,2626,0,"","","",[]
16,"BreachDomainCold",[6652],1053,"",0,2626,0,"","","",[]
17,"BreachDomainLightning",[6653],1054,"",0,2626,0,"","","",[]
18,"BreachDomainPhysical",[6654],1050,"",0,2626,0,"","","",[]
19,"BreachDomainChaos",[6655],1051,"",0,2626,0,"","","",[]
20,"ClassicVault",[6691],275,27,0,2626,0,"","","",[]
21,"MaligaroMap",[5345],106,"",0,1283,0,"","","",[]
22,"340Vault",[6692],276,27,0,2626,0,"","","",[]
23,"BreachDomainFire2",[6656],1057,"",0,2626,0,"","","",[]
24,"BreachDomainCold2",[6657],1058,"",0,2626,0,"","","",[]
25,"BreachDomainLightning2",[6658],1059,"",0,2626,0,"","","",[]
26,"BreachDomainPhysical2",[6659],1055,"",0,2626,0,"","","",[]
27,"BreachDomainChaos2",[6660],1056,"",0,2626,0,"","","",[]
28,"BreachDomainFire3",[6661],1062,"",0,2626,0,"","","",[]
29,"BreachDomainCold3",[6662],1063,"",0,2626,0,"","","",[]
30,"BreachDomainLightning3",[6663],1064,"",0,2626,0,"","","",[]
31,"BreachDomainPhysical3",[6664],1060,"",0,2626,0,"","","",[]
32,"BreachDomainChaos3",[6665],1061,"",0,2626,0,"","","",[]
33,"BreachDomainFire4",[6666],1067,"",0,2626,0,"","","",[]
34,"BreachDomainCold4",[6667],1068,"",0,2626,0,"","","",[]
35,"BreachDomainLightning4",[6668],1069,"",0,2626,0,"","","",[]
36,"BreachDomainPhysical4",[6669],1065,"",0,2626,0,"","","",[]
37,"BreachDomainChaos4",[6670],1066,"",0,2626,0,"","","",[]
38,"BreachDomainFire5",[6671],1072,"",0,2626,0,"","","",[]
39,"BreachDomainCold5",[6672],1073,"",0,2626,0,"","","",[]
40,"BreachDomainLightning5",[6673],1074,"",0,2626,0,"","","",[]
41,"BreachDomainPhysical5",[6674],1070,"",0,2626,0,"","","",[]
42,"BreachDomainChaos5",[6675],1071,"",0,2626,0,"","","",[]
43,"EndgameLegionMap","[6676,6678,6679,6680,6677,6681,6682,6683,6684,6685]",1286,86,0,2626,2,1,"","",[]
44,"EndgameLegionMap2","[6676,6678,6679,6680,6677,6681,6682,6683,6684,6685]",1287,86,0,2626,3,1,"","",[]
45,"EndgameLegionMap3","[6676,6678,6679,6680,6677,6681,6682,6683,6684,6685]",1288,86,0,2626,4,1,"","",[]
46,"EndgameLegionMap4","[6676,6678,6679,6680,6677,6681,6682,6683,6684,6685]",1289,86,0,2626,5,1,"","",[]
47,"AfflictionBoss",[6686],1492,122,0,2626,0,"","","",[]
48,"MavenFight","[8881,8882,8883,8884,8885,8886,8887,8888,8889,8890,8891]",1716,157,0,2626,1,1,"",1,[]
49,"MavenBoss",[8932],1717,157,0,2626,0,1,"",1,[]
50,"VaalVault",[6693],277,24,0,2626,0,"","","",[]
51,"IncursionTemple",[8958],284,50,0,2626,0,"","","",[8347]
52,"UltimatumTrial",[8959],1727,159,0,2626,0,"","",1,[]
53,"HarvestBoss",[8960],1292,135,0,2626,0,"","","",[]
54,"SirusBoss","[6645,6646,6647,6648]",1620,110,0,2626,0,"",1,"",[]
55,"TangleMiniBossQuest",[9423],1273,197,79,987,0,"","","",[]
56,"TangleMiniBoss",[9424],1273,197,83,2626,0,1,"","",[]
57,"TangleBossQuest",[9425],1276,198,83,987,0,"","","",[]
58,"TangleBoss",[9426],1276,198,84,2626,0,1,"","",[]
59,"CleansingFireMiniBossQuest",[9427],1274,195,79,988,0,"","","",[]
60,"CleansingFireMiniBoss",[9428],1274,195,83,2626,0,1,"","",[]
61,"CleansingFireBossQuest",[9429],1275,196,83,988,0,"","","",[]
62,"CleansingFireBoss",[9430],1275,196,84,2626,0,1,"","",[]
