"rownum","MonsterVarietiesKey","MiscAnimatedKey0","MiscAnimatedKey1","bool","bool","i32","i32","i32","i32","i32","bool","bool","[i32]","[i32]","i32","bool","bool"
0,6496,1943,1945,1,1,20,60,1,20,120,"",1,[],[],0,1,""
1,6495,2180,2180,1,1,20,60,1,20,120,1,1,[],[],0,1,""
2,6810,2609,2609,1,1,20,60,1,20,120,"","",[],[],0,1,""
3,6811,2609,2609,1,1,20,60,1,20,120,"",1,[],[],0,1,""
4,6812,2609,2609,1,1,20,60,1,20,120,"",1,[],[],0,1,""
5,4956,1075,1075,1,1,20,60,1,20,120,"","",[],[],0,1,""
6,7572,3453,3453,1,1,20,60,0,20,120,"","",[],[],0,1,""
7,7779,3722,3722,1,1,20,60,1,20,120,"",1,[],[],0,1,""
8,7780,3722,3722,1,1,20,60,1,20,120,"",1,[],[],0,1,""
9,7783,3722,3722,1,1,80,105,1,40,120,1,1,[],[],0,1,""
10,7784,3722,3722,1,1,40,80,1,20,120,1,1,[],[],0,1,""
11,8128,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
12,8129,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
13,8130,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
14,8131,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
15,8132,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
16,8133,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
17,8134,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
18,8135,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
19,8136,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
20,8138,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
21,8140,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
22,8141,4380,4380,1,"",15,30,1,15,120,"",1,[],[],30,"",""
23,8612,4380,4380,1,1,15,0,1,5,60,"","",[],[],0,"",""
24,8890,4380,4380,1,"",20,105,1,20,75,"",1,[],[],0,"",1
25,8891,4380,4380,1,"",24,105,1,24,75,"",1,[],[],0,"",1
26,8892,4380,4380,1,"",15,105,1,15,75,"",1,[],[],0,"",1
