"rownum","BaseItemType","i32","i32"
0,4079,30,105
1,4078,160,105
2,3978,150,131
3,3962,0,0
4,4081,30,105
5,4080,160,105
6,3999,150,131
7,4008,160,105
8,3918,15,3
9,3917,95,62
10,3919,200,0
11,3916,5,0
12,4083,160,131
13,4035,30,105
14,4034,160,105
15,3973,150,131
16,4072,210,234
17,4084,180,234
18,4068,150,131
19,4038,120,131
20,3996,250,131
21,4003,0,160
22,4002,0,160
23,4059,160,105
24,4039,120,131
25,3943,175,131
26,3998,200,131
27,4026,30,105
28,4029,160,105
29,4028,60,211
30,4089,0,0
31,3912,15,62
32,3911,25,62
33,3915,1100,235
34,3913,550,338
35,3908,65,62
36,3907,45,62
37,3997,450,340
38,3914,550,340
39,3959,0,0
40,3968,180,131
41,3930,0,0
42,3929,0,0
43,3928,0,0
44,3927,0,0
45,3926,0,0
46,4007,160,105
47,3990,150,131
48,4014,0,160
49,3967,150,131
50,4009,150,0
51,4082,160,0
52,3965,180,131
53,3966,100,131
54,3977,80,62
55,4045,320,211
56,4000,150,131
57,3951,80,62
58,4074,0,0
59,4075,0,0
60,4073,0,0
61,4061,30,105
62,3988,0,0
63,4033,160,0
64,3974,0,0
65,4062,160,105
66,4063,30,105
67,4004,30,105
68,4050,0,0
69,3964,150,131
70,3971,0,0
71,3970,0,0
72,3924,0,0
73,3923,0,0
74,3922,0,0
75,3921,0,0
76,3920,0,0
77,4013,0,0
78,4088,30,105
79,4027,30,105
80,4030,160,105
81,4015,160,105
82,4011,30,105
83,4049,0,0
84,4064,160,105
85,4065,30,105
86,4012,1,160
87,4022,0,0
88,3991,160,131
89,3963,120,131
90,4025,0,0
91,4006,0,0
92,4040,120,131
93,3992,190,235
94,4053,160,0
95,4041,160,235
96,4032,160,0
97,3939,0,0
98,3979,0,0
99,3981,0,0
100,3980,0,0
101,3983,0,0
102,3982,0,0
103,3936,0,0
104,3993,0,0
105,3975,220,235
106,3905,50,62
107,3904,20,62
108,3906,0,0
109,3903,45,62
110,3902,15,62
111,3901,55,62
112,3900,25,62
113,3934,250,235
114,3952,150,131
115,3942,250,131
116,4051,0,0
117,4054,0,0
118,3955,45,131
119,3995,55,131
120,3954,55,131
121,4016,160,105
122,4010,30,105
123,4048,0,0
124,3931,150,131
125,4046,30,105
126,4044,160,105
127,4021,0,0
128,4020,0,0
129,4019,0,0
130,4018,0,0
131,4017,0,0
132,3956,0,0
133,4067,150,235
134,4056,0,0
135,4055,350,0
136,4001,0,0
137,3969,120,131
138,3938,0,0
139,4094,0,0
140,3933,0,0
141,4005,30,105
142,4076,90,131
143,4085,160,105
144,4077,0,0
145,4060,160,105
146,4024,150,131
147,3941,25,3
148,3940,120,131
149,4087,160,105
150,4086,30,105
151,4091,0,0
152,4092,0,0
153,3961,100,44
154,3976,0,0
155,4023,260,338
156,3932,150,131
157,3945,80,62
158,4058,30,105
159,3987,180,235
160,3944,120,131
161,3957,120,0
162,4043,160,105
163,4047,30,105
164,4042,160,131
165,3985,190,235
166,3937,150,131
167,3989,30,62
168,4031,160,131
169,3935,250,235
170,3899,330,235
171,3898,550,340
172,3897,85,62
173,3972,250,131
174,3960,0,0
175,4037,30,105
176,4036,160,105
177,4070,0,0
178,4069,350,0
179,671,100,0
180,422,90,0
181,2204,110,217
182,2203,125,217
183,2181,110,217
184,2180,125,217
185,1035,110,217
186,409,10,200
187,1672,125,217
188,1671,110,217
189,1988,115,200
190,720,90,62
191,1125,110,270
192,394,75,200
193,602,110,131
194,2214,125,200
195,1526,95,131
196,1099,95,0
197,1859,120,220
198,1617,100,131
199,1614,125,62
200,1578,120,0
201,2023,110,205
202,2158,120,205
203,2156,120,271
204,2029,125,270
205,1637,0,271
206,1724,110,200
207,395,95,131
208,432,100,200
209,427,95,200
210,425,25,62
211,412,95,200
212,1549,110,217
213,1550,125,217
214,1804,135,200
215,667,80,131
216,1987,120,200
217,2297,110,217
218,2296,125,217
219,660,100,200
220,812,100,131
221,737,95,200
222,1862,95,131
223,1613,110,131
224,1145,125,131
225,923,125,131
226,919,120,131
227,2160,125,0
228,1618,125,131
229,428,90,62
230,1850,130,200
231,1852,0,0
232,1886,110,217
233,1890,125,217
234,399,80,0
235,670,90,131
236,2070,110,217
237,2069,125,217
238,2268,0,0
239,2025,125,205
240,1863,115,205
241,1564,110,217
242,1565,125,217
243,2223,120,270
244,2222,125,270
245,1210,125,217
246,2084,110,217
247,2083,125,217
248,424,90,0
249,2320,110,217
250,2319,125,217
251,1104,90,131
252,1107,100,131
253,1102,90,131
254,1105,125,131
255,1103,80,131
256,1106,85,200
257,718,75,0
258,723,75,0
259,1703,95,0
260,1034,125,0
261,431,65,0
262,719,75,0
263,1015,90,0
264,706,90,131
265,744,125,131
266,1615,130,220
267,666,95,62
268,433,80,0
269,669,80,62
270,1120,110,131
271,722,90,131
272,616,110,131
273,1131,110,217
274,1775,110,217
275,1770,125,217
276,2161,0,220
277,411,35,62
278,766,120,131
279,403,15,62
280,828,110,131
281,768,120,200
282,1100,110,131
283,724,75,131
284,668,90,131
285,816,110,131
286,1075,125,217
287,402,90,200
288,2162,0,0
289,1116,110,131
290,1002,120,200
291,922,125,131
292,1115,100,131
293,421,120,131
294,1612,115,160
295,818,100,0
296,819,100,131
297,721,95,131
298,603,95,131
299,1810,0,220
300,604,95,0
301,1616,130,0
302,817,100,131
303,704,90,131
304,1074,125,131
305,1036,110,217
306,1123,115,0
307,1124,95,62
308,1122,110,131
309,1111,95,0
310,1119,125,0
311,1121,90,0
312,1718,100,131
313,1117,105,200
314,1901,110,217
315,1905,125,217
316,2385,0,269
317,2383,125,200
318,2384,125,269
319,2381,0,200
320,2382,125,200
321,2349,0,269
322,410,70,131
323,1113,125,131
324,2255,115,0
325,2128,125,270
326,2365,0,0
327,2380,125,269
328,2116,125,200
329,1128,125,200
330,2364,125,269
331,2363,125,269
332,2250,120,200
333,1114,100,131
334,2261,125,200
335,2362,135,200
336,2264,120,200
337,1625,120,131
338,1728,125,200
339,1138,95,220
340,1139,130,200
341,2253,115,200
342,2266,135,200
343,2254,115,200
344,1851,125,131
345,2117,150,270
346,2257,125,200
347,2265,120,200
348,2256,0,271
349,1990,120,271
350,1140,100,200
351,2048,0,0
352,2047,0,0
353,2046,0,0
354,2045,130,0
355,2263,0,0
356,1631,115,131
357,2163,0,0
358,822,90,220
359,1774,110,217
360,1769,125,217
361,629,100,131
362,815,120,131
363,814,100,131
364,1873,0,0
365,407,25,62
366,2262,115,0
367,1686,110,217
368,1687,125,217
369,2127,120,270
370,1729,120,200
371,430,55,62
372,1101,110,217
373,1118,85,160
374,1609,100,62
375,978,110,131
376,701,70,131
377,838,110,131
378,1144,100,160
379,2379,0,269
380,700,80,0
381,705,90,131
382,1848,110,131
383,423,90,0
384,429,70,62
385,2260,0,0
386,2259,0,0
387,2258,0,0
388,447,0,0
389,730,200,200
390,826,0,0
391,2197,320,411
392,2202,180,272
393,2201,150,189
394,2192,130,91
395,2191,100,133
396,2194,80,52
397,2199,80,161
398,2196,230,244
399,2193,80,52
400,2195,250,184
401,2198,180,272
402,665,100,0
403,612,60,0
404,481,40,0
405,2173,320,411
406,2179,180,272
407,2178,150,189
408,2167,100,133
409,2168,130,91
410,2170,80,52
411,2176,80,161
412,2172,230,244
413,2169,80,52
414,2171,250,184
415,2174,180,272
416,2225,180,0
417,2226,180,0
418,2227,130,0
419,2229,80,0
420,2228,80,0
421,2230,250,0
422,2231,210,0
423,895,150,0
424,416,15,62
425,2233,180,340
426,2232,130,145
427,2235,80,100
428,2234,80,100
429,2236,250,275
430,2237,275,407
431,1669,320,411
432,1678,180,272
433,966,130,0
434,968,80,0
435,970,160,0
436,967,80,0
437,969,250,0
438,1676,180,272
439,1673,150,189
440,1677,180,0
441,1674,100,91
442,1664,130,133
443,1666,80,52
444,1675,80,161
445,1668,230,244
446,1665,80,52
447,1667,250,184
448,1137,150,0
449,1132,100,0
450,1134,80,0
451,1136,110,0
452,1133,80,0
453,1135,250,0
454,619,160,131
455,618,150,131
456,617,160,131
457,2022,320,650
458,2248,175,234
459,2099,130,145
460,2101,80,100
461,2104,190,340
462,2100,80,100
463,2102,250,275
464,368,70,97
465,867,250,407
466,437,85,131
467,548,110,88
468,547,70,42
469,473,90,62
470,546,70,42
471,545,215,136
472,357,50,62
473,356,50,0
474,1965,0,0
475,1963,0,0
476,1959,0,0
477,1961,0,0
478,1960,0,0
479,1962,0,0
480,1964,0,0
481,806,320,510
482,439,195,131
483,2251,150,0
484,544,110,88
485,543,70,42
486,466,175,200
487,542,70,42
488,541,215,136
489,1146,0,0
490,654,0,0
491,1924,0,0
492,1926,0,0
493,1013,320,411
494,1017,180,272
495,1024,180,272
496,1743,180,478
497,1031,150,189
498,1008,130,133
499,1010,80,52
500,1018,80,161
501,1012,230,244
502,1009,80,52
503,1011,250,184
504,2105,180,0
505,965,220,0
506,963,150,0
507,964,120,0
508,372,65,97
509,905,65,0
510,440,15,28
511,2086,640,489
512,2094,300,377
513,2088,200,266
514,2089,260,181
515,2091,160,106
516,2095,160,322
517,2093,360,544
518,2090,160,106
519,2092,500,370
520,2087,460,489
521,2166,0,200
522,757,240,200
523,413,90,200
524,813,160,303
525,1056,190,0
526,1234,0,0
527,1233,0,0
528,1232,0,0
529,1231,0,0
530,1230,0,0
531,1229,0,0
532,1228,0,0
533,1053,175,165
534,2119,100,0
535,1829,80,97
536,486,0,0
537,485,0,0
538,484,0,0
539,483,0,0
540,507,0,0
541,506,0,0
542,505,0,0
543,504,0,0
544,503,0,0
545,502,0,0
546,497,0,0
547,496,0,0
548,495,0,0
549,494,0,0
550,568,0,305
551,567,0,305
552,566,0,200
553,565,0,200
554,2030,0,0
555,2031,0,0
556,2033,0,0
557,2035,0,0
558,2034,0,0
559,2036,0,0
560,2139,180,338
561,1864,110,234
562,1175,0,0
563,1176,0,0
564,1170,0,0
565,1172,0,0
566,1174,0,0
567,1171,0,0
568,1173,0,0
569,1717,160,165
570,1588,110,131
571,1719,130,0
572,1721,80,0
573,1720,80,0
574,1722,250,0
575,418,40,62
576,1038,210,200
577,845,130,113
578,847,80,65
579,846,80,65
580,848,250,229
581,1071,300,407
582,623,110,88
583,625,70,42
584,624,70,42
585,627,0,338
586,626,215,136
587,628,100,407
588,1055,190,0
589,726,190,200
590,911,90,97
591,1820,0,0
592,1819,0,0
593,1818,0,0
594,1796,0,0
595,1795,0,0
596,809,175,165
597,1610,150,97
598,370,130,97
599,1072,130,0
600,1653,175,0
601,1784,130,0
602,1786,80,0
603,1785,80,0
604,1787,250,0
605,1910,640,0
606,1914,360,0
607,1912,300,0
608,1913,200,0
609,1906,260,0
610,1908,160,0
611,1915,160,0
612,1911,460,0
613,1907,160,0
614,1909,500,0
615,690,0,0
616,686,0,0
617,1939,0,0
618,1932,0,0
619,1058,190,0
620,379,225,165
621,2249,120,166
622,377,200,0
623,608,80,0
624,607,80,0
625,606,80,0
626,605,80,0
627,755,190,200
628,1537,320,411
629,1545,180,272
630,1546,180,272
631,2018,180,0
632,1551,150,189
633,1547,180,0
634,1543,100,91
635,1539,130,133
636,1541,80,52
637,1548,80,161
638,1538,230,244
639,1540,80,52
640,1542,250,184
641,1567,640,821
642,1576,360,544
643,2020,360,0
644,1575,300,377
645,1577,360,0
646,1573,200,181
647,1569,260,266
648,1571,160,106
649,1574,160,322
650,1568,460,489
651,1570,160,106
652,1572,500,370
653,366,75,165
654,739,0,0
655,741,0,0
656,740,0,0
657,742,0,0
658,498,130,165
659,1799,0,0
660,1801,0,0
661,1800,0,0
662,1802,0,0
663,375,90,0
664,551,300,510
665,637,190,338
666,459,220,338
667,596,180,338
668,1726,320,0
669,610,200,338
670,1822,150,165
671,536,0,0
672,532,130,113
673,515,95,113
674,528,0,0
675,524,0,0
676,519,130,113
677,511,120,113
678,1783,320,0
679,535,0,0
680,531,80,65
681,516,60,65
682,527,0,0
683,523,0,0
684,520,80,65
685,510,80,65
686,471,150,131
687,702,110,200
688,630,150,338
689,534,0,0
690,530,80,65
691,514,60,65
692,526,0,0
693,522,0,0
694,518,80,65
695,509,80,65
696,533,0,0
697,529,250,229
698,513,190,229
699,525,0,0
700,521,0,0
701,517,250,229
702,508,240,229
703,512,335,0
704,2276,0,0
705,2028,150,0
706,2278,0,330
707,2279,0,0
708,2281,0,0
709,2280,0,0
710,2282,0,0
711,1153,0,0
712,1148,0,0
713,1150,0,0
714,1152,0,0
715,1149,0,0
716,1151,0,0
717,1605,130,113
718,1607,80,65
719,1606,80,65
720,1608,250,229
721,1160,0,0
722,1155,0,0
723,1157,0,0
724,1159,0,0
725,1156,0,0
726,1158,0,0
727,1821,150,0
728,985,80,0
729,1867,170,337
730,415,70,62
731,482,0,0
732,576,180,200
733,1057,190,0
734,2290,320,411
735,2292,180,272
736,2291,180,272
737,2293,150,189
738,2285,130,91
739,2284,100,133
740,2287,80,52
741,2295,80,161
742,2289,230,244
743,2286,80,52
744,2288,250,184
745,1059,260,510
746,452,0,0
747,445,35,50
748,1067,50,97
749,894,150,0
750,1069,40,97
751,1167,0,0
752,1168,0,0
753,1162,0,0
754,1164,0,0
755,1166,0,0
756,1163,0,0
757,1165,0,0
758,472,0,0
759,599,160,131
760,470,0,0
761,659,310,510
762,1989,0,0
763,980,100,0
764,982,80,0
765,2118,280,0
766,984,310,0
767,981,80,0
768,983,250,0
769,833,0,303
770,434,155,338
771,717,190,338
772,716,190,338
773,712,130,113
774,756,150,200
775,714,80,65
776,467,160,131
777,713,80,65
778,715,250,229
779,1812,130,160
780,1814,80,110
781,1813,80,110
782,1815,250,300
783,444,25,50
784,2012,130,0
785,2014,80,0
786,2011,230,0
787,2013,80,0
788,2015,250,0
789,1039,320,411
790,1005,180,272
791,1782,180,0
792,1032,150,189
793,1026,130,133
794,1028,80,52
795,1006,80,161
796,1030,230,244
797,1027,80,52
798,1029,250,184
799,611,0,0
800,732,0,0
801,733,0,0
802,743,0,0
803,731,0,0
804,491,0,0
805,490,140,165
806,493,125,97
807,487,75,97
808,1076,100,113
809,1078,80,65
810,1080,230,303
811,1077,80,65
812,1079,250,229
813,1186,180,0
814,930,80,0
815,1947,0,0
816,1945,0,0
817,1941,0,0
818,1943,0,0
819,1942,0,0
820,1944,0,0
821,1946,0,0
822,989,100,0
823,991,80,0
824,990,80,0
825,992,250,0
826,994,30,0
827,993,30,0
828,893,150,0
829,380,0,0
830,865,320,650
831,796,0,0
832,789,0,0
833,791,0,0
834,790,0,0
835,792,0,0
836,1227,190,405
837,858,220,0
838,709,0,0
839,710,0,0
840,708,0,0
841,937,0,0
842,939,0,0
843,941,0,0
844,938,0,0
845,940,0,0
846,381,0,0
847,1758,640,821
848,924,0,0
849,1773,360,544
850,1991,360,0
851,1766,300,377
852,1778,200,181
853,1752,260,266
854,1754,160,106
855,1781,160,322
856,1761,460,489
857,1753,160,106
858,1755,500,370
859,1587,270,650
860,1811,300,580
861,438,85,131
862,2097,185,338
863,1849,160,0
864,1831,80,165
865,642,130,88
866,644,80,42
867,468,70,62
868,2096,230,0
869,643,80,42
870,645,250,136
871,892,150,0
872,727,100,97
873,1877,320,411
874,1887,180,272
875,1889,180,272
876,1885,150,189
877,1879,100,91
878,1880,130,133
879,1882,80,52
880,1888,80,161
881,1878,230,244
882,1883,80,52
883,1881,250,184
884,2338,0,476
885,2339,0,234
886,2334,130,166
887,2336,80,97
888,2252,80,200
889,2335,80,97
890,2337,250,338
891,793,0,0
892,777,0,0
893,779,0,0
894,778,0,0
895,780,0,0
896,1928,0,0
897,1930,0,0
898,1929,0,0
899,1931,0,0
900,1934,0,0
901,1936,0,0
902,1935,0,0
903,1937,0,0
904,615,0,0
905,614,0,0
906,613,0,0
907,365,55,97
908,1589,0,0
909,1604,210,338
910,1592,0,0
911,1594,0,0
912,1593,0,0
913,1595,0,0
914,857,290,407
915,703,125,165
916,1626,130,113
917,1628,80,65
918,1630,160,303
919,1627,80,65
920,1629,250,229
921,1807,290,0
922,2106,100,0
923,2107,130,145
924,2109,80,100
925,2108,80,100
926,2110,250,275
927,1713,130,0
928,1715,80,0
929,1714,80,0
930,1716,250,0
931,2058,320,244
932,2067,180,272
933,2066,150,189
934,2060,100,133
