"rownum","BaseItemTypesKey","BK2File","BoxId","BundleId"
0,8467,"Art/Videos/LightDarkBox_Opening.bk2","",""
1,8468,"Art/Videos/LightDarkBox_Opening.bk2","",""
2,8465,"Art/Videos/LightDarkBox_Opening.bk2","",""
3,8466,"Art/Videos/LightDarkBox_Opening.bk2","",""
4,8469,"Art/Videos/LightDarkBox_Opening.bk2","",""
5,8470,"Art/Videos/LightDarkBox_Opening.bk2","",""
6,8471,"Art/Videos/LightDarkBox_Opening.bk2","",""
7,8472,"Art/Videos/LightDarkBox_Opening.bk2","",""
8,8473,"Art/Videos/LightDarkBox_Opening.bk2","",""
9,8474,"Art/Videos/LightDarkBox_Opening.bk2","",""
10,8475,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackChaosVsOrderBox","MysteryPackChaosVsOrderBoxBundle"
11,8476,"Art/Videos/FireIceBox_Opening.bk2","MysteryPackFireAndIceBox","MysteryPackFireAndIceBoxBundle"
12,8477,"Art/Videos/InnocenceSinBox_Opening.bk2","MysteryPackSinAndInnocenceBox","MysteryPackSinAndInnocenceBoxBundle"
13,8478,"Art/Videos/MysteryBox_Opening_Apocalypse.bk2","MysteryPackApocalypseBox","MysteryPackApocalypseBoxBundle"
14,8479,"Art/Videos/MysteryBox_Opening_Oriathan.bk2","MysteryPackOriathanBox","MysteryPackOriathanBoxBundle"
15,8480,"Art/Videos/MysteryBox_Opening_Corsair .bk2","MysteryPackFairgravesBox","MysteryPackFairgravesBoxBundle"
16,8481,"Art/Videos/MysteryBox_Opening_Darkwood.bk2","MysteryPackGlimmerwoodBox","MysteryPackGlimmerwoodBoxBundle"
17,8482,"Art/Videos/MysteryBox_Opening_Frontier.bk2","MysteryPackFrontierBox","MysteryPackFrontierBoxBundle"
18,8483,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackCircusBox","MysteryPackCircusBoxBundle"
19,8484,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentChiyouBox",""
20,8485,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentGoddessBox",""
21,8486,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentJingweiBox",""
22,8487,"Art/Videos/MysteryBox_Opening_Carnival.bk2","MysteryPackTencentGodOfThunderBox",""
23,8489,"Art/Videos/MysteryBox_Opening_Polaris.bk2","MysteryPackPolarisBox","MysteryPackPolarisBoxBundle"
24,8490,"Art/Videos/MysteryBox_Opening_Thaumaturgy.bk2","MysteryPackThaumaturgyBox","MysteryPackThaumaturgyBoxBundle"
25,8491,"Art/Videos/MysteryBox_Opening_AngelsAndDemons.bk2","MysteryPackAngelsAndDemonsBox","MysteryPackAngelsAndDemonsBoxBundle"
26,8492,"Art/Videos/MysteryBox_Opening_Twilight.bk2","MysteryPackTwilightBox","MysteryPackTwilightBoxBundle"
27,8499,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackFreyaPouch",""
28,8500,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackFreyaBox",""
29,8493,"Art/Videos/MysteryBox_Opening_Warlord.bk2","MysteryPackWarlordBox","MysteryPackWarlordBoxBundle"
30,8494,"Art/Videos/MysteryBox_Opening_Apollyon.bk2","MysteryPackApollyonBox","MysteryPackApollyonBoxBundle"
31,8501,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackHasinaPouch",""
32,8503,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackBladeSoul",""
33,8495,"Art/Videos/MysteryBox_Opening_Midnight_Pact.bk2","MysteryPackMidnightPactBox","MysteryPackMidnightPactBoxBundle"
34,8496,"Art/Videos/MysteryBox_Opening_Atlantis.bk2","MysteryPackAtlantisBox","MysteryPackAtlantisBoxBundle"
35,8502,"Art/Videos/LightDarkBox_Opening.bk2","MysteryPackSkadiPetBowl",""
36,8497,"Art/Videos/MysteryBox_Opening_Generic.bk2","MysteryPackHarmonyBox","MysteryPackHarmonyBoxBundle"
37,8498,"Art/Videos/MysteryBox_Opening_Generic.bk2","MysteryPackSentinelBox","MysteryPackSentinelBoxBundle"
