"rownum","Id","BaseItemTypesKey","i32","i32","i32","i32","i32","i32","bool","bool","bool","bool"
0,"Metadata/Items/Currency/Mushrune1",8622,132,40,0,1,1,68,1,"","",""
1,"Metadata/Items/Currency/Mushrune2",8623,232,40,1,1,1,68,1,"","",""
2,"Metadata/Items/Currency/Mushrune3",8624,331,40,2,1,1,68,1,"","",""
3,"Metadata/Items/Currency/Mushrune4",8625,433,40,3,1,1,68,1,"","",""
4,"Metadata/Items/Currency/Mushrune5",8626,531,40,4,1,1,68,1,"","",""
5,"Metadata/Items/Currency/Mushrune6",8627,633,40,5,1,1,68,1,"","",""
6,"Metadata/Items/Currency/Mushrune6b",8628,735,40,6,1,1,68,1,"","",""
7,"Metadata/Items/Currency/Mushrune7",8629,83,127,7,1,1,68,1,"","",""
8,"Metadata/Items/Currency/Mushrune8",8630,183,127,8,1,1,68,1,"","",""
9,"Metadata/Items/Currency/Mushrune9",8631,284,127,9,1,1,68,1,"","",""
10,"Metadata/Items/Currency/Mushrune10",8632,384,127,10,1,1,68,1,"","",""
11,"Metadata/Items/Currency/Mushrune11",8633,485,127,11,1,1,68,1,"","",""
12,"Metadata/Items/Currency/Mushrune12",8634,585,127,12,1,1,68,"","","",""
13,"CraftingItem","",364,230,13,2,4,59,"",1,"",""
14,"CraftingInputs1","",498,230,15,1,1,68,"","",1,""
15,"CraftingInputs2","",498,314,16,1,1,68,"","",1,""
16,"CraftingInputs3","",498,398,17,1,1,68,"","",1,""
17,"BlightedMapSlots","",52,555,18,60,1,56,"","","",""
18,"CraftingInputCorrupt","",574,282,78,1,1,68,"","",1,1
19,"Metadata/Items/Currency/MushruneCorrupt",8621,686,127,79,1,1,68,"","","",""
20,"Metadata/Items/Currency/CurrencyExtractOil",9441,786,127,80,1,1,68,"","","",""
