"rownum","Id","ModsKey0","ModsKey1","ModsKey2","bool"
0,"Resist1",3002,3070,3153,1
1,"Resist2",3003,3071,3154,1
2,"Resist3",3004,3072,3155,1
3,"Resist4",3005,3073,3156,1
4,"Resist5",3006,3074,3157,1
5,"Resist6",3007,3075,3158,1
6,"Resist7",3008,3076,3159,1
7,"Resist8",3009,3077,3160,1
8,"Resist9",8118,8120,8122,""
9,"Resist10",8119,8121,8123,""
10,"Resist11",8156,8158,8160,""
11,"Resist12",8157,8159,8161,""
12,"Resist13",8267,8269,8271,""
13,"Resist14",8268,8270,8272,""
14,"Resist15",8303,8305,8307,""
15,"Resist16",8304,8306,8308,""
16,"Resist17",17161,17164,17167,""
17,"Resist18",17162,17165,17168,""
18,"Resist19",17163,17166,17169,""
19,"Resist20",3216,3217,3218,""
20,"Resist21",17844,17845,17846,""
21,"Resist22",9060,9061,9062,1
22,"Resist23",13503,13504,13505,1
23,"Resist24",3213,3214,3215,""
24,"Resist25",17841,17842,17843,""
25,"Resist26",14444,14447,14450,1
26,"Resist27",14445,14448,14451,1
27,"Resist28",14446,14449,14452,1
28,"Resist29",15543,15552,15561,""
29,"Resist30",20031,20100,20171,1
30,"Resist31",20032,20101,20172,1
31,"Resist32",20323,20335,20307,1
32,"Resist33",20324,20336,20308,1
33,"Resist34",20325,20337,20309,1
34,"Resist35",3210,3211,3212,""
35,"Resist36",17838,17839,17840,""
36,"Resist37",15611,15621,15631,1
37,"Resist38",21453,21456,21459,1
38,"Resist39",21454,21457,21460,1
39,"Resist40",21455,21458,21461,1
40,"Resist41",21526,21531,21536,1
41,"Resist42",21527,21532,21537,1
42,"Resist43",21528,21533,21538,1
43,"Resist44",21529,21534,21539,1
44,"Resist45",21530,21535,21540,1
45,"Resist46",24225,24166,24099,1
46,"Resist47",13133,13136,13139,1
47,"Resist48",13134,13137,13140,1
48,"Resist49",13135,13138,13141,1
