"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,8702,"",0
1,8703,"",0
2,8704,"",0
3,8705,"",0
4,8740,"",2
5,8741,"",3
6,8742,"",4
7,8743,"",5
8,8744,"",2
9,8745,"",3
10,8746,"",4
11,8747,"",5
12,8748,0,2
13,8749,0,3
14,8750,0,4
15,8751,0,5
16,8752,1,2
17,8753,1,3
18,8754,1,4
19,8755,1,5
20,8756,2,2
21,8757,2,3
22,8758,2,4
23,8759,2,5
24,8760,3,2
25,8761,3,3
26,8762,3,4
27,8763,3,5
28,8764,4,2
29,8765,4,3
30,8766,4,4
31,8767,4,5
32,8768,5,2
33,8769,5,3
34,8770,5,4
35,8771,5,5
36,8772,6,2
37,8773,6,3
38,8774,6,4
39,8775,6,5
40,8776,7,2
41,8777,7,3
42,8778,7,4
43,8779,7,5
44,8780,8,2
45,8781,8,3
46,8782,8,4
47,8783,8,5
48,8784,"",2
49,8785,"",3
50,8786,"",4
51,8787,"",5
52,8788,"",2
53,8789,"",3
54,8790,"",4
55,8791,"",5
56,8792,"",2
57,8793,"",3
58,8794,"",4
59,8795,"",5
