"rownum","Id","Name","WorldAreasKeys","UIImage","SpawnWeight_Depth","SpawnWeight_Values","[i32]","[i32]","Art2D","AchievementItemsKeys","bool","[i32]"
0,"Mines","Mines","[308,309,310,311,312,313,314,315]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/Mines","[0,30,52]","[100,100,0]","[5,5,5]","[10,15,5]","Art/2DArt/DelveMap/MinesGround",[],"",[0]
1,"FungalCaverns","Fungal Caverns","[316,317,318,319,320,321,322,323]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/FungalCaverns","[4,20]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/FungalGround",[],"",[0]
2,"PetrifiedForest","Petrified Forest","[324,325,326,327,328,329,330,331]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/PetrifiedForest","[4,20]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/PetrifiedGround",[],"",[0]
3,"AbyssalDepths","Abyssal Depths","[332,333,334,335,336,337,338,339]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/AbyssalDepths","[10,25]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/AbyssalGround",[],"",[0]
4,"FrozenHollow","Frozen Hollow","[340,341,342,343,344,345,346,347]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/FrozenHollow","[15,30]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/FrozenGround",[],"",[0]
5,"MagmaFissure","Magma Fissure","[348,349,350,351,352,353,354,355]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/MagmaFissure","[20,40]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/MagmaGround",[],"",[0]
6,"SulphurVents","Sulphur Vents","[356,357,358,359,360,361,362,363]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/SulphurVents","[35,55]","[0,100]","[5,15]","[16,30]","Art/2DArt/DelveMap/SulphurGround",[],"",[0]
7,"VaalOutpost","Vaal Outpost","[364,365,366,367,368,369,370,371]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/VaalOutpost","[32,63,200]","[0,14,23]","[7,8,9]","[9,11,13]","Art/2DArt/DelveMap/VaalGround",[],1,[0]
8,"AbyssalCity","Abyssal City","[372,373,374,375,376,377,378,379]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/AbyssalCity","[70,135,350]","[0,14,23]","[7,8,9]","[9,11,13]","Art/2DArt/DelveMap/AbyssalCityGround",[],1,[0]
9,"Primeval","Primeval Ruins","[380,381,382,383,384,385,386,387]","Art/2DArt/UIImages/InGame/Delve/MapBiomes/PrimevalRuins","[110,200,500]","[0,9,17]","[7,8,9]","[9,11,13]","Art/2DArt/DelveMap/PrimevalGround",[],1,[0]
