"rownum","Id","rid","rid","[rid]","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid"
0,"PlayerBlood","","","[201,202,203,204,205,206]","","","",60,60,61,62,63,64,65,65,66
1,"MonsterRedBlood",0,7,"[201,202,203,204,205,206]",6,"","",67,68,69,62,63,64,65,65,66
2,"ZombieBlood",0,7,"[207,208,209,210,211,212]",6,"","",70,71,72,73,74,75,76,76,77
3,"GreenGhost",1,8,[],"","","",78,78,79,79,79,79,"","",""
4,"PurpleGhost",1,8,[],"","","",80,80,81,81,81,81,"","",""
5,"Mud",2,9,[],"","","",82,82,84,84,84,84,"","",""
6,"Stone",2,9,[],"","","",83,83,84,84,84,84,"","",""
7,"SpiderBlood",0,7,"[213,214,215,216,217,218]",6,"","",85,86,87,88,89,90,91,91,92
8,"Bones",3,10,[],"","","",93,93,94,94,94,94,"","",""
9,"Water",4,11,[],"","","",95,95,96,96,96,96,"","",""
10,"NoBlood","","",[],"","","","","","","","","","","",""
11,"LargeSpiderBlood",0,7,"[213,214,215,216,217,218]",6,"","",97,98,87,88,89,90,91,91,92
12,"AfflictionBlood",1,8,[],8,"","",99,100,101,100,100,100,"","",""
13,"HeistRobotBlood",5,5,[],"","","",102,103,104,102,103,104,"","",""
