"rownum","i32","bool","i32","bool","bool","bool","rid","rid"
0,662,1,33554432,"","","",162,""
1,663,1,33554432,"","","",161,""
2,664,1,33554432,"","","",163,""
3,665,1,33554432,"","","",164,""
4,675,1,33554432,"","","",163,""
5,676,1,33554432,"","","",164,""
6,974,1,33554432,"","","","",0
7,975,1,33554432,"","","","",1
8,976,1,33554432,"","","","",2
9,977,1,33554432,"","","","",3
10,978,1,33554432,"","","","",4
11,1162,1,33554432,"","","","",5
12,979,1,33554432,"","","","",6
13,980,1,33554432,"","","","",7
14,981,1,33554432,"","","","",8
15,982,1,33554432,"","","","",9
16,983,1,33554432,"","","","",10
