"rownum","Id","MinLevel","MaxLevel","SpawnWeight","i32","MetadataFile","i32","DaemonSpawners","i32","i32","AbyssalDepths","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool"
0,"StartNode",0,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssStartNode",2,[],0,0,"",0,40000,0,0,0,0,0,0,4,""
1,"StartNode1",16,40,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssStartNode",2,[],0,0,"",0,30000,0,0,0,0,0,0,4,""
2,"StartNode2",41,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssStartNode",2,[],0,0,"",0,30000,0,0,0,0,0,0,4,""
3,"StartNode3",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssStartNode",2,[],0,0,"",0,30000,0,0,0,0,0,0,4,""
4,"BasicCrack",0,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssCrackSpawners/AbyssCrackSkeletonSpawner",1,[],0,0,"",0,0,0,0,0,0,0,0,4,""
5,"MiniNode1a",0,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5871],3,5,"",0,0,0,0,0,0,3,4,1,""
6,"MiniNode1b",0,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5872],3,5,"",0,0,0,0,0,0,3,4,2,""
7,"MiniNode1c",0,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5873],3,5,"",0,0,0,0,0,0,3,4,3,""
8,"MiniNode2a",16,40,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5871],4,8,"",0,0,0,0,0,0,4,5,1,""
9,"MiniNode2b",16,40,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5872],4,8,"",0,0,0,0,0,0,4,5,2,""
10,"MiniNode2c",16,40,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5873],4,8,"",0,0,0,0,0,0,4,5,3,""
11,"MiniNode3a",41,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5871],6,10,"",0,0,0,0,0,0,5,6,1,""
12,"MiniNode3b",41,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5872],6,10,"",0,0,0,0,0,0,5,6,2,""
13,"MiniNode3c",41,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5873],6,10,"",0,0,0,0,0,0,5,6,3,""
14,"MiniNode4a",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5871],8,14,"",0,0,0,0,0,0,6,7,1,""
15,"MiniNode4b",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5872],8,14,"",0,0,0,0,0,0,6,7,2,""
16,"MiniNode4c",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeMini",5,[5873],8,14,"",0,0,0,0,0,0,6,7,3,""
17,"SmallNode0a",0,5,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],10,12,"",0,15000,0,1,0,0,6,6,1,""
18,"SmallNode0b",0,5,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],10,12,"",0,15000,0,1,0,0,6,6,2,""
19,"SmallNode1a",6,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],12,15,"",0,15000,0,1,0,1,6,6,1,""
20,"SmallNode1b",6,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],12,15,"",0,15000,0,1,0,1,6,6,2,""
21,"SmallNode2a",16,25,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],15,17,"",0,14000,1,1,0,1,8,8,1,""
22,"SmallNode2b",16,25,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],15,17,"",0,14000,1,1,0,1,8,8,2,""
23,"SmallNode2c",16,25,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5870],15,17,"",0,14000,1,1,0,1,8,8,3,""
24,"SmallNode3a",26,35,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],19,22,"",0,13000,1,2,1,1,9,9,1,""
25,"SmallNode3b",26,35,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],19,22,"",0,13000,1,2,1,1,9,9,2,""
26,"SmallNode3c",26,35,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5870],19,22,"",0,13000,1,2,1,1,9,9,3,""
27,"SmallNode4a",36,60,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],21,24,"",0,13000,1,2,1,1,10,10,1,""
28,"SmallNode4b",36,60,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],21,24,"",0,13000,1,2,1,1,10,10,2,""
29,"SmallNode4c",36,60,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5870],21,24,"",0,13000,1,2,1,1,10,10,3,""
30,"SmallNode5a",61,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],19,22,"",0,12000,1,3,1,2,11,11,1,""
31,"SmallNode5b",61,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],19,22,"",0,12000,1,3,1,2,11,11,2,""
32,"SmallNode5c",61,72,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5870],19,22,"",0,12000,1,3,1,2,11,11,3,""
33,"SmallNode6a",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5868],20,24,"",0,12000,2,3,1,2,14,14,1,""
34,"SmallNode6b",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5869],20,24,"",0,12000,2,3,1,2,14,14,2,""
35,"SmallNode6c",73,100,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeSmall",3,[5870],20,24,"",0,12000,2,3,1,2,14,14,3,""
36,"LargeNode1a",0,5,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],10,12,"",0,18000,0,0,0,0,6,6,1,""
37,"LargeNode1b",0,5,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],10,12,"",0,18000,0,0,0,0,6,6,2,""
38,"LargeNode2a",6,15,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],15,18,"",0,18000,0,1,0,1,7,7,1,""
39,"LargeNode2b",6,15,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],15,18,"",0,18000,0,1,0,1,7,7,2,""
40,"LargeNode3a",16,25,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],16,19,"",0,18000,1,1,1,1,8,8,1,""
41,"LargeNode3b",16,25,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],16,19,"",0,18000,1,1,1,1,8,8,2,""
42,"LargeNode3c",16,25,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5864],16,19,"",0,18000,1,1,1,1,8,8,3,""
43,"LargeNode4a",26,35,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],17,21,"",0,17000,1,2,1,1,9,9,1,""
44,"LargeNode4b",26,35,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],17,21,"",0,17000,1,2,1,1,9,9,2,""
45,"LargeNode4c",26,35,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5864],17,21,"",0,17000,1,2,1,1,9,9,3,""
46,"LargeNode5a",36,60,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],18,23,"",0,17000,1,2,1,2,10,10,1,""
47,"LargeNode5b",36,60,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],18,23,"",0,17000,1,2,1,2,10,10,2,""
48,"LargeNode5c",36,60,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5864],18,23,"",0,17000,1,2,1,2,10,10,3,""
49,"LargeNode6a",61,72,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],23,27,"",0,16000,1,3,1,2,12,12,1,""
50,"LargeNode6b",61,72,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],23,27,"",0,16000,1,3,1,2,12,12,2,""
51,"LargeNode6c",61,72,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5864],23,27,"",0,16000,1,3,1,2,12,12,3,""
52,"LargeNode7a",73,100,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5862],26,30,"",0,16000,2,3,1,3,14,14,1,""
53,"LargeNode7b",73,100,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5863],26,30,"",0,16000,2,3,1,3,14,14,2,""
54,"LargeNode7c",73,100,65,2,"Metadata/MiscellaneousObjects/Abyss/AbyssNodeLarge",3,[5864],26,30,"",0,16000,2,3,1,3,14,14,3,""
55,"FinalNode1Length1a",0,5,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5865],10,12,"",2,0,0,0,0,0,8,8,1,""
56,"FinalNode1Length1b",0,5,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5866],10,12,"",2,0,0,0,0,0,8,8,2,""
57,"FinalNode1Length2a",0,5,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5865],11,13,"",3,0,0,0,0,0,8,8,1,""
58,"FinalNode1Length2b",0,5,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5866],11,13,"",3,0,0,0,0,0,8,8,2,""
59,"FinalNode2Length1a",5,15,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5865],14,16,"",2,0,1,1,0,1,9,9,1,""
60,"FinalNode2Length1b",5,15,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5866],14,16,"",2,0,1,1,0,1,9,9,2,""
61,"FinalNode2Length2a",5,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5865],15,17,"",3,0,1,1,1,1,9,9,1,""
62,"FinalNode2Length2b",5,15,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5866],15,17,"",3,0,1,1,1,1,9,9,2,""
63,"FinalNode3Length1a",16,25,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5865],17,19,"",2,0,1,1,1,1,10,10,1,""
64,"FinalNode3Length1b",16,25,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5866],17,19,"",2,0,1,1,1,1,10,10,2,""
65,"FinalNode3Length1c",16,25,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5867],17,19,"",2,0,1,1,1,1,10,10,3,""
66,"FinalNode3Length2a",16,25,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5865],18,20,"",3,0,1,1,1,1,10,10,1,""
67,"FinalNode3Length2b",16,25,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5866],18,20,"",3,0,1,1,1,1,10,10,2,""
68,"FinalNode3Length2c",16,25,150,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest2",4,[5867],18,20,"",3,0,1,1,1,1,10,10,3,""
69,"FinalNode4Length1a",26,35,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5865],21,23,"",2,0,1,2,1,2,11,11,1,""
70,"FinalNode4Length1b",26,35,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5866],21,23,"",2,0,1,2,1,2,11,11,2,""
71,"FinalNode4Length1c",26,35,100,0,"Metadata/MiscellaneousObjects/Abyss/AbyssFinalNodeChest",4,[5867],21,23,"",2,0,1,2,1,2,11,11,3,""
