"rownum","Projectile","Variant","[rid]","i32","rid"
0,"default_ranged",0,[59],3,""
1,"default_ranged",1,[212],3,""
2,"default_ranged",2,[334],3,""
3,"default_ranged",3,[560],3,""
4,"default_ranged",4,[561],3,""
5,"default_ranged",5,[596],3,""
6,"default_ranged",6,[612],3,""
7,"default_ranged",7,[613],3,""
8,"default_ranged",8,[614],3,""
9,"default_ranged",9,[615],3,""
10,"default_ranged",10,[616],3,""
11,"default_ranged",11,[617],3,""
12,"default_ranged",12,[618],3,""
13,"default_ranged",13,[619],3,""
14,"default_ranged",14,[620],3,""
15,"default_ranged",15,[621],3,""
16,"default_ranged",16,[622],3,""
17,"default_ranged",17,[623],3,""
18,"default_ranged",18,[705],3,""
19,"default_ranged",19,[681],3,""
20,"default_ranged",20,[690],3,""
21,"default_ranged",21,[706],3,""
22,"default_ranged",22,[713],3,""
23,"default_ranged",23,[714],3,""
24,"default_ranged",24,[715],3,""
25,"default_ranged",25,[814],3,""
26,"default_ranged",26,[817],3,""
27,"default_ranged",27,[825],3,""
28,"default_ranged",28,[922],3,""
29,"default_ranged",29,[968],3,""
30,"default_ranged",30,[975],3,""
31,"default_ranged",31,[1058],3,""
32,"default_ranged",32,[1069],3,""
33,"default_ranged",33,[1070],3,""
34,"default_ranged",34,[1071],3,""
35,"default_ranged",35,[60],3,""
36,"cremation_projectile",0,[374],3,""
37,"cremation_projectile",1,[374],3,""
38,"cremation_projectile",2,[415],3,""
39,"cremation_projectile",3,[419],3,""
40,"cremation_projectile",4,[375],3,""
41,"cremation_projectile",5,[1053],3,""
42,"cremation_projectile",6,[1068],3,""
43,"cremation_projectile",7,[1072],3,""
44,"soulfeast_primary",0,[1074],3,""
45,"soulfeast_secondary",0,[1075],3,""
46,"soulfeast_primary_short",0,[1076],3,""
47,"soulfeast_secondary_short",0,[1077],3,""
48,"soulfeast_primary",1,[1169],3,""
49,"soulfeast_secondary",1,[1170],3,""
50,"soulfeast_primary_short",1,[1171],3,""
51,"soulfeast_secondary_short",1,[1172],3,""
52,"igniting_flask",0,[1091],3,""
53,"spark",0,[17],3,""
54,"spark",1,[18],3,""
55,"spark",2,[19],3,""
56,"spark",3,[259],3,""
57,"spark",4,[357],3,""
58,"spark",5,[358],3,""
59,"spark",6,[17],3,""
60,"spark",7,[432],3,""
61,"spark",8,[447],3,""
62,"spark",9,[470],3,""
63,"spark",10,[483],3,""
64,"spark",11,[531],3,""
65,"spark",12,[607],3,""
66,"spark",13,[716],3,""
67,"spark",14,[723],3,""
68,"spark",15,[774],3,""
69,"spark",16,[919],3,""
70,"spark",17,[1036],3,""
71,"spark",18,[1037],3,""
72,"spark",19,[1092],3,""
73,"spark_monster",1,[95],3,""
74,"spark_monster",2,[96],3,""
75,"spark_monster",3,[866],3,""
76,"spark_tornado",0,[358],3,""
77,"spark_tornado",2,[361],3,""
78,"spark_tornado",17,[359],3,""
79,"spark_tornado",18,[360],3,""
80,"spark_tornado",19,[362],3,""
81,"lightning_strike_projectile",0,[30],3,""
82,"lightning_strike_projectile_lite",0,[1114],3,""
83,"lightning_strike_projectile",1,[30],3,""
84,"lightning_strike_projectile_lite",1,[1114],3,""
85,"lightning_strike_projectile",2,[1100],3,""
86,"lightning_strike_projectile_lite",2,[1100],3,""
