"rownum","Group","Weight","[i32]"
0,"Weapons",2825364,[]
1,"BodyArmours",1122958,[]
2,"Gloves",376224,[]
3,"Boots",437000,[]
4,"Helmets",562000,[]
5,"Shields",499000,[]
6,"Rings",125000,[]
7,"Amulets",62000,[]
8,"Belts",125000,[]
9,"Quivers",125000,[]
10,"ScrollOfWisdom",600000,[]
11,"ScrollOfPortal",260000,[]
12,"CurrencyItems",258462,[]
13,"Flasks",210000,[]
14,"UtilityFlasks",10000,[]
15,"SkillGems",55919,[]
16,"SupportGems",19081,[]
17,"Disabled",0,[]
18,"DropNothing",0,[]
19,"Maps",27560,[]
20,"FishingRods",0,[]
21,"AtziriFragments",0,[]
22,"VaalSkillGems",0,[]
23,"QualityCurrency",141538,[]
24,"Jewels",20000,[]
25,"DivinationCards",0,[]
26,"Talisman",0,[]
27,"Leaguestone",0,[]
28,"CurrencyShards",0,[]
29,"AbyssJewels",0,[]
30,"Breachstone",0,[]
31,"BreachstoneSplinter",0,[]
32,"BestiaryNet",0,[]
33,"Essences",0,[]
34,"LegionSplinter",0,[]
35,"Mushrunes",0,[]
36,"UberAtziriFragments",0,[]
37,"HeistCoins",8000,[]
38,"HeistContracts",2000,[]
39,"HeistBlueprints",160,[]
40,"HeistEquipment",62000,[35]
41,"ExpeditionCurrency",0,[]
42,"ScoutingReport",1378,[]
43,"Sentinels",14000,[44]
44,"CraftedSentinels",0,[44]
45,"PowerCores",0,[44]
