"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence"
0,73,"","","","","","","","","","","","",1823,3070,"","",3070,"","","","","",-1010710615,1,47,"[12179,12187]",0,1,700,1811,"","","",1823,3070,"",3070,3070,3070,3070,1823,1811,1823,1823,1823,1823,1811,1811,1811,1811,1811,1811,1811,12032,35,3070,3558,3558,3558,3070,"",""
1,74,"","","","","","","","","","","","",1824,3071,"","",3071,"","","","","",1794042691,12,67,"[12180,12187]",0,2,770,1812,"","","",1824,3071,"",3071,3071,3071,3071,1824,1812,1824,1824,1824,1824,1812,1812,1812,1812,1812,1812,1812,12033,45,3071,3559,3559,3559,3071,"",""
2,75,"","","","","","","","","","","","",1826,3072,"","",3072,"","","","","",-1926556014,30,100,"[12181,12187]",0,3,847,1814,"","","",1826,3072,"",3072,3072,3072,3072,1826,1814,1826,1826,1826,1826,1814,1814,1814,1814,1814,1814,1814,12034,60,3072,3560,3560,3560,3072,"",""
3,76,"","","","","","","","","","","","",1828,3073,"","",3073,"","","","","",1130285480,48,100,"[12182,12187]",0,4,931,1816,"","","",1828,3073,"",3073,3073,3073,3073,1828,1816,1828,1828,1828,1828,1816,1816,1816,1816,1816,1816,1816,12035,75,3073,3561,3561,3561,3073,"",""
4,77,"","","","","","","","","","","","",1830,3075,"","",3075,"","","","","",2062300730,68,100,"[12183,12187]",0,5,1024,1818,"","","",1830,3075,"",3075,3075,3075,3075,1830,1818,1830,1830,1830,1830,1818,1818,1818,1818,1818,1818,1818,12036,0,3075,3562,3562,3562,3075,"",1
5,78,"","","","","","","","","","","","",1831,3076,"","",3076,"","","","","",-2071586625,0,0,"[12184,12187]",0,6,0,1819,"","","",1831,3076,"",3076,3076,3076,3076,1831,1819,1831,1831,1831,1831,1819,1819,1819,1819,1819,1819,1819,12037,0,3076,3563,3563,3563,3076,"",""
6,79,"","","","","","","","","","","","",1843,3077,"","",3077,"","","","","",1769493148,0,0,"[12185,12187]",0,7,0,1821,"","","",1843,3077,"",3077,3077,3077,3077,1843,1821,1843,1843,1843,1843,1821,1821,1821,1821,1821,1821,1821,12038,0,3077,3564,3564,3564,3077,"",""
7,80,"","","","","","","","","","","","","",13147,1929,613,613,"","","","","",-777397213,1,47,[12179],1,1,700,"","",2262,2274,"",693,"",693,693,693,693,2274,2262,2274,2274,2274,2274,2262,2262,2262,2262,2262,2262,2262,12124,35,613,1929,613,"",693,"",""
8,81,"","","","","","","","","","","","","",13148,1930,614,614,"","","","","",1672586153,12,67,[12180],1,2,770,"","",2263,2275,"",694,"",694,694,694,694,2275,2263,2275,2275,2275,2275,2263,2263,2263,2263,2263,2263,2263,12125,45,614,1930,614,"",694,"",""
9,82,"","","","","","","","","","","","","",13153,1931,617,617,"","","","","",1828846209,30,100,[12181],1,3,847,"","",2264,2276,"",696,"",696,696,696,696,2276,2264,2276,2276,2276,2276,2264,2264,2264,2264,2264,2264,2264,12126,60,617,1931,617,"",696,"",""
10,83,"","","","","","","","","","","","","",13154,1932,619,619,710,710,"","",699,-1245983058,48,100,[12182],1,4,931,"","",2265,2277,"",698,"",698,698,710,710,2277,2265,2277,2277,2277,2277,2265,2265,2265,2265,2265,2265,2265,12127,75,619,1932,619,"",699,"",""
11,84,"","","","","","","","","","","","","",13150,1933,620,620,"","",700,714,707,-182539987,68,100,[12183],1,5,1024,"","",2270,2282,"",711,"",714,700,711,711,2282,2270,2282,2282,2282,2282,2270,2270,2270,2270,2270,2270,2270,12128,0,620,1933,620,"",707,"",1
12,85,"","","","","","","","","","","","","",13151,1939,622,621,"","",702,715,708,910335598,0,0,[12184],1,6,0,"","",2271,2283,"",712,"",715,702,712,712,2283,2271,2283,2283,2283,2283,2271,2271,2271,2271,2271,2271,2271,12129,0,621,1939,622,"",708,"",""
13,86,"","","","","","","","","","","","","",13152,1940,623,622,"","",706,716,709,1591416724,0,0,[12185],1,7,0,"","",2272,2284,"",713,"",716,706,713,713,2284,2272,2284,2284,2284,2284,2272,2272,2272,2272,2272,2272,2272,12130,0,622,1940,623,"",709,"",""
14,87,"","","","","","","","","","","","","",1001,"","",4579,"","","","","",1724552963,1,47,[12179],2,1,700,9152,"","","","",298,"",298,298,298,298,9152,9152,9152,9152,9152,9152,9152,9152,9152,9152,9152,9152,9152,12117,35,4579,2812,2812,2812,298,"",""
15,88,"","","","","","","","","","","","","",1002,"","",4580,"","","","","",-1337235593,12,67,[12180],2,2,770,9153,"","","","",299,"",299,299,299,299,9153,9153,9153,9153,9153,9153,9153,9153,9153,9153,9153,9153,9153,12118,45,4580,2813,2813,2813,299,"",""
16,89,"","","","","","","","","","","","","",1003,"","",4581,"","","","","",1334812465,30,100,[12181],2,3,847,9154,"","","","",300,"",300,300,300,300,9154,9154,9154,9154,9154,9154,9154,9154,9154,9154,9154,9154,9154,12119,60,4581,2814,2814,2814,300,"",""
17,90,"","","","","","","","","","","","","",1004,"","",4582,291,291,"","","",-669856137,48,100,[12182],2,4,931,9155,"","","","",292,"",292,292,291,291,9155,9155,9155,9155,9155,9155,9155,9155,9155,9155,9155,9155,9155,12120,75,4582,2815,2815,2815,292,"",""
18,91,"","","","","","","","","","","","","",1005,"","",4583,"","",294,293,294,181619222,68,100,[12183],2,5,1024,9156,"","","","",292,"",293,294,292,292,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,9156,12121,0,4583,2816,2816,2816,294,"",1
19,92,"","","","","","","","","","","","","",1006,"","",4584,"","",296,294,295,2059925248,0,0,[12184],2,6,0,9157,"","","","",293,"",294,296,293,293,9157,9157,9157,9157,9157,9157,9157,9157,9157,9157,9157,9157,9157,12122,0,4584,2817,2817,2817,295,"",""
20,93,"","","","","","","","","","","","","",1007,"","",4585,"","",301,303,302,-1356244188,0,0,[12185],2,7,0,9158,"","","","",304,"",303,301,304,304,9158,9158,9158,9158,9158,9158,9158,9158,9158,9158,9158,9158,9158,12123,0,4585,2818,2818,2818,302,"",""
