"rownum","Slot","ClusterJewelSize","i32","ReplacesSlot","ProxySlot","StartIndices"
0,1219,"",0,"","",[]
1,1220,"",0,"","",[]
2,1221,"",0,"","",[]
3,1222,"",0,"","",[]
4,1223,"",0,"","",[]
5,1224,"",0,"","",[]
6,1225,"",0,"","",[]
7,1226,"",0,"","",[]
8,1227,"",0,"","",[]
9,1228,"",0,"","",[]
10,1229,"",0,"","",[]
11,1230,2,0,"",3011,"[3,5,5]"
12,1231,2,1,"",3012,"[0,11,11]"
13,1232,2,2,"",3013,"[2,3,3]"
14,1233,"",0,"","",[]
15,1234,2,3,"",3014,"[1,1,1]"
16,1235,"",0,"","",[]
17,1236,2,4,"",3015,"[5,9,9]"
18,1237,"",0,"","",[]
19,1238,"",0,"","",[]
20,1239,2,5,"",3016,"[4,7,7]"
21,2975,1,0,11,3017,"[2,3]"
22,2976,1,1,11,3018,"[3,5]"
23,2977,1,2,11,3019,"[3,7]"
24,2978,0,0,21,3020,[1]
25,2979,0,0,22,3021,[2]
26,2980,0,0,23,3022,[3]
27,2981,1,0,12,3023,"[5,9]"
28,2982,1,1,12,3024,"[5,11]"
29,2983,1,2,12,3025,"[0,1]"
30,2984,0,0,27,3026,[4]
31,2985,0,0,28,3027,[5]
32,2986,0,0,29,3028,[0]
33,2987,1,0,13,3029,"[1,1]"
34,2988,1,1,13,3030,"[2,3]"
35,2989,1,2,13,3031,"[3,5]"
36,2990,0,0,33,3032,[0]
37,2991,0,0,34,3033,[1]
38,2992,0,0,35,3034,[2]
39,2993,1,0,15,3035,"[5,11]"
40,2994,1,1,15,3036,"[1,1]"
41,2995,1,2,15,3037,"[2,3]"
42,2996,0,0,39,3038,[5]
43,2997,0,0,40,3039,[0]
44,2998,0,0,41,3040,[1]
45,2999,1,0,17,3041,"[4,7]"
46,3000,1,1,17,3042,"[5,9]"
47,3001,1,2,17,3043,"[5,11]"
48,3002,0,0,45,3044,[3]
49,3003,0,0,46,3045,[4]
50,3004,0,0,47,3046,[5]
51,3005,1,0,20,3047,"[3,5]"
52,3006,1,1,20,3048,"[4,7]"
53,3007,1,2,20,3049,"[5,9]"
54,3008,0,0,51,3050,[2]
55,3009,0,0,52,3051,[3]
56,3010,0,0,53,3052,[4]
