"rownum","StatsKey","Description","BaseItemTypesKey","ModsKey"
0,20009,"Quality (Elemental Damage Modifiers)",280,0
1,20010,"Quality (Caster Modifiers)",281,1
2,20011,"Quality (Attack Modifiers)",282,2
3,20012,"Quality (Defence Modifiers)",283,3
4,20013,"Quality (Life and Mana Modifiers)",284,4
5,20014,"Quality (Resistance Modifiers)",285,5
6,20015,"Quality (Attribute Modifiers)",286,6
7,20016,"Quality (Physical and Chaos Damage Modifiers)",287,7
8,20017,"Quality (Speed Modifiers)",288,8
9,20018,"Quality (Critical Modifiers)",289,9
