"rownum","RewardOffer","i32","Character","Reward","RewardLevel","rid","i32","string","[rid]","RewardStack","bool","bool","[string]","i32","i32","[rid]","i32","rid","i32"
0,0,0,1,5462,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
1,0,1,1,5677,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
2,0,2,1,5651,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
3,0,3,1,5415,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
4,0,4,1,5697,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
5,0,5,1,5869,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
6,0,6,6,5758,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
7,0,7,6,5705,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
8,0,8,6,5677,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
9,0,9,6,5651,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
10,0,10,6,5629,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
11,0,11,6,5774,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
12,0,12,0,5403,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
13,0,13,0,5629,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
14,0,14,4,5404,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
15,0,15,4,5629,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
16,0,16,4,5681,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
17,0,17,4,5794,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
18,0,18,4,5890,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
19,0,19,3,5424,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
20,0,20,3,5422,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
21,0,21,3,5671,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
22,0,22,3,5681,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
23,0,23,3,5420,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
24,0,24,5,5462,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
25,0,25,5,5746,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
26,0,26,5,5816,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
27,0,27,5,5539,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
28,0,28,5,5697,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
29,0,29,5,5807,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
30,0,30,2,5629,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
31,0,31,2,5424,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
32,0,32,2,5651,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
33,0,33,2,5890,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
34,3,0,1,5689,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
35,3,1,1,5690,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
36,3,2,1,5596,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
37,3,3,1,5695,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
38,3,4,1,5416,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
39,3,5,1,5892,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
40,3,6,6,5689,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
41,3,7,6,5761,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
42,3,8,6,5542,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
43,3,9,6,5707,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
44,3,10,6,5672,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
45,3,11,6,5892,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
46,3,12,0,5537,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
47,3,13,0,5504,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
48,3,14,0,5707,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
49,3,15,0,5672,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
50,3,16,4,5707,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
51,3,17,4,5537,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
52,3,18,4,5506,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
53,3,19,4,5672,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
54,3,20,4,5768,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
55,3,21,4,5792,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
56,3,22,3,5534,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
57,3,23,3,5506,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
58,3,24,3,5485,1,"",0,"",[],1,"","",[],1211,0,[],0,"",0
