"rownum","Id","BaseItemTypesKeys1","BaseItemTypesKeys2","BaseItemTypesKeys3","BaseItemTypesKeys4","BaseItemTypesKeys5","BaseItemTypesKeys6","BaseItemTypesKeys7","BaseItemTypesKeys8","BaseItemTypesKeys9","BaseItemTypesKeys10","BaseItemTypesKeys11","BaseItemTypesKeys12","WorldAreasKey","BaseItemTypesKeys13","BaseItemTypesKeys14"
0,"Descent1","[5196,5159,5174,1,1]","[5196,5196,1,1]","[5196,5159,5174,1,1]","[5196,5196,1,1]","[5196,5159,5174,1,1]","[5196,5196,1,1]","[5196,5159,5174,1,1]","[5196,5196,1,1]","[5196,5159,5174,1,1]","[5196,5196,1,1]","[5196,5159,5174,1,1]","[5196,5196,1,1]",1306,"[5196,5159,5174,1,1]","[5196,5196,1,1]"
1,"Descent2","[5537,5672,6,4723,5707]","[5537,5672,10,11,11,4722,5707]","[5537,5672,6,4723,5707]","[5537,5672,10,11,11,4722,5707]","[5420,5536,5422,6,4723,5684]","[5420,5536,5422,10,11,11,4722,5684]","[5534,6,4723,5695,5690]","[5534,10,11,11,4722,5695,5690]","[5542,6,4723,5695,5690]","[5542,10,11,11,4722,5695,5690]","[5672,5542,5537,6,4723,5690,5707]","[5672,5542,5537,10,11,11,4722,5690,5707]",1307,"[5537,5542,5672,6,4723,5707,5690]","[5537,5542,5672,10,11,11,4722,5690,5707]"
2,"Descent3","[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4614,4451,4451,4738]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4614,4451,4451,4738]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4398,4368,4589,4564]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4398,4368,4589,4564]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4398,4398,4507,5214]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4398,4398,4507,5214]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4309,4309,4285,4285]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4309,4309,4285,4285]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4285,4285,4479,4479]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4285,4285,4479,4479]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4479,4479,4536]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4479,4479,4536]",1308,"[10,15,10,15,5160,5175,4670,4671,4672,4640,4640,4479,4479,4589,4368,4368]","[10,15,10,15,5160,5175,4670,4671,4672,4640,4641,4642,4479,4479,4589,4368,4368]"
3,"Descent4","[4669,10,14,1,1,1,5560,5425]","[6,6,5560,5425]","[4669,10,14,1,1,1,5560,5425]","[6,6,5560,5425]","[4669,10,14,1,1,1,5428,5431,5425]","[6,6,5431,5428,5425]","[4669,10,14,1,1,1,5428,5434,5431,5569,5699]","[6,6,5428,5431,5434,5569,5699]","[4669,10,14,1,1,1,5434,5428,5431,5699]","[6,6,5431,5434,5428,5699]","[4669,10,14,1,1,1,5434,5425,5560]","[6,6,5425,5434,5560]",1309,"[4669,10,14,1,1,1,5431,5434,5425]","[6,6,5425,5434,5431]"
4,"Descent5","[5398,0,0,0,0,6,2]","[5398,0,0,0,0,10,11,11,11,11,15,15]","[5398,0,0,0,0,6,2,5412]","[5398,0,0,0,0,10,11,11,11,11,15,15,5412]","[5656,5412,0,0,0,0,6,2]","[5656,5412,0,0,0,0,10,11,11,11,11,15,15]","[5482,0,0,0,0,6,2,5670,5521]","[5670,0,0,0,0,10,11,11,11,11,15,15,5482,5521]","[5482,5670,0,0,0,0,6,2,5521]","[5482,5670,0,0,0,0,10,11,11,11,11,15,15,5521]","[5670,0,0,0,0,6,2,5482,5666,5398]","[5398,5666,0,0,0,0,10,11,11,11,11,15,15,5670,5482]",1310,"[5670,0,0,0,0,6,2,5398,5482]","[5398,0,0,0,0,10,11,11,11,11,15,15,5482,5670]"
5,"Descent6","[4645,5401,5161,5176,6,6,5704]","[4645,5161,5176,5401,11,11,11,11,15,15,5704]","[4645,5401,5161,5176,5566,6,6,5704]","[4645,5566,5161,5176,5401,11,11,11,11,15,15,5704]","[4645,5490,5566,5161,5176,5507,6,6]","[4645,5566,5507,5161,5176,5490,11,11,11,11,15,15]","[4645,5571,5161,5176,5589,5597,6,6,5698,5686]","[4645,5161,5176,5589,5597,5571,11,11,11,11,15,15,5698,5686]","[4645,5508,5161,5176,5597,5501,5397,6,6,5698,5686]","[4645,5397,5161,5176,5501,5597,5508,11,11,11,11,15,15,5698,5686]","[4645,5501,5161,5176,5397,5401,5562,6,6,5704]","[4645,5161,5176,5401,5397,5501,5562,11,11,11,11,15,15,5704]",1311,"[4645,5161,5176,5501,5401,6,6,5704]","[4645,5161,5176,5501,5401,11,11,11,11,15,15,5704]"
6,"Descent7","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4453,4453,4739,4615]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4453,4453,4739,4615]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4565,4590,4400,4369]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4565,4590,4400,4369]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4509,4400,4400,5214]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,6,4509,4400,4400,5214]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4286,4286,4311,4311]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4286,4286,4311,4311]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4286,4286,4481,4481]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4286,4286,4481,4481]","[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4481,4481,4537]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4481,4481,4537]",1312,"[0,0,0,0,21,21,21,21,21,20,20,19,19,2,6,4481,4481,4369,4369,4590]","[0,0,0,0,21,21,20,20,20,20,20,19,19,2,6,4481,4481,4369,4369,4590]"
7,"Descent8","[5645,5406,5541,4644,4646,4676,4677,4675,2,6,11]","[5645,5406,5541,4644,4646,4676,4677,4675,12,12,10,10,10,11]","[5645,5406,5541,4644,4646,4676,4677,4675,2,6,11]","[5645,5406,5541,4644,4646,12,12,10,10,10,11,4676,4677,4675]","[5645,5646,5413,5541,4644,4646,4676,4677,4675,2,6,11]","[5645,5646,5413,5541,4644,4646,12,12,10,10,10,11,4676,4677,4675]","[5647,5646,5541,4644,4646,4676,4677,4675,2,6,11]","[5647,5646,5541,4644,4646,12,12,10,10,10,11,4676,4677,4675]","[5647,5646,4644,4646,4676,4677,4675,2,6,11]","[5647,5646,4644,4646,12,12,10,10,10,11,4676,4677,4675]","[5645,5647,5406,4644,4646,4676,4677,4675,2,6,11]","[5645,5647,5406,4644,4646,12,12,10,10,10,11,4676,4677,4675]",1313,"[5646,5647,5645,4644,4646,4676,4677,4675,2,6,11]","[5646,5647,5645,4644,4646,12,12,10,10,10,11,4676,4677,4675]"
8,"Descent9","[4,4,4,6,6,4724,4915,5091,4837,5020,5468,5162,5177,5426,5498,4]","[4722,0,0,0,6,6,4616,4454,4740,5426,5498,5162,5177,5468,4454,0]","[4,4,4,6,6,4724,4967,5127,4868,5057,5468,5162,5177,5426,5498,4]","[4722,0,0,0,6,6,4591,4401,5498,5426,5162,5177,5468,4566,4371,0]","[4,4,4,6,6,4724,4933,5103,4848,5033,5595,5162,5177,5426,5498,5468,4]","[4722,0,0,0,6,6,4510,5214,5498,5426,5162,5177,4401,4401,5595,5468,0]","[4,4,4,6,6,4724,5001,5143,4895,5073,5491,5162,5177,5471,5678,4]","[4722,0,0,0,6,6,4723,4312,4312,5471,5678,5162,5177,5491,4287,4287,0]","[4,4,4,6,6,4724,4950,5115,4858,5045,5471,5162,5177,5491,4]","[4722,0,0,0,6,6,4723,5491,5162,5177,5471,4287,4287,4482,4482,0]","[4,4,4,6,6,4724,4984,5135,4881,5065,5471,5468,5162,5177,5426,5491,5498,4]","[4722,0,0,0,6,6,4723,4482,4482,5491,5498,5162,5177,5426,5468,5471,4538,0]",1314,"[4,4,4,6,6,4724,4967,5127,4868,5057,5471,5468,5162,5177,5491,5426,5498,4]","[4722,0,0,0,6,6,4591,5491,5426,5162,5177,5471,5498,5468,4482,4482,4371,4371,0]"
9,"Descent10","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]","[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]",1315,"[21,21,20,20,19,19,21,21,20,20,19,19]","[21,21,20,20,19,19,10,11,11,14]"
