"rownum","i32","rid","bool","i32","bool","i32","i32","bool","i32","i32","i32","bool","i32","i32","i32","bool","bool","bool","rid","bool","rid","i32"
0,0,587,1,9,1,4,7,1,1000,5,10,1,0,0,0,"","","","","","",0
1,1,588,1,19,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
2,2,598,1,6,"",2,4,1,0,15,45,1,0,0,0,"","","","","","",0
3,3,599,1,4,"",2,4,1,0,20,60,1,0,0,0,"","","","","","",0
4,4,610,1,3,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
5,5,636,1,2,1,2,7,1,0,20,60,1,0,0,0,"","","","","","",0
6,6,637,"",4,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
7,7,637,"",0,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
8,8,637,"",3,"",4,2,"",0,0,0,"",0,0,0,"","","","","","",0
9,9,643,"",0,"",4,6,"",0,0,0,"",0,0,0,"","","","","","",0
10,10,669,"",14,"",4,7,"",2600,0,0,"",0,0,0,"","","","","","",0
11,11,671,"",0,"",4,7,"",0,0,0,"",0,220,0,"","","","","","",0
12,14,699,1,6,1,2,7,1,0,30,60,1,0,0,0,"","","","","","",0
13,15,686,"",1,1,4,2,1,0,0,0,"",90,0,0,"","","","","","",0
14,16,687,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
15,17,688,"",1,1,4,2,1,0,0,0,"",0,0,0,"","","","","","",0
16,18,674,1,0,"",3,7,1,0,5,30,1,0,0,0,"","","","","","",0
17,19,707,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
18,20,707,"",0,"",3,4,"",0,0,0,"",0,0,0,"","","","","","",0
19,21,707,"",0,"",3,4,"",0,0,0,"",20,0,0,"","","","","","",0
20,22,707,"",0,"",3,4,"",0,0,0,"",-20,0,0,"","","","","","",0
21,23,697,"",7,1,2,7,"",200,0,0,"",0,0,0,"","","","","","",0
22,24,722,"",5,1,3,7,1,0,0,0,"",0,0,0,"","","","","","",0
23,25,748,1,9,"",2,4,1,0,20,60,1,0,45,0,"","","","","","",0
24,26,758,"",10,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
25,27,776,1,16,1,4,7,1,1000,5,20,1,0,0,0,"","","","","","",0
26,28,280,"",5,"",2,6,"",500,0,0,"",0,15,0,"","","","","","",0
27,29,784,"",0,"",2,7,"",0,0,0,"",0,15,0,"","","","","","",0
28,30,821,"",10,"",4,2,"",0,0,0,"",180,220,0,"","","","","","",0
29,31,823,"",7,1,4,7,"",0,0,0,"",0,0,0,"","","","","","",0
