"rownum","i32","i32","StatsKeys","StatValues","QuestKey","i32","ClientStringsKey","i32"
0,117,1,[],[],4,0,"",0
1,47,1,[],[],6,0,"",0
2,229,0,[],[],3,0,"",2
3,264,1,[],[],8,0,"",0
4,55,0,"[1905,620,177]","[6,10,6]",16,0,"",0
5,57,0,"[131,95,141]","[300,20,15]",17,0,"",0
6,90,0,"[451,1035,26]","[60,2,20]",18,0,"",0
7,104,0,[],[],10,0,"",2
8,123,2,[],[],15,0,"",0
9,460,1,[],[],23,0,"",2
10,218,1,[],[],30,0,"",0
11,794,1,[],[],39,0,"",2
12,1069,1,[],[],65,0,"",0
13,1094,1,[],[],69,0,"",2
14,1172,1,[],[],72,0,"",0
15,1190,1,[],[],75,0,"",0
16,1184,0,[],[],73,0,"",2
17,1197,1,[],[],76,0,"",0
18,1278,1,[],[],77,0,"",0
19,1384,1,[],[],85,0,"",0
20,1314,1,[],[],82,0,"",2
21,1449,1,[],[],91,0,"",2
22,1436,1,[],[],89,0,"",0
23,1458,1,[],[],92,0,"",0
24,1570,1,[],[],97,0,"",0
25,1562,1,[],[],94,0,"",0
26,1620,0,[],[],96,0,"",2
27,1669,0,[],[],101,0,"",2
28,1675,1,[],[],103,0,"",0
29,1661,2,[],[],100,0,"",0
30,655,2,[],[],"",0,"",0
31,656,2,[],[],"",0,"",0
32,657,2,[],[],"",0,"",0
33,658,2,[],[],"",0,"",0
34,900,0,[],[],"",2,"",0
35,993,0,[],[],"",2,"",0
36,994,0,[],[],"",2,"",0
37,901,0,[],[],"",2,"",0
38,1086,0,"[141,150]","[-30,-30]",68,0,3061,0
39,60,0,"[141,150]","[-30,-30]",100,0,3062,0
40,2348,3,[],[],"",0,"",0
41,2291,3,[],[],"",0,"",2
42,2292,3,[],[],"",0,"",3
43,2293,3,[],[],"",0,"",3
44,2294,3,"[141,150]","[-30,-30]","",0,3061,3
45,2295,3,[],[],"",0,"",3
46,2296,3,[],[],"",0,"",3
47,2297,3,"[141,150]","[-30,-30]","",0,3062,3
48,2604,3,[],[],"",0,"",0
49,2605,3,[],[],"",0,"",2
50,2606,3,[],[],"",0,"",3
51,2607,3,[],[],"",0,"",3
52,2608,3,"[141,150]","[-30,-30]","",0,3061,3
53,2609,3,[],[],"",0,"",3
54,2610,3,[],[],"",0,"",3
55,2611,3,"[141,150]","[-30,-30]","",0,3062,3
