"rownum","Id","StatsKey","bool","StatMin","StatMax","bool"
0,"IsMagic",1946,"",1,1,""
1,"IsRare",1946,"",2,2,""
2,"IsUnique",1946,"",3,3,""
3,"IsTwinned",981,1,1,1,""
4,"IsUnidentified",1358,1,1,1,""
5,"IsCorrupted",2524,1,1,1,""
6,"Has4ExplicitMods",4495,1,4,4,""
7,"Has5ExplicitMods",4495,1,5,5,""
8,"Has8ExplicitMods",4495,1,8,8,""
9,"Has10TotalMods",6498,1,10,10,""
10,"Has3Leaguestones",5802,1,3,3,""
11,"HasZanaMod",7694,1,1,1,""
12,"HasCraftedMods",7695,1,1,1,""
13,"HasShaperInfluence",6834,"",1,1,""
14,"HasElderInfluence",6834,"",2,2,""
15,"HasShaperOrElderInfluence",6834,"",1,2,""
16,"IsWhiteTier",10018,"",1,5,""
17,"IsYellowTier",10018,"",6,10,""
18,"IsRedTier",10018,"",11,16,""
19,"HasSextantMod",5835,1,1,1,""
20,"HasNemesisSextant",4935,1,1,1,""
21,"HasGroundHasteSextant",5056,1,1,1,""
22,"HasNoReflectSextant",5082,1,1,1,""
23,"HasExtraTeamMonstersSextant",5090,1,1,1,""
24,"HasBodyguardsSextant",5119,1,1,1,""
25,"HasBarrelSextant1",5116,1,1,1,""
26,"HasBarrelSextant2",5143,1,1,1,""
27,"HasBarrelSextant3",5144,1,1,1,""
28,"HasBarrelSextant4",5145,1,1,1,""
29,"HasBarrelSextant5",5146,1,1,1,""
30,"HasBarrelSextant6",5147,1,1,1,""
31,"HasConvertOnDeathSextant",5089,1,1,1,""
32,"HasOnslaughtIfHitRecentlySextant",5039,1,1,1,""
33,"HasQualityAffectsRaritySextant",5074,1,1,1,""
34,"HasCorruptedDropsSextant",5076,1,1,1,""
35,"HasMinStrongboxRaritySextant",5142,1,1,1,""
36,"HasPossessedRustedScarabSextant",9342,1,1,1,""
37,"HasPossessedPolishedScarabSextant",9343,1,1,1,""
38,"HasPossessedGildedScarabSextant",9344,1,1,1,""
39,"HasPossessedWingedScarabSextant",9345,1,1,1,""
40,"HasPossessedUniqueDropSextant",9346,1,1,1,""
41,"HasPossessedMapDropSextant",9347,1,1,1,""
42,"HasShrineDurationSextant",5715,1,1,1,""
43,"HasCurrencyShardSextant",9351,1,1,1,""
44,"HasVaalMonstersSextant",9375,1,1,1,""
45,"HasBeyondSextant",9366,1,1,1,""
46,"HasTormentBetrayersSextant",9404,1,1,1,""
47,"HasTormentHereticsSextant",9405,1,1,1,""
48,"HasTormentGraverobbersSextant",9403,1,1,1,""
49,"HasCorruptEssenceSextant",9817,1,1,1,""
50,"HasTempests",3123,1,1,1,""
51,"HasLegionSextant",9363,1,1,1,""
52,"HasQuality",5075,1,20,20,""
53,"IsDeliriumMap",11511,1,1,1,""
54,"IsMaximumDelirium",11511,1,100,100,""
55,"AwakeningLevel8",10712,1,8,8,""
56,"ContainsElderGuardian",6554,1,1,1,""
57,"IsBlightedMap",10349,1,1,1,""
58,"IsUberBlightedMap",14780,1,1,1,""
59,"IsT10PlusHellscapeMap",15088,1,10,10,""
60,"HasIncreasedAreaOfEffect",3248,1,1,1,""
61,"HasMinusMaxResistances",1009,"",-1,-1,1
62,"HasAdditionalProjectiles",996,1,1,1,""
63,"HasAttackSpeed",992,1,1,1,""
64,"HasCastSpeed",993,1,1,1,""
65,"HasMovementSpeed",991,1,1,1,""
66,"Has4SextantMods",5835,1,4,4,""
67,"HasTangleInfluence",10604,"",1,1,""
68,"HasCleansingFireInfluence",10604,"",2,2,""
69,"HasHeightOfHubrisAffectingArea",16084,1,1,1,""
70,"Has70PercentBossAoE",3258,1,70,70,""
