"rownum","BaseItemTypesKey","ItemCurrentLevel","Experience"
0,5396,1,0
1,5396,2,70
2,5396,3,378
3,5396,4,1932
4,5396,5,8599
5,5396,6,34646
6,5396,7,84371
7,5396,8,180085
8,5396,9,349680
9,5396,10,633439
10,5396,11,1087435
11,5396,12,1790563
12,5396,13,2851786
13,5396,14,4917656
14,5396,15,7424766
15,5396,16,13223702
16,5396,17,28307621
17,5396,18,56100356
18,5396,19,99970095
19,5396,20,342051651
20,5397,1,0
21,5397,2,15249
22,5397,3,56766
23,5397,4,138749
24,5397,5,286717
25,5397,6,537274
26,5397,7,942360
27,5397,8,1390078
28,5397,9,2005396
29,5397,10,2840035
30,5397,11,4410795
31,5397,12,6044782
32,5397,13,8195812
33,5397,14,11008001
34,5397,15,16107361
35,5397,16,25508092
36,5397,17,40781458
37,5397,18,67068040
38,5397,19,129958630
39,5397,20,342004647
40,5398,1,0
41,5398,2,9569
42,5398,3,37758
43,5398,4,96904
44,5398,5,208096
45,5398,6,401896
46,5398,7,722176
47,5398,8,1081266
48,5398,9,1579774
49,5398,10,2261831
50,5398,11,3183608
51,5398,12,4911487
52,5398,13,6703256
53,5398,14,9056935
54,5398,15,12127847
55,5398,16,21223313
56,5398,17,37263203
57,5398,18,67080320
58,5398,19,129975376
59,5398,20,342026975
60,5401,1,0
61,5401,2,15249
62,5401,3,56766
63,5401,4,138749
64,5401,5,286717
65,5401,6,537274
66,5401,7,942360
67,5401,8,1390078
68,5401,9,2005396
69,5401,10,2840035
70,5401,11,4410795
71,5401,12,6044782
72,5401,13,8195812
73,5401,14,11008001
74,5401,15,16107361
75,5401,16,25508092
76,5401,17,40781458
77,5401,18,67068040
78,5401,19,129958630
79,5401,20,342004647
80,5403,1,0
81,5403,2,70
82,5403,3,378
83,5403,4,1932
84,5403,5,8599
85,5403,6,34646
86,5403,7,84371
87,5403,8,180085
88,5403,9,349680
89,5403,10,633439
90,5403,11,1087435
91,5403,12,1790563
92,5403,13,2851786
93,5403,14,4917656
94,5403,15,7424766
95,5403,16,13223702
96,5403,17,28307621
97,5403,18,56100356
98,5403,19,99970095
99,5403,20,342051651
100,5404,1,0
101,5404,2,70
102,5404,3,378
103,5404,4,1932
104,5404,5,8599
105,5404,6,34646
106,5404,7,84371
107,5404,8,180085
108,5404,9,349680
109,5404,10,633439
110,5404,11,1087435
111,5404,12,1790563
112,5404,13,2851786
113,5404,14,4917656
114,5404,15,7424766
115,5404,16,13223702
116,5404,17,28307621
117,5404,18,56100356
118,5404,19,99970095
119,5404,20,342051651
120,5405,1,0
121,5405,2,9569
122,5405,3,37758
123,5405,4,96904
124,5405,5,208096
125,5405,6,401896
126,5405,7,722176
127,5405,8,1081266
128,5405,9,1579774
129,5405,10,2261831
130,5405,11,3183608
131,5405,12,4911487
132,5405,13,6703256
133,5405,14,9056935
134,5405,15,12127847
135,5405,16,21223313
136,5405,17,37263203
137,5405,18,67080320
138,5405,19,129975376
139,5405,20,342026975
140,5406,1,0
141,5406,2,9569
142,5406,3,37758
143,5406,4,96904
144,5406,5,208096
145,5406,6,401896
146,5406,7,722176
147,5406,8,1081266
148,5406,9,1579774
149,5406,10,2261831
150,5406,11,3183608
151,5406,12,4911487
152,5406,13,6703256
153,5406,14,9056935
154,5406,15,12127847
155,5406,16,21223313
156,5406,17,37263203
157,5406,18,67080320
158,5406,19,129975376
159,5406,20,342026975
160,5407,1,0
161,5407,2,70
162,5407,3,378
163,5407,4,1932
164,5407,5,8599
165,5407,6,34646
166,5407,7,84371
167,5407,8,180085
168,5407,9,349680
169,5407,10,633439
170,5407,11,1087435
171,5407,12,1790563
172,5407,13,2851786
173,5407,14,4917656
174,5407,15,7424766
175,5407,16,13223702
176,5407,17,28307621
177,5407,18,56100356
178,5407,19,99970095
179,5407,20,342051651
180,5409,1,0
181,5409,2,15249
182,5409,3,56766
