"rownum","BaseItemType","Scaling","Name"
0,8796,0.85,"Bazira"
1,8797,0.85,"Tsvet Matvei"
2,8798,0.85,"Bazira"
3,8799,0.85,"Count Geonor"
4,8800,0.85,"The Crimson Scribe"
5,8801,0.85,"The Midnight Tinkerer"
6,8802,0.85,"Aline Koltz"
7,8803,0.85,"Tsvet Matvei"
8,8804,0.85,"Administrator Qotra"
9,8805,0.85,"Count Geonor"
10,8806,0.85,"Nishem"
11,8807,0.85,"Aline Koltz"
12,8808,0.85,"Count Geonor"
13,8809,0.85,"Marcine Clavus"
14,8810,0.85,"Marcine Clavus"
15,8811,0.85,"Marcine Clavus"
16,8812,0.85,"Marcine Clavus"
17,8813,0.85,"Marcine Clavus"
18,8814,1.2,"Selwyn Eddard"
19,8815,1.2,"Kondor Larcius"
20,8816,1.2,"Grond Ironeye"
21,8817,1.2,"Bazira"
22,8818,1.2,"Bazira"
23,8819,1.2,"Kondor Larcius"
24,8820,1.2,"The Crimson Scribe"
25,8821,1.2,"Administrator Qotra"
26,8822,1.2,"Administrator Qotra"
27,8823,1.2,"The Crimson Scribe"
28,8824,1.2,"Remus Hestor"
29,8825,1.2,"Nishem"
30,8826,1.2,"The Crimson Scribe"
31,8827,1.2,"Anton Laffrey"
32,8828,1.5,"Tsvet Matvei"
33,8829,1.5,"Kondor Larcius"
34,8830,1.5,"The Midnight Tinkerer"
35,8831,1.5,"Bazira"
36,8832,1.5,"Kondor Larcius"
37,8833,1.5,"The Crimson Scribe"
38,8834,3,"Administrator Qotra"
39,8835,3,"Cardinal Uthelius"
40,8836,3,"Castor Pollinius III"
41,8837,0.3,""
42,8838,0.3,""
43,8839,0.3,""
44,8840,0.3,""
45,8841,0.3,""
46,8842,0.3,""
47,8843,0,"Karst"
48,8844,0,"Karst"
49,8845,0,"Karst"
50,8846,0,"Tibbs"
51,8847,0,"Tibbs"
52,8848,0,"Huck"
53,8849,0,"Huck"
54,8850,0,"Vinderi"
55,8851,0,"Vinderi"
56,8852,0,"Gianna"
57,8853,0,"Gianna"
58,8854,0,"Tullina"
59,8855,0,"Tullina"
60,8856,0,"Niles"
61,8857,0,"Niles"
62,8858,0,"Nenet"
63,8859,0,"Nenet"
64,8860,0,"Isla"
65,8861,0,"Isla"
66,8862,0,"Isla"
67,8863,0,"Adiyah"
68,8864,0,"Adiyah"
69,8865,0,"Adiyah"
70,8866,0,"Whakano"
71,8867,0,"Whakano"
72,8868,0,"Whakano"
73,8869,0,"Faustus"
74,8871,0,"Faustus"
75,8872,0,"Faustus"
76,8873,0,"Kurai"
77,8874,0,"Kurai"
78,8875,0,"Kurai"
79,8876,0,"Kurai"
