"rownum","Id","i32","i32","i32","i32","bool","i32","i32","i32","bool","i32","[rid]"
0,"Metadata/Items/MapFragments/CurrencyVaalFragment1_1",220,74,0,1,1,0,0,70,"",0,[6615]
1,"Metadata/Items/MapFragments/CurrencyVaalFragment1_2",220,169,1,1,1,0,0,70,"",0,[6616]
2,"Metadata/Items/MapFragments/CurrencyVaalFragment1_3",122,169,2,1,1,0,0,70,"",0,[6617]
3,"Metadata/Items/MapFragments/CurrencyVaalFragment1_4",122,74,3,1,1,0,0,70,"",0,[6618]
4,"Metadata/Items/MapFragments/CurrencyVaalFragment2_1",744,74,4,1,1,0,0,70,"",0,[6620]
5,"Metadata/Items/MapFragments/CurrencyVaalFragment2_2",744,169,5,1,1,0,0,70,"",0,[6621]
6,"Metadata/Items/MapFragments/CurrencyVaalFragment2_3",647,169,6,1,1,0,0,70,"",0,[6622]
7,"Metadata/Items/MapFragments/CurrencyVaalFragment2_4",647,74,7,1,1,0,0,70,"",0,[6623]
8,"Metadata/Items/MapFragments/CurrencyProphecyFragment1",482,74,8,1,1,0,0,70,1,0,[6625]
9,"Metadata/Items/MapFragments/CurrencyProphecyFragment2",482,169,9,1,1,0,0,70,1,0,[6626]
10,"Metadata/Items/MapFragments/CurrencyProphecyFragment3",385,169,10,1,1,0,0,70,1,0,[6627]
11,"Metadata/Items/MapFragments/CurrencyProphecyFragment4",385,74,11,1,1,0,0,70,1,0,[6628]
12,"Metadata/Items/MapFragments/CurrencyShaperFragment1",482,697,12,1,1,0,0,70,"",0,[6630]
13,"Metadata/Items/MapFragments/CurrencyShaperFragment2",482,791,13,1,1,0,0,70,"",0,[6631]
14,"Metadata/Items/MapFragments/CurrencyShaperFragment3",385,791,14,1,1,0,0,70,"",0,[6632]
15,"Metadata/Items/MapFragments/CurrencyShaperFragment4",385,697,15,1,1,0,0,70,"",0,[6633]
16,"Metadata/Items/MapFragments/CurrencyFragmentPantheonFlask",122,584,16,1,1,0,0,70,"",0,[6650]
17,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire",228,315,17,1,1,0,1,74,"",0,[6651]
18,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold",329,315,18,1,1,0,1,74,"",0,[6652]
19,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning",430,315,19,1,1,0,1,74,"",0,[6653]
20,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical",532,315,20,1,1,0,1,74,"",0,[6654]
21,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos",633,315,21,1,1,0,1,74,"",0,[6655]
22,"Metadata/Items/Currency/CurrencyBreachFireShard",228,197,22,1,1,16777216,1,74,"",0,[186]
23,"Metadata/Items/Currency/CurrencyBreachColdShard",329,197,23,1,1,16777216,1,74,"",0,[187]
24,"Metadata/Items/Currency/CurrencyBreachLightningShard",430,197,24,1,1,16777216,1,74,"",0,[188]
25,"Metadata/Items/Currency/CurrencyBreachPhysicalShard",532,197,25,1,1,16777216,1,74,"",0,[189]
26,"Metadata/Items/Currency/CurrencyBreachChaosShard",633,197,26,1,1,16777216,1,74,"",0,[190]
27,"Metadata/Items/MapFragments/CurrencyOfferingToTheGoddess",247,584,27,1,1,0,0,70,"",0,[6687]
28,"Metadata/Items/Scarabs/ScarabBreach1",491,677,28,1,1,0,2,75,"",0,[8553]
29,"Metadata/Items/Scarabs/ScarabBreach2",592,677,29,1,1,0,2,75,"",0,[8554]
30,"Metadata/Items/Scarabs/ScarabBreach3",693,677,30,1,1,0,2,75,"",0,[8555]
31,"Metadata/Items/Scarabs/ScarabMaps1",491,287,31,1,1,0,2,75,"",0,[8557]
32,"Metadata/Items/Scarabs/ScarabMaps2",592,287,32,1,1,0,2,75,"",0,[8558]
33,"Metadata/Items/Scarabs/ScarabMaps3",693,287,33,1,1,0,2,75,"",0,[8559]
34,"Metadata/Items/Scarabs/ScarabUniques1",68,186,34,1,1,0,2,75,"",0,[8561]
35,"Metadata/Items/Scarabs/ScarabUniques2",169,186,35,1,1,0,2,75,"",0,[8562]
36,"Metadata/Items/Scarabs/ScarabUniques3",270,186,36,1,1,0,2,75,"",0,[8563]
37,"Metadata/Items/Scarabs/ScarabBeasts1",68,89,37,1,1,0,2,75,"",0,[8565]
38,"Metadata/Items/Scarabs/ScarabBeasts2",169,89,38,1,1,0,2,75,"",0,[8566]
39,"Metadata/Items/Scarabs/ScarabBeasts3",270,89,39,1,1,0,2,75,"",0,[8567]
40,"Metadata/Items/Scarabs/ScarabShaperRares1",491,89,40,1,1,0,2,75,"",0,[8573]
41,"Metadata/Items/Scarabs/ScarabShaperRares2",592,89,41,1,1,0,2,75,"",0,[8574]
42,"Metadata/Items/Scarabs/ScarabShaperRares3",693,89,42,1,1,0,2,75,"",0,[8575]
43,"Metadata/Items/Scarabs/ScarabElderRares1",491,482,43,1,1,0,2,75,"",0,[8577]
44,"Metadata/Items/Scarabs/ScarabElderRares2",592,482,44,1,1,0,2,75,"",0,[8578]
45,"Metadata/Items/Scarabs/ScarabElderRares3",693,482,45,1,1,0,2,75,"",0,[8579]
46,"Metadata/Items/Scarabs/ScarabSulphite1",68,382,46,1,1,0,2,75,"",0,[8581]
47,"Metadata/Items/Scarabs/ScarabSulphite2",169,382,47,1,1,0,2,75,"",0,[8582]
48,"Metadata/Items/Scarabs/ScarabSulphite3",270,382,48,1,1,0,2,75,"",0,[8583]
49,"Metadata/Items/Scarabs/ScarabDivinationCards1",491,579,49,1,1,0,2,75,"",0,[8585]
50,"Metadata/Items/Scarabs/ScarabDivinationCards2",592,579,50,1,1,0,2,75,"",0,[8586]
51,"Metadata/Items/Scarabs/ScarabDivinationCards3",693,579,51,1,1,0,2,75,"",0,[8587]
52,"Metadata/Items/Scarabs/ScarabTorment1",68,284,52,1,1,0,2,75,"",0,[8589]
53,"Metadata/Items/Scarabs/ScarabTorment2",169,284,53,1,1,0,2,75,"",0,[8590]
54,"Metadata/Items/Scarabs/ScarabTorment3",270,284,54,1,1,0,2,75,"",0,[8591]
55,"Metadata/Items/Scarabs/ScarabStrongbox1",68,675,55,1,1,0,2,75,"",0,[8593]
56,"Metadata/Items/Scarabs/ScarabStrongbox2",169,675,56,1,1,0,2,75,"",0,[8594]
57,"Metadata/Items/Scarabs/ScarabStrongbox3",270,675,57,1,1,0,2,75,"",0,[8595]
58,"Metadata/Items/Scarabs/ScarabHarbinger1",491,384,58,1,1,0,2,75,"",0,[8597]
59,"Metadata/Items/Scarabs/ScarabHarbinger2",592,384,59,1,1,0,2,75,"",0,[8598]
60,"Metadata/Items/Scarabs/ScarabHarbinger3",693,384,60,1,1,0,2,75,"",0,[8599]
61,"Metadata/Items/Scarabs/ScarabPerandus1",491,189,61,1,1,0,2,75,"",0,[8601]
62,"Metadata/Items/Scarabs/ScarabPerandus2",592,189,62,1,1,0,2,75,"",0,[8602]
63,"Metadata/Items/Scarabs/ScarabPerandus3",693,189,63,1,1,0,2,75,"",0,[8603]
64,"Metadata/Items/MapFragments/CurrencyLegionFragmentKarui",335,375,64,1,1,0,0,70,"",0,[6676]
65,"Metadata/Items/MapFragments/CurrencyLegionFragmentMaraketh",627,375,65,1,1,0,0,70,"",0,[6677]
66,"Metadata/Items/MapFragments/CurrencyLegionFragmentEternal",238,375,66,1,1,0,0,70,"",0,[6678]
67,"Metadata/Items/MapFragments/CurrencyLegionFragmentTemplar",530,375,67,1,1,0,0,70,"",0,[6679]
68,"Metadata/Items/MapFragments/CurrencyLegionFragmentVaal",433,375,68,1,1,0,0,70,"",0,[6680]
69,"Metadata/Items/Currency/CurrencyLegionKaruiShard",335,281,69,1,1,16777216,0,70,"",0,[196]
70,"Metadata/Items/Currency/CurrencyLegionMarakethShard",627,281,70,1,1,16777216,0,70,"",0,[197]
71,"Metadata/Items/Currency/CurrencyLegionEternalEmpireShard",238,281,71,1,1,16777216,0,70,"",0,[198]
72,"Metadata/Items/Currency/CurrencyLegionTemplarShard",530,281,72,1,1,16777216,0,70,"",0,[199]
73,"Metadata/Items/Currency/CurrencyLegionVaalShard",433,281,73,1,1,16777216,0,70,"",0,[200]
74,"Metadata/Items/Scarabs/ScarabLegion1",68,577,74,1,1,0,2,75,"",0,[8605]
75,"Metadata/Items/Scarabs/ScarabLegion2",169,577,75,1,1,0,2,75,"",0,[8606]
76,"Metadata/Items/Scarabs/ScarabLegion3",270,577,76,1,1,0,2,75,"",0,[8607]
77,"Metadata/Items/MapFragments/CurrencyElderFragment1",220,697,77,1,1,0,0,70,"",0,[6635]
78,"Metadata/Items/MapFragments/CurrencyElderFragment2",220,791,78,1,1,0,0,70,"",0,[6636]
79,"Metadata/Items/MapFragments/CurrencyElderFragment3",122,791,79,1,1,0,0,70,"",0,[6637]
80,"Metadata/Items/MapFragments/CurrencyElderFragment4",122,697,80,1,1,0,0,70,"",0,[6638]
81,"Metadata/Items/MapFragments/CurrencyUberElderFragment1",744,697,81,1,1,0,0,70,"",0,[6640]
82,"Metadata/Items/MapFragments/CurrencyUberElderFragment2",744,791,82,1,1,0,0,70,"",0,[6641]
83,"Metadata/Items/MapFragments/CurrencyUberElderFragment3",647,791,83,1,1,0,0,70,"",0,[6642]
84,"Metadata/Items/MapFragments/CurrencyUberElderFragment4",647,697,84,1,1,0,0,70,"",0,[6643]
85,"Metadata/Items/Scarabs/ScarabMetamorph1",68,479,85,1,1,0,2,75,"",0,[8609]
86,"Metadata/Items/Scarabs/ScarabMetamorph2",169,479,86,1,1,0,2,75,"",0,[8610]
87,"Metadata/Items/Scarabs/ScarabMetamorph3",270,479,87,1,1,0,2,75,"",0,[8611]
88,"Metadata/Items/MapFragments/CurrencyMavenKey",744,420,88,1,1,0,0,70,"",0,[8932]
89,"Metadata/Items/MapFragments/CurrencyMavenKeyFragment",744,326,89,1,1,0,0,70,"",0,[8933]
90,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire2",228,433,90,1,1,0,1,74,"",0,[6656]
91,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire3",228,551,91,1,1,0,1,74,"",0,[6661]
92,"Metadata/Items/MapFragments/CurrencyBreachFragmentFire4",228,668,92,1,1,0,1,74,"",0,[6666]
93,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold2",329,433,93,1,1,0,1,74,"",0,[6657]
94,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold3",329,551,94,1,1,0,1,74,"",0,[6662]
95,"Metadata/Items/MapFragments/CurrencyBreachFragmentCold4",329,668,95,1,1,0,1,74,"",0,[6667]
96,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning2",430,433,96,1,1,0,1,74,"",0,[6658]
97,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning3",430,551,97,1,1,0,1,74,"",0,[6663]
98,"Metadata/Items/MapFragments/CurrencyBreachFragmentLightning4",430,668,98,1,1,0,1,74,"",0,[6668]
99,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical2",532,433,99,1,1,0,1,74,"",0,[6659]
100,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical3",532,551,100,1,1,0,1,74,"",0,[6664]
101,"Metadata/Items/MapFragments/CurrencyBreachFragmentPhysical4",532,668,101,1,1,0,1,74,"",0,[6669]
102,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos2",633,433,102,1,1,0,1,74,"",0,[6660]
103,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos3",633,551,103,1,1,0,1,74,"",0,[6665]
104,"Metadata/Items/MapFragments/CurrencyBreachFragmentChaos4",633,668,104,1,1,0,1,74,"",0,[6670]
105,"Metadata/Items/Scarabs/ScarabBlight1",68,774,105,1,1,0,2,75,"",0,[8613]
106,"Metadata/Items/Scarabs/ScarabBlight2",169,774,106,1,1,0,2,75,"",0,[8614]
107,"Metadata/Items/Scarabs/ScarabBlight3",270,774,107,1,1,0,2,75,"",0,[8615]
108,"Metadata/Items/Scarabs/ScarabBlight4",370,774,108,1,1,0,2,75,"",0,[8616]
109,"Metadata/Items/Scarabs/ScarabBreach4",793,677,109,1,1,0,2,75,"",0,[8556]
110,"Metadata/Items/Scarabs/ScarabMaps4",793,287,110,1,1,0,2,75,"",0,[8560]
