"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]"
0,"ignited","You're on fire","","","Ignited",[8077],"",13,"","","",1,22,2,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[8077],[14561],"","","","","","",[]
1,"chilled","You are slowed","","","Chilled",[8413],1,13,"","","",1,1,3,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[8413],[14562],"","",1,1,"","",[]
2,"frozen","Frozen solid","","","Frozen",[12437],1,13,"","","",1,22,4,"","",2,"",1,1,"",0,"","FreezeBuff","","","","","",4,"","",0,[],"","",[],"",[],[],[12437],"[14563,1999]","","","",1,"","",[]
3,"shocked","You take up to 50% increased Damage","","","Shocked",[477],"",13,"","","",1,2,5,"","",2,"",1,1,"",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[477],[14564],"","",1,1,"","",[]
4,"sprinting","Increased movement velocity","",1,"Faster Run",[177],1,2,"","","","",22,7,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[]
5,"flask_effect_life","",1,"","Healing",[7698],1,5,"","","","",22,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[7698],[],"","","","","","",[]
6,"grace_period","You can't be damaged","",1,"Grace Period","[140,861,1304,8164,2975,6829,6828]",1,2,"","","","",22,8,1,"",16,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[140,861,1304,8164,2975,6829,6828]",[],"","","","","","",[]
7,"god_mode","You cannot be damaged","",1,"Invulnerability",[140],1,3,"","","","",22,9,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[140],[],"","","","","","",[]
8,"experience","Increased experience for 30 seconds","",1,"Increased Experience",[157],1,2,"","","","",22,10,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[157],[],"","","","","","",[]
9,"flask_effect_mana","",1,"","Regenerating Mana",[7699],1,5,"","","","",14,0,1,"",4,"",1,"",1,0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],[7699],[],"","","","","","",[]
10,"poison","You take chaos damage","","","Poisoned",[8078],1,1,1,"","",1,22,11,"",1,2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","",[],"",[],[],[8078],[14565],"",1,"","","","",[]
11,"blood_rage","Taking Physical Damage over time based on Life and Energy Shield, while increasing Attack Speed and Life Leech. Killing an enemy refreshes the buff duration and can grant a Frenzy Charge.","","","Blood Rage","[70,3094,2566,3060,1352,12801,3114]",1,2,"","","",1,22,13,1,"",1,"",1,1,"",0,"","BloodRageBuff","","","","","",4,"","",0,[],"","",[],"",[454],[],"[70,3094,2566,3060,1352,12801,3114,454]",[],"","","","","","",[]
