"rownum","InfluenceMod","UpgradedMod","bool"
0,14223,24016,1
1,14224,24017,1
2,14225,14226,""
3,14226,24018,1
4,14227,14228,""
5,14228,24019,1
6,14229,14230,""
7,14230,24020,1
8,14231,24021,1
9,14233,24022,1
10,14235,14236,""
11,14236,24023,1
12,14237,14238,""
13,14238,24024,1
14,14239,24025,1
15,14240,14241,""
16,14241,24026,1
17,14242,14243,""
18,14243,24027,1
19,14244,14245,""
20,14245,24028,1
21,14246,14247,""
22,14247,24029,1
23,14248,14249,""
24,14249,24030,1
25,14250,14251,""
26,14251,24031,1
27,14252,14253,""
28,14253,24032,1
29,14254,14255,""
30,14255,24033,1
31,14256,14257,""
32,14257,24034,1
33,14258,14259,""
34,14259,24035,1
35,20175,20176,""
36,20176,24036,1
37,20251,20252,""
38,20252,24037,1
39,20253,24038,1
40,20257,20258,""
41,20258,24041,1
42,20259,24042,1
43,20260,20261,""
44,20261,24043,1
45,20262,20263,""
46,20263,24044,1
47,20264,20265,""
48,20265,24045,1
49,20266,24046,1
50,20267,24047,1
51,20268,20269,""
52,20269,20270,""
53,20270,24048,1
54,20271,20272,""
55,20272,24049,1
56,20273,24050,1
57,20274,20275,""
58,20275,24051,1
59,20276,20277,""
60,20277,24052,1
61,20278,24053,1
62,20279,20280,""
63,20280,24054,1
64,20281,24055,1
65,20282,24056,1
66,20283,24057,1
67,20284,20285,""
68,20285,24058,1
69,20286,24059,1
70,20287,20288,""
71,20288,24060,1
72,20289,20290,""
73,20290,24061,1
74,20291,20292,""
75,20292,24062,1
76,20293,20294,""
77,20294,24063,1
78,20295,20296,""
79,20296,24064,1
80,20297,24066,1
81,20298,24067,1
82,20299,20300,""
83,20300,24068,1
84,20301,20302,""
85,20302,24069,1
86,20303,20304,""
87,20304,24070,1
88,20305,20306,""
89,20306,24071,1
90,14156,14157,""
91,14157,14158,""
92,14158,24072,1
93,14159,14160,""
94,14160,14161,""
95,14161,24073,1
96,14162,14163,""
97,14163,24074,1
98,14164,14165,""
99,14165,14166,""
100,14166,24075,1
101,14167,14168,""
102,14168,14169,""
103,14169,24076,1
104,14173,14174,""
105,14174,14175,""
106,14175,24078,1
107,14176,14177,""
108,14177,14178,""
109,14178,24079,1
110,14179,14180,""
111,14180,14181,""
112,14181,24080,1
113,14182,14183,""
114,14183,14184,""
115,14184,24081,1
116,14185,14186,""
117,14186,14187,""
118,14187,24082,1
119,14188,14189,""
120,14189,14190,""
121,14190,24083,1
122,14191,14192,""
123,14192,24084,1
124,14193,24085,1
125,14194,14195,""
126,14195,14196,""
127,14196,24086,1
128,14197,14198,""
129,14198,14199,""
130,14199,24087,1
131,14200,14201,""
132,14201,14202,""
133,14202,24088,1
134,14203,14204,""
135,14204,14205,""
136,14205,24089,1
137,14206,14207,""
138,14207,14208,""
139,14208,24090,1
140,14209,14210,""
141,14210,24091,1
142,14211,14212,""
143,14212,24092,1
144,14213,14214,""
145,14214,24093,1
146,14215,14216,""
147,14216,14217,""
148,14217,24094,1
149,14218,14219,""
150,14219,14220,""
151,14220,24095,1
152,14221,24096,1
153,14222,24097,1
154,20064,20065,""
155,20065,24098,1
156,20171,20172,""
157,20172,24099,1
158,20177,20178,""
159,20178,24101,1
160,20179,24102,1
161,20180,20181,""
162,20181,24103,1
163,20182,20183,""
164,20183,24104,1
165,20184,24105,1
166,20185,20186,""
167,20186,20187,""
168,20187,24106,1
169,20188,20189,""
170,20189,20190,""
171,20190,24107,1
172,20191,20192,""
173,20192,20193,""
174,20193,24108,1
175,20194,24109,1
176,20195,20196,""
177,20196,24110,1
178,20197,20198,""
179,20198,20199,""
180,20199,24111,1
181,20200,20201,""
182,20201,24112,1
183,20202,24113,1
184,20203,20204,""
185,20204,20205,""
186,20205,24114,1
187,20206,20207,""
188,20207,24115,1
189,20208,24116,1
190,20209,20210,""
191,20210,20211,""
192,20211,24117,1
193,20212,20213,""
194,20213,24118,1
195,20214,20215,""
196,20215,24119,1
197,20216,24120,1
198,20217,24121,1
199,20218,20220,""
200,20220,24122,1
201,20222,20223,""
202,20223,24124,1
203,20224,20225,""
204,20225,24125,1
205,20226,20227,""
206,20227,24126,1
207,20228,20229,""
208,20229,24127,1
209,20230,20231,""
210,20231,20232,""
211,20232,24128,1
212,20233,20234,""
213,20234,20235,""
214,20235,24129,1
215,20236,20237,""
216,20237,20238,""
217,20238,24130,1
218,20239,20240,""
219,20240,20241,""
220,20241,24131,1
221,20242,20243,""
222,20243,20244,""
223,20244,24132,1
224,20245,24133,1
225,20246,20247,""
226,20247,24134,1
227,20248,24135,1
228,20249,24136,1
229,20250,24137,1
230,14093,14094,""
231,14094,14095,""
232,14095,24138,1
233,14096,14097,""
234,14097,14098,""
235,14098,24139,1
236,14099,14100,""
237,14100,14101,""
238,14101,24140,1
239,14102,24141,1
240,14103,14104,""
241,14104,14105,""
242,14105,24142,1
243,14106,14107,""
244,14107,14108,""
245,14108,24143,1
246,14109,14110,""
247,14110,14111,""
248,14111,24144,1
249,14112,24145,1
250,14117,14118,""
251,14118,14119,""
252,14119,24148,1
253,14120,14121,""
254,14121,14122,""
255,14122,24149,1
256,14123,14124,""
257,14124,14125,""
258,14125,24150,1
259,14126,14127,""
260,14127,14128,""
261,14128,24151,1
262,14129,14130,""
263,14130,14131,""
264,14131,24152,1
265,14132,14133,""
266,14133,14134,""
267,14134,24153,1
268,14135,14136,""
269,14136,14137,""
270,14137,24154,1
271,14138,14139,""
272,14139,24155,1
273,14142,14143,""
274,14143,14144,""
275,14144,24156,1
276,14145,14146,""
277,14146,24157,1
278,14147,14148,""
279,14148,14149,""
280,14149,24158,1
281,14150,14151,""
282,14151,14152,""
283,14152,24159,1
284,14153,14154,""
285,14154,14155,""
286,14155,24160,1
287,17582,17583,""
288,17583,24161,1
289,17596,17597,""
290,17597,24162,1
291,17611,17612,""
292,17612,24163,1
293,17627,17628,""
294,17628,24164,1
295,20055,20056,""
296,20056,20057,""
297,20057,24165,1
298,20100,20101,""
299,20101,24166,1
300,20104,20105,""
301,20105,24168,1
302,20106,20107,""
303,20107,24169,1
304,20108,20109,""
305,20109,24170,1
306,20110,24171,1
307,20111,24172,1
308,20112,20113,""
309,20113,20114,""
310,20114,24173,1
311,20115,20116,""
312,20116,20117,""
313,20117,24174,1
314,20118,24175,1
315,20119,20120,""
316,20120,20121,""
317,20121,24176,1
318,20122,20123,""
319,20123,20124,""
320,20124,24177,1
