"rownum","AreaLevel","Scale"
0,1,30
1,2,31
2,3,32
3,4,33
4,5,34
5,6,35
6,7,36
7,8,37
8,9,38
9,10,40
10,11,41
11,12,42
12,13,43
13,14,44
14,15,45
15,16,46
16,17,47
17,18,48
18,19,49
19,20,50
20,21,51
21,22,52
22,23,53
23,24,54
24,25,55
25,26,57
26,27,58
27,28,59
28,29,60
29,30,61
30,31,62
31,32,63
32,33,64
33,34,65
34,35,66
35,36,67
36,37,68
37,38,69
38,39,71
39,40,73
40,41,75
41,42,76
42,43,78
43,44,80
44,45,82
45,46,84
46,47,86
47,48,88
48,49,90
49,50,91
50,51,93
51,52,95
52,53,97
53,54,99
54,55,101
55,56,103
56,57,105
57,58,106
58,59,109
59,60,110
60,61,112
61,62,114
62,63,116
63,64,118
64,65,120
65,66,121
66,67,124
67,68,135
68,69,142
69,70,150
70,71,158
71,72,165
72,73,176
73,74,187
74,75,199
75,76,210
76,77,221
77,78,236
78,79,244
79,80,251
80,81,259
81,82,266
82,83,273
83,84,273
84,85,273
85,86,273
86,87,273
87,88,273
88,89,273
89,90,273
90,91,273
91,92,273
92,93,273
93,94,273
94,95,273
95,96,273
96,97,273
97,98,273
98,99,273
99,100,273
