"rownum","Id","Active_AOFiles","Idle_AOFiles","[string]","[string]","i32"
0,"FootprintsFire","[""Metadata/Effects/Microtransactions/foot_prints/fire/firefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/firefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/firefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/firefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/fire/town_idle/firefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/town_idle/firefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/town_idle/firefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/fire/town_idle/firefootprint_04.ao""]",[],[],1
1,"FootprintsLightning","[""Metadata/Effects/Microtransactions/foot_prints/lightning/lightningfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/lightningfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/lightningfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/lightningfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/lightning/town_idle/lightningfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/town_idle/lightningfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/town_idle/lightningfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/lightning/town_idle/lightningfootprint_04.ao""]",[],[],2
2,"FootprintsIce","[""Metadata/Effects/Microtransactions/foot_prints/ice/icefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/icefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/icefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/icefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/ice/town_idle/icefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/town_idle/icefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/town_idle/icefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/ice/town_idle/icefootprint_04.ao""]",[],[],3
3,"FootprintsBlack","[""Metadata/Effects/Microtransactions/foot_prints/black/blackfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/blackfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/blackfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/blackfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/black/town_idle/blackfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/town_idle/blackfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/town_idle/blackfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/black/town_idle/blackfootprint_04.ao""]",[],[],4
4,"FootprintsVampiric","[""Metadata/Effects/Microtransactions/foot_prints/vampiric/vampiricfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/vampiric/vampiricfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/vampiric/vampiricfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/vampiric/town_idle/vampiricfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/vampiric/town_idle/vampiricfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/vampiric/town_idle/vampiricfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/vampiric/town_idle/vampiricfootprint_04.ao""]",[],[],5
5,"FootprintsHoly","[""Metadata/Effects/Microtransactions/foot_prints/holy/holyfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/holy/holyfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/holy/holyfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/holy/holyfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/holy/town_idle/holyfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/holy/town_idle/holyfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/holy/town_idle/holyfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/holy/town_idle/holyfootprint_04.ao""]",[],[],6
6,"FootprintsPlague","[""Metadata/Effects/Microtransactions/foot_prints/plague/plaguefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/plague/plaguefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/plague/plaguefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/plague/plaguefootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/plague/town_idle/plaguefootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/plague/town_idle/plaguefootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/plague/town_idle/plaguefootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/plague/town_idle/plaguefootprint_04.ao""]",[],[],7
7,"FootprintsBlood","[""Metadata/Effects/Microtransactions/foot_prints/blood/bloodfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/blood/bloodfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/blood/bloodfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/blood/bloodfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/blood/town_idle/bloodfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/blood/town_idle/bloodfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/blood/town_idle/bloodfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/blood/town_idle/bloodfootprint_04.ao""]",[],[],8
8,"FootprintsDemigod","[""Metadata/Effects/Microtransactions/foot_prints/demigod/demigodfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/demigod/demigodfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/demigod/demigodfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/demigod/demigodfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/demigod/town_idle/demigodfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/demigod/town_idle/demigodfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/demigod/town_idle/demigodfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/demigod/town_idle/demigodfootprint_04.ao""]",[],[],9
9,"FootprintsSilver","[""Metadata/Effects/Microtransactions/foot_prints/silver/silverfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/silver/silverfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/silver/silverfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/silver/silverfootprint_04.ao""]","[""Metadata/Effects/Microtransactions/foot_prints/silver/town_idle/silverfootprint_01.ao"",""Metadata/Effects/Microtransactions/foot_prints/silver/town_idle/silverfootprint_02.ao"",""Metadata/Effects/Microtransactions/foot_prints/silver/town_idle/silverfootprint_03.ao"",""Metadata/Effects/Microtransactions/foot_prints/silver/town_idle/silverfootprint_04.ao""]",[],[],10
