"rownum","Id","WitnessesRequired","AreaLevel","i32","i32","BaseItemType","i32","MinMapTier","i32","i32","WitnessAreas","i32","i32","bool","[rid]","CompletionAchievements"
0,"Void1",4,83,974,4,8881,225,0,2334,1100,"[1235,1237,1236,1234]",1211,2298,1,[],[8796]
1,"Void2",4,83,975,4,8882,225,0,2334,1101,"[1721,1720,1718,1719]",1211,2299,1,[],[8797]
2,"Void3",4,83,976,4,8883,225,0,2334,1102,"[446,444,443,445]",1211,2300,1,[],[8798]
3,"Void4",4,83,977,4,8884,225,0,2334,1103,"[1065,1067,1068,1069]",1211,2301,1,[],[8799]
4,"Void5",5,83,978,5,8885,225,0,2334,1104,"[442,1066,746,1238,1271]",1211,2349,1,[],[8800]
5,"Void6",4,83,1162,4,8886,225,0,2334,1161,"[1722,1723,1724,1725]",1211,2351,1,[],[8801]
6,"Atlas1",3,73,979,2,8887,225,6,2335,1019,[],1211,2302,"",[],[]
7,"Atlas2",4,75,980,2,8888,979,8,2335,1019,[],1211,2303,"",[],[]
8,"Atlas3",5,78,981,3,8889,980,10,2335,1019,[],1211,2304,"",[],[]
9,"Atlas4",6,80,982,3,8890,981,12,2335,1019,[],1211,2305,"",[],[]
10,"Atlas5",10,83,983,10,8891,982,14,2335,1019,[],1084,2350,"",[],[]
