"rownum","ItemVisualIdentityKey","WorldAreasKey","WordsKey","FlavourTextKey","HasGuildCharacter","GuildCharacter","Name","IsDropDisabled"
0,6949,1153,112,79,"","g","Vaults of Atziri",""
1,7900,1131,163,149,"","Ç","Maelstrom of Chaos",""
2,7919,1187,167,153,"","Å","The Coward's Trial",""
3,7962,1204,169,159,"","Ô","Acton's Nightmare",""
4,7995,1173,199,191,"","ß","Poorjoy's Asylum",""
5,8012,1160,222,209,"","À","Mao Kun",""
6,8016,1209,226,213,"","#","Oba's Cursed Trove",""
7,8076,1143,229,216,"","$","Olmec's Sanctum",""
8,8077,1162,230,217,1,"","Untainted Paradise",""
9,8230,1211,316,303,"","¿","Death and Taxes",""
10,8396,1103,378,394,"","È","Whakawairua Tuahu",""
11,9074,1190,401,417,1,"Ù","Hall of Grandmasters",""
12,9075,1157,602,577,1,"²","The Vinktar Square",""
13,10343,1145,658,806,"","æ","Caer Blaidd, Wolfpack's Den",""
14,10412,1105,715,893,1,"™","The Perandus Manor",1
15,10729,1176,799,1049,"","Õ","The Putrid Cloister",""
16,10730,1133,801,1051,"","Ð","Hallowed Ground",""
17,10957,1241,943,1465,1,"","The Beachhead",""
18,10958,1242,943,1465,1,"","The Beachhead",""
19,10959,1243,943,1465,1,"","The Beachhead",""
20,10961,1165,945,1486,"","^","The Twilight Temple",""
21,10962,1115,949,1487,1,"‹","Doryani's Machinarium",""
22,10963,1141,953,1488,"","›","Pillars of Arun",""
23,11500,443,1173,1991,1,"","Altered Distant Memory",""
24,11501,444,1174,1992,1,"","Augmented Distant Memory",""
25,11502,445,1175,1993,1,"","Twisted Distant Memory",""
26,11503,446,1176,1994,1,"","Rewritten Distant Memory",""
27,11504,442,1177,1995,1,"","Cortex",""
28,10960,1244,1264,1465,1,"","Infused Beachhead",""
29,11505,442,1178,1995,1,"","Cortex",""
30,10964,1141,954,1488,1,"","Pillars of Arun",""
31,7996,1173,200,191,1,"","Poorjoy's Asylum",""
