"rownum","Mod","TiersWhitelist","TransformAchievement","CorrectGroups"
0,24654,[1],"","[""MaximumLifeIncreasePercent""]"
1,24655,[2],"","[""MaximumLifeIncreasePercent""]"
2,24656,[3],"","[""MaximumLifeIncreasePercent""]"
3,24657,[4],"","[""MaximumLifeIncreasePercent""]"
4,24658,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
5,24659,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
6,24660,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
7,24661,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
8,24662,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
9,24663,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
10,24664,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
11,24665,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
12,24666,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
13,24667,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
14,24668,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
15,24669,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
16,24670,[1],8327,"[""HellscapeDownsideCannotEvade"",""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
17,24671,[2],8327,"[""HellscapeDownsideCannotEvade"",""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
18,24672,[3],8327,"[""HellscapeDownsideCannotEvade"",""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
19,24673,[4],8327,"[""HellscapeDownsideCannotEvade"",""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
20,24674,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
21,24675,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
22,24676,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
23,24677,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
24,24678,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
25,24679,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
26,24680,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
27,24681,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
28,24682,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
29,24683,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
30,24684,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
31,24685,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
32,24686,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
33,24687,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
34,24688,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
35,24689,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
36,24690,[1],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
37,24691,[2],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
38,24692,[3],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
39,24693,[4],8327,"[""DefencesPercent"",""HellscapeDownsideReducedGlobalDefences""]"
40,24694,[3],"",[]
41,24695,[4],"",[]
42,24696,[3],"",[]
43,24697,[4],"",[]
44,24698,[3],"",[]
45,24699,[4],"",[]
46,24700,[3],"",[]
47,24701,[4],"",[]
48,24702,[3],"",[]
49,24703,[4],"",[]
50,24704,[3],"",[]
51,24705,[4],"",[]
52,24706,[3],"",[]
53,24707,[4],"",[]
54,24708,[3],"",[]
55,24709,[4],"",[]
56,24710,"[2,3,4]","",[]
57,24711,[3],"",[]
58,24712,[4],"",[]
59,24713,[2],"",[]
60,24714,[3],"",[]
61,24715,[4],"",[]
62,24716,[3],"",[]
63,24717,[4],"",[]
64,24718,[2],"",[]
65,24719,[3],"",[]
66,24720,[4],"",[]
67,24721,[2],"",[]
68,24722,[3],"",[]
69,24723,[4],"",[]
70,24724,[2],"",[]
71,24725,[3],"",[]
72,24726,[4],"",[]
73,24727,[2],"",[]
74,24728,[3],"",[]
75,24729,[4],"",[]
76,24730,[2],"",[]
77,24731,[3],"",[]
78,24732,[4],"",[]
79,24733,"[2,3,4]","",[]
80,24734,[2],"","[""DealNoChaosDamage"",""ChaosResistancePenetration"",""IncreasedChaosDamage""]"
81,24735,[3],"","[""DealNoChaosDamage"",""ChaosResistancePenetration"",""IncreasedChaosDamage""]"
82,24736,[4],"","[""DealNoChaosDamage"",""ChaosResistancePenetration"",""IncreasedChaosDamage""]"
83,24737,[2],"","[""DealNoChaosDamage"",""ChaosResistancePenetration"",""IncreasedChaosDamage""]"
84,24738,[3],"","[""DealNoChaosDamage"",""ChaosResistancePenetration"",""IncreasedChaosDamage""]"
85,24739,[4],"","[""DealNoChaosDamage"",""ChaosResistancePenetration"",""IncreasedChaosDamage""]"
86,24740,[2],"",[]
87,24741,[3],"",[]
88,24742,[4],"",[]
89,24743,[2],"",[]
90,24744,[3],"",[]
91,24745,[4],"",[]
92,24746,"[3,4]","",[]
93,24747,"[3,4]","",[]
94,24748,"[3,4]","",[]
95,24749,[3],"",[]
96,24750,[4],"",[]
97,24751,"[3,4]",8326,[]
98,24752,"[3,4]",8326,[]
99,24753,"[3,4]",8326,[]
100,24754,"[3,4]",8326,[]
101,24755,"[3,4]",8326,[]
102,24756,"[3,4]",8326,[]
103,24757,"[3,4]",8326,[]
104,24758,"[3,4]",8326,[]
105,24759,"[3,4]",8326,[]
106,24760,"[3,4]",8326,[]
107,24761,"[3,4]",8326,[]
108,24762,[2],"","[""HellscapeDownsideCannotEvade""]"
109,24763,[3],"","[""HellscapeDownsideCannotEvade""]"
110,24764,[4],"","[""HellscapeDownsideCannotEvade""]"
111,24765,[3],"",[]
112,24766,[4],"",[]
113,24767,[2],"",[]
114,24768,[3],"",[]
115,24769,[4],"",[]
116,24770,[3],"",[]
117,24771,[4],"",[]
118,24772,[3],8327,[]
119,24773,[4],8327,[]
120,24774,[1],"",[]
121,24775,[2],"",[]
122,24776,[3],"",[]
123,24777,[4],"",[]
124,24778,[1],8421,[]
125,24779,[2],8421,[]
126,24780,[3],8421,[]
127,24781,[4],8421,[]
128,24782,[2],"",[]
129,24783,[3],"",[]
130,24784,[4],"",[]
131,24785,[1],8328,[]
132,24786,[2],8328,[]
133,24787,[3],8328,[]
134,24788,[4],8328,[]
135,24789,[1],8328,[]
136,24790,[2],8328,[]
137,24791,[3],8328,[]
138,24792,[4],8328,[]
139,24793,[1],8328,[]
140,24794,[2],8328,[]
141,24795,[3],8328,[]
142,24796,[4],8328,[]
143,24797,[1],8328,[]
144,24798,[2],8328,[]
145,24799,[3],8328,[]
146,24800,[4],8328,[]
147,24801,[1],8328,[]
148,24802,[2],8328,[]
149,24803,[3],8328,[]
150,24804,[4],8328,[]
151,24805,[2],8328,[]
152,24806,[3],8328,[]
153,24807,[4],8328,[]
154,24808,[2],8328,[]
155,24809,[3],8328,[]
156,24810,[4],8328,[]
157,24811,[2],"",[]
158,24812,[3],"",[]
159,24813,[4],"",[]
160,24814,[2],"",[]
161,24815,[3],"",[]
162,24816,[4],"",[]
163,24817,[2],"",[]
164,24818,[3],"",[]
165,24819,[4],"",[]
166,24820,[2],"",[]
167,24821,[3],"",[]
168,24822,[4],"",[]
169,24823,[2],"",[]
170,24824,[3],"",[]
171,24825,[4],"",[]
172,24826,[2],"",[]
173,24827,[3],"",[]
174,24828,[4],"",[]
175,24829,[2],"",[]
176,24830,[3],"",[]
