"rownum","Id","rid","[rid]","rid","BK2File"
0,"ProxyKey1",0,[12],5651,"Art/Videos/ChinaSkillVideos/Guardian_Lightningtendrils+eleprolif.BK2"
1,"ProxyKey2",7,[12],5521,"Art/Videos/ChinaSkillVideos/Guardian_Clarity.BK2"
2,"ProxyKey3",10,[12],5501,"Art/Videos/ChinaSkillVideos/Guardian_Firestorm.BK2"
3,"ProxyKey4",2,[12],5738,"Art/Videos/ChinaSkillVideos/Guardian_Lightningtendrils+eleprolif+stormBarrier.BK2"
4,"ProxyKey5",3,"[11,12]",5542,"Art/Videos/ChinaSkillVideos/HeirophantGuard_FlameTotem.BK2"
5,"ProxyKey6",8,"[11,12]",5434,"Art/Videos/ChinaSkillVideos/HeirophantGuard_FlameTotem+LightningDamage.BK2"
6,"ProxyKey7",0,[11],5705,"Art/Videos/ChinaSkillVideos/Heirophant_Frostbolt+eleprolif.BK2"
7,"ProxyKey8",7,[11],5670,"Art/Videos/ChinaSkillVideos/Hierophant_FlameDash.BK2"
8,"ProxyKey9",10,[11],5397,"Art/Videos/ChinaSkillVideos/Heirophant_IceNova.BK2"
9,"ProxyKey10",2,[11],5730,"Art/Videos/ChinaSkillVideos/Heirophant_Frostbolt+Eleprolif+surge.BK2"
10,"ProxyKey11",0,[10],5629,"Art/Videos/ChinaSkillVideos/Inquisitor_Moltenstrike+Eleprolif.BK2"
11,"ProxyKey12",3,[10],5707,"Art/Videos/ChinaSkillVideos/Inquisitor_AncestralProtector.BK2"
12,"ProxyKey13",8,[10],5425,"Art/Videos/ChinaSkillVideos/Inquisitor_AncestralProtector+FireDamage.BK2"
13,"ProxyKey14",7,[10],5398,"Art/Videos/ChinaSkillVideos/Inquisitor_LeapSlam.BK2"
14,"ProxyKey15",10,[10],5423,"Art/Videos/ChinaSkillVideos/Inquisitor_StaticStrike.BK2"
15,"ProxyKey16",2,[10],5741,"Art/Videos/ChinaSkillVideos/Inquisitor_MoltenStrike+eleprolif+AncestralCall.BK2"
16,"ProxyKey17",2,[15],5729,"Art/Videos/ChinaSkillVideos/Champion_Molten+Bleed+Onslaught.BK2"
17,"ProxyKey18",0,"[14,15]",5629,"Art/Videos/ChinaSkillVideos/SlayerChampion_MoltenStrike+Bleed.BK2"
18,"ProxyKey19",8,[14],5425,"Art/Videos/ChinaSkillVideos/Gladiator_Vigilant+FireDamage.BK2"
19,"ProxyKey20",3,[14],5672,"Art/Videos/ChinaSkillVideos/Gladiator_Vigilant.BK2"
20,"ProxyKey21",2,[14],5741,"Art/Videos/ChinaSkillVideos/Gladiator_Molten+Bleed+AncestralCall.BK2"
21,"ProxyKey87",8,[15],5425,"Art/Videos/ChinaSkillVideos/Champion_Protector+FireDamage.BK2"
22,"ProxyKey22",3,"[13,15]",5707,"Art/Videos/ChinaSkillVideos/SlayerChampion_AncestralProtector.BK2"
23,"ProxyKey23",7,"[13,14,15]",5398,"Art/Videos/ChinaSkillVideos/SlayerGladChamp_LeapSlam.BK2"
24,"ProxyKey24",10,"[13,14,15]",5408,"Art/Videos/ChinaSkillVideos/SlayerGladChamp_Lacerate.BK2"
25,"ProxyKey25",0,[13],5404,"Art/Videos/ChinaSkillVideos/Slayer_Cleave+Bleed.BK2"
26,"ProxyKey26",8,[13],5724,"Art/Videos/ChinaSkillVideos/Slayer_Protector+Maim.BK2"
27,"ProxyKey27",2,[13],5728,"Art/Videos/ChinaSkillVideos/Slayer_Cleave+Bleed+Ruthless.BK2"
28,"ProxyKey28",0,"[2,3]",5629,"Art/Videos/ChinaSkillVideos/ChieftanBersek_MoltenStrike+Ruthless.BK2"
29,"ProxyKey29",3,"[2,3]",5707,"Art/Videos/ChinaSkillVideos/ChieftanBeserk_AncestralProtector.BK2"
30,"ProxyKey30",2,"[2,3]",5741,"Art/Videos/ChinaSkillVideos/ChieftanBeserk_MoltenStrike+Ruthless+AncestralCall.BK2"
31,"ProxyKey31",8,"[2,3]",5425,"Art/Videos/ChinaSkillVideos/ChieftainBerserker_AncestralProtector+FireDamage.BK2"
32,"ProxyKey32",7,"[1,2,3]",5398,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_LeapSlam.BK2"
33,"ProxyKey33",10,"[1,2,3]",5704,"Art/Videos/ChinaSkillVideos/JuggernautChiefBeserk_Sunder.BK2"
34,"ProxyKey34",0,[1],5403,"Art/Videos/ChinaSkillVideos/Juggernaut_Slam+Ruthless.BK2"
35,"ProxyKey35",3,[1],5672,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike.BK2"
36,"ProxyKey36",2,[1],5717,"Art/Videos/ChinaSkillVideos/Juggernaut_+Slam+Bleed+Ruthless.BK2"
37,"ProxyKey86",8,[1],5425,"Art/Videos/ChinaSkillVideos/Juggernaut_VigilantStrike+FireDamage.BK2"
38,"ProxyKey37",0,[6],5415,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+surge.BK2"
39,"ProxyKey38",3,[6],5596,"Art/Videos/ChinaSkillVideos/Necromancer_SRS.BK2"
40,"ProxyKey39",8,[6],5492,"Art/Videos/ChinaSkillVideos/Necromancer_SRS+minionDamage.BK2"
41,"ProxyKey40",7,[6],5483,"Art/Videos/ChinaSkillVideos/Necromancer_SummonSkeletons.BK2"
42,"ProxyKey41",10,[6],5600,"Art/Videos/ChinaSkillVideos/Necromancer_SpiritOffering.BK2"
43,"ProxyKey42",0,[5],5697,"Art/Videos/ChinaSkillVideos/Occultist_Blight+Surge.BK2"
44,"ProxyKey43",3,[5],5695,"Art/Videos/ChinaSkillVideos/Occultist_Contagion.BK2"
45,"ProxyKey44",8,[5],5699,"Art/Videos/ChinaSkillVideos/Occultist_Contagion+Voidmanip.BK2"
46,"ProxyKey45",7,[5],5696,"Art/Videos/ChinaSkillVideos/Occultist_Wither(+blight).BK2"
47,"ProxyKey46",10,[5],5698,"Art/Videos/ChinaSkillVideos/Occultist_EssenseDrain.BK2"
48,"ProxyKey47",2,"[4,5]",5738,"Art/Videos/ChinaSkillVideos/Occultist_Blight+Surge+Barrier.BK2"
49,"ProxyKey89",2,[6],5718,"Art/Videos/ChinaSkillVideos/Necromancer_Zombie+Surge+LesserPoison.BK2"
50,"ProxyKey48",0,[4],5651,"Art/Videos/ChinaSkillVideos/Elementalist_Surge+Tendrils.BK2"
51,"ProxyKey49",3,[4],5690,"Art/Videos/ChinaSkillVideos/Elementalist_OrbofStorms.BK2"
52,"ProxyKey50",8,[4],5434,"Art/Videos/ChinaSkillVideos/Elementalist_OrbStorms+LightningDamage.BK2"
53,"ProxyKey51",7,[4],5482,"Art/Videos/ChinaSkillVideos/Elementalist_LightningWarp.BK2"
54,"ProxyKey52",10,[4],5508,"Art/Videos/ChinaSkillVideos/Elementalist_arc.BK2"
55,"ProxyKey53",0,[18],5671,"Art/Videos/ChinaSkillVideos/Assassin_FrostBlades+LessPoison.BK2"
56,"ProxyKey54",3,[18],5485,"Art/Videos/ChinaSkillVideos/Assassin_Riposte.BK2"
57,"ProxyKey55",8,[18],5431,"Art/Videos/ChinaSkillVideos/Assassin_Ripose+ColdDamage.BK2"
58,"ProxyKey56",7,[18],5412,"Art/Videos/ChinaSkillVideos/Assassin_WhirlingBlades.BK2"
59,"ProxyKey57",10,[18],5566,"Art/Videos/ChinaSkillVideos/Assassin_Reave.BK2"
60,"ProxyKey58",2,[18],5729,"Art/Videos/ChinaSkillVideos/Assassin_Frostblades+LessPoison+Onslaught.BK2"
61,"ProxyKey59",0,[17],5536,"Art/Videos/ChinaSkillVideos/Saboteur_FireTrap+LessPoison.BK2"
62,"ProxyKey60",3,[17],5534,"Art/Videos/ChinaSkillVideos/Saboteur_BearTrap.BK2"
63,"ProxyKey61",8,[17],5569,"Art/Videos/ChinaSkillVideos/Saboteur_BearTrap+Multitrap.BK2"
64,"ProxyKey62",7,[17],5670,"Art/Videos/ChinaSkillVideos/Saboteur_FlameDash.BK2"
65,"ProxyKey63",10,[17],5571,"Art/Videos/ChinaSkillVideos/Saboteur_LightningTrap.BK2"
66,"ProxyKey64",2,[17],5519,"Art/Videos/ChinaSkillVideos/Saboteur_Firetrap+LessPoison+EleProlif.BK2"
67,"ProxyKey65",0,[16],5539,"Art/Videos/ChinaSkillVideos/Trickster_Knives+LessPoison.BK2"
68,"ProxyKey66",3,[16],5695,"Art/Videos/ChinaSkillVideos/Trickster_Contagion.BK2"
69,"ProxyKey67",8,[16],5699,"Art/Videos/ChinaSkillVideos/Trickster_Contagion+Voidmanip.BK2"
70,"ProxyKey68",7,[16],5696,"Art/Videos/ChinaSkillVideos/Trickster_Wither.BK2"
71,"ProxyKey69",10,[16],5698,"Art/Videos/ChinaSkillVideos/Trickster_EssenceDrain.BK2"
72,"ProxyKey70",2,[16],5456,"Art/Videos/ChinaSkillVideos/Trickster_Knives+LessPoison+Pierce.BK2"
73,"ProxyKey71",0,[9],5424,"Art/Videos/ChinaSkillVideos/Deadeye_Splitarrow+Pierce.BK2"
74,"ProxyKey72",3,[9],5684,"Art/Videos/ChinaSkillVideos/Deadeye_SiegeBallista.BK2"
75,"ProxyKey73",10,[9],5507,"Art/Videos/ChinaSkillVideos/Deadeye_LA.BK2"
76,"ProxyKey74",2,[9],5739,"Art/Videos/ChinaSkillVideos/Deadeye_Split+Pierce+Volley.BK2"
77,"ProxyKey75",7,"[8,9]",5656,"Art/Videos/ChinaSkillVideos/PathfinderDeadeye_BlinkArrow.BK2"
78,"ProxyKey76",0,[8],5422,"Art/Videos/ChinaSkillVideos/Pathfinder_IceShot+Pierce.BK2"
79,"ProxyKey77",8,[8],5428,"Art/Videos/ChinaSkillVideos/Pathfinder_Puncture+LMP.BK2"
80,"ProxyKey78",10,[8],5490,"Art/Videos/ChinaSkillVideos/Pathfinder_RoA.BK2"
81,"ProxyKey79",2,[8],5743,"Art/Videos/ChinaSkillVideos/Pathfinder_Iceshot+Pierce+SpiritArcher.BK2"
82,"ProxyKey80",8,[9],5431,"Art/Videos/ChinaSkillVideos/Deadeye_SiegeBallista+ColdDamage.BK2"
83,"ProxyKey90",8,[7],5431,"Art/Videos/ChinaSkillVideos/Raider_Puncture+AddedCold.BK2"
84,"ProxyKey81",3,[7],5506,"Art/Videos/ChinaSkillVideos/Raider_puncture(melee).BK2"
85,"ProxyKey88",3,[8],5506,"Art/Videos/ChinaSkillVideos/Pathfinder_puncture(ranged).BK2"
86,"ProxyKey82",0,[7],5671,"Art/Videos/ChinaSkillVideos/Raider_Frostblades+Pierce.BK2"
87,"ProxyKey83",7,[7],5412,"Art/Videos/ChinaSkillVideos/Raider_WhirlingBlades.BK2"
88,"ProxyKey84",10,[7],5502,"Art/Videos/ChinaSkillVideos/Raider_LightningStrike.BK2"
