"rownum","Id","WordsKey","FlavourTextKey","MinLevel","ModsKeys","SpawnWeight","[i32]","AOFile","bool","[i32]","AppearanceChestsKey","ChestsKey","[rid]"
0,"UniqueChestTest1",361,0,0,"[7111,7122,7101]",0,[],"Metadata/Chests/StrongBoxes/ArmoryStrongBox.ao","",[],"",268,[]
1,"PerandusBank",367,382,20,"[7144,7133,7182,7190,7875]",0,[],"Metadata/Chests/StrongBoxes/PerandusBox.ao","",[],"",263,[7741]
2,"KaomsCache",368,383,20,"[7136,7130,7156,7189,7875]",60,[],"Metadata/Chests/StrongBoxes/KaomBox.ao","",[],"",250,[7741]
3,"EmpyreanApparatus",369,384,60,"[7137,7131,7198,7875]",40,[],"Metadata/Chests/StrongBoxes/MalachaisBox.ao","",[],"",253,[7741]
4,"ObaChest1",407,423,0,"[7188,7183]",0,[],"Metadata/Chests/StrongBoxes/JewellerStrongBox.ao","",[],"",263,[7741]
5,"ObaChest2",408,423,0,[7174],0,[],"Metadata/Chests/StrongBoxes/ArcanistStrongBox.ao","",[],"",247,[7741]
6,"ObaChest3",409,423,0,"[7173,7199]",0,[],"Metadata/Chests/StrongBoxes/GemcutterStrongBox.ao","",[],"",261,[7741]
7,"GrandmasterGemcutters",448,459,0,"[7200,7165,7177,8486]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",262,[]
8,"GrandmasterArcanists",449,459,0,"[7178,8486]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",249,[]
9,"GrandmasterCartographers",450,459,0,"[7176,7184,7192,7201,8486]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",258,[]
10,"GrandmasterOrnateStrongbox",451,459,0,"[7115,7106,7191,8486,7219]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",267,[]
11,"GrandmasterUniqueItem",452,459,0,"[7127,7108,7117,8486,7219]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",269,[]
12,"GrandmasterSameBaseType",453,459,0,"[7108,7117,8768,8486,7219]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",269,[]
13,"GrandmasterVaalVessel",454,459,0,"[7233,7108,7117,8764,8486,7219]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",269,[]
14,"GrandmasterLargeStrongbox",455,459,0,"[7116,7107,8486,7219]",0,[],"Metadata/Chests/StrongBoxes/OrnateStrongbox.ao",1,[],"",265,[]
15,"BarrelOfSpiders",460,464,30,"[8827,7239,7161]",100,[],"Metadata/Chests/Barrels/Barrel1.ao",1,[],347,268,[7741]
16,"DeshretsStorm",672,840,35,"[11932,7148,11934,7213,7208]",100,[],"Metadata/Chests/UniqueStrongboxes/Vase.ao","",[],"",251,[7741]
17,"AshesOfTheCondemned",673,841,40,"[7138,7147,7109,7121]",100,[],"Metadata/Chests/UniqueStrongboxes/BaroqueVase.ao","",[],"",268,[7741]
18,"MutewindCache",674,842,56,"[7150,11929,7110,7220]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",268,[7741]
19,"RedbladeCache",675,843,56,"[7149,11928,7110,7220]",30,[],"Metadata/Chests/UniqueStrongboxes/ChestMetal.ao","",[],"",268,[7741]
