"rownum","Id","Metadata","MiscAnimated"
0,0,"Metadata/MiscellaneousObjects/TrapNormal2",""
1,1,"Metadata/MiscellaneousObjects/PyroTrap",""
2,2,"Metadata/MiscellaneousObjects/PyroCausticTrap",""
3,3,"Metadata/MiscellaneousObjects/TrapBomb",""
4,4,"Metadata/MiscellaneousObjects/PyroColdTrap",""
5,5,"Metadata/MiscellaneousObjects/TrapRune",""
6,6,"Metadata/MiscellaneousObjects/TrapMalachaiRune",579
7,7,"Metadata/MiscellaneousObjects/TrapMaligaroFire",578
8,8,"Metadata/MiscellaneousObjects/TrapRunicGreen",766
9,9,"Metadata/MiscellaneousObjects/TrapRunicBlue",789
10,10,"Metadata/MiscellaneousObjects/TrapProphecyRed",""
11,11,"Metadata/MiscellaneousObjects/TrapFireRune",756
12,12,"Metadata/MiscellaneousObjects/TrapVisible",""
13,13,"Metadata/MiscellaneousObjects/SmokeTrap",""
14,14,"Metadata/MiscellaneousObjects/TrapPlace",""
15,15,"Metadata/MiscellaneousObjects/TrapNormal",""
16,16,"Metadata/MiscellaneousObjects/LightningTrap",""
17,17,"Metadata/MiscellaneousObjects/TrapCelestial",""
18,18,"Metadata/MiscellaneousObjects/TrapBlade",""
