"rownum","rid","rid","i32"
0,16142,16142,3
1,16143,16143,3
2,16139,16139,0
3,16140,16140,0
4,16141,16141,0
5,16144,16144,0
6,16145,216,0
7,16147,6202,0
8,16150,216,1
9,16151,216,2
10,16152,216,3
11,16153,11839,1
12,16071,11839,2
13,16154,172,1
14,16155,172,2
15,16156,15898,1
16,16157,15898,2
17,16169,16066,3
18,16167,16167,1
19,16168,16168,3
20,16129,16129,4
21,16130,16130,4
22,16131,16131,4
23,16160,16160,0
24,16161,16160,1
25,16162,16160,3
26,16164,16163,1
27,16165,16163,2
28,16166,16166,3
29,16158,16158,0
30,16159,16158,3
31,16146,16146,0
32,16148,16146,2
33,16149,16146,3
34,16072,16072,4
35,16171,16192,1
36,16172,16172,0
37,16170,16170,3
38,16173,16193,3
39,16181,16181,3
40,16182,16182,2
41,16183,16183,1
42,16184,16184,2
43,16185,16185,2
44,16213,16160,2
45,16220,16220,4
46,16219,16219,4
