"rownum","string","i32","i32","i32","i32","rid","[rid]"
0,"ElderInfluenceSpawnTentacleFiend1A",2,100,1,16,"",[14812]
1,"ElderInfluenceSpawnTentacleFiend1B",2,33,11,16,"","[14812,14990]"
2,"ElderInfluencePortalPack1A",2,100,1,16,"",[14985]
3,"ElderInfluencePortalPack1B",2,33,11,16,"","[14985,14990]"
4,"ElderInfluencePortalPack2A",2,100,1,16,"",[14986]
5,"ElderInfluencePortalPack2B",2,33,11,16,"","[14986,14990]"
6,"ElderInfluencePortalPack3A",2,100,1,16,"",[14987]
7,"ElderInfluencePortalPack3B",2,33,11,16,"","[14987,14990]"
8,"ElderInfluenceTentacleMinionPack1A",2,100,1,16,"",[14988]
9,"ElderInfluenceTentacleMinionPack1B",2,33,11,16,"","[14988,14990]"
10,"ElderInfluenceTentacleMinions1A",2,100,1,16,"",[14989]
11,"ElderInfluenceTentacleMinions1B",2,33,11,16,"","[14989,14990]"
12,"ShaperInfluenceSpawnAnomaly1_1",1,100,1,16,"",[14801]
13,"ShaperInfluenceSpawnAnomaly1_2",1,33,11,16,"","[14801,14802]"
14,"ShaperInfluenceSpawnAnomaly2_1",1,10,1,16,0,[14801]
15,"ShaperInfluenceSpawnAnomaly2_2",1,10,1,16,1,[14801]
16,"ShaperInfluenceSpawnAnomaly2_3",1,10,1,16,2,[14801]
17,"ShaperInfluenceSpawnAnomaly2_4",1,10,1,16,3,[14801]
18,"ShaperInfluenceSpawnGolems1_1_1",1,100,1,16,"",[14803]
19,"ShaperInfluenceSpawnGolems1_1_2",1,33,11,16,"","[14803,14802]"
20,"ShaperInfluenceSpawnGolems1_2_1",1,10,1,16,0,[14803]
21,"ShaperInfluenceSpawnGolems1_2_2",1,10,1,16,1,[14803]
22,"ShaperInfluenceSpawnGolems1_2_3",1,10,1,16,2,[14803]
23,"ShaperInfluenceSpawnGolems1_2_4",1,10,1,16,3,[14803]
24,"ShaperInfluenceSpawnGolems2_1_1",1,100,6,16,"",[14804]
25,"ShaperInfluenceSpawnGolems2_1_2",1,33,11,16,"","[14804,14802]"
26,"ShaperInfluenceSpawnGolems2_2_1",1,10,6,16,0,[14804]
27,"ShaperInfluenceSpawnGolems2_2_2",1,10,6,16,1,[14804]
28,"ShaperInfluenceSpawnGolems2_2_3",1,10,6,16,2,[14804]
29,"ShaperInfluenceSpawnGolems2_2_4",1,10,6,16,3,[14804]
30,"ShaperInfluenceSpawnGolems3_1_1",1,100,6,16,"",[14805]
31,"ShaperInfluenceSpawnGolems3_1_2",1,33,11,16,"","[14805,14802]"
32,"ShaperInfluenceSpawnGolems3_2_1",1,10,6,16,0,[14805]
33,"ShaperInfluenceSpawnGolems3_2_2",1,10,6,16,1,[14805]
34,"ShaperInfluenceSpawnGolems3_2_3",1,10,6,16,2,[14805]
35,"ShaperInfluenceSpawnGolems3_2_4",1,10,6,16,3,[14805]
36,"ShaperInfluenceSpawnGolems4_1_1",1,100,6,16,"",[14806]
37,"ShaperInfluenceSpawnGolems4_1_2",1,33,11,16,"","[14806,14802]"
38,"ShaperInfluenceSpawnGolems4_2_1",1,10,6,16,0,[14806]
39,"ShaperInfluenceSpawnGolems4_2_2",1,10,6,16,1,[14806]
40,"ShaperInfluenceSpawnGolems4_2_3",1,10,6,16,2,[14806]
41,"ShaperInfluenceSpawnGolems4_2_4",1,10,6,16,3,[14806]
42,"ShaperInfluenceSpawnVoidAgent1_1_1",1,40,6,16,"","[14809,14807]"
43,"ShaperInfluenceSpawnVoidAgent1_1_2",1,15,11,16,"","[14809,14807,14802]"
44,"ShaperInfluenceSpawnVoidAgent1_2_1",1,20,6,16,0,"[14809,14807]"
45,"ShaperInfluenceSpawnVoidAgent1_2_2",1,20,6,16,1,"[14809,14807]"
46,"ShaperInfluenceSpawnVoidAgent1_2_3",1,20,6,16,2,"[14809,14807]"
47,"ShaperInfluenceSpawnVoidAgent1_2_4",1,20,6,16,3,"[14809,14807]"
48,"ShaperInfluenceSpawnVoidAgent2_1_1",1,40,6,16,"","[14810,14808]"
49,"ShaperInfluenceSpawnVoidAgent2_1_2",1,15,11,16,"","[14810,14808,14802]"
50,"ShaperInfluenceSpawnVoidAgent2_2_1",1,20,6,16,0,"[14810,14808]"
51,"ShaperInfluenceSpawnVoidAgent2_2_2",1,20,6,16,1,"[14810,14808]"
52,"ShaperInfluenceSpawnVoidAgent2_2_3",1,20,6,16,2,"[14810,14808]"
53,"ShaperInfluenceSpawnVoidAgent2_2_4",1,20,6,16,3,"[14810,14808]"
54,"ShaperInfluenceMaelstromCell1_1",1,12,6,16,"","[14811,14801]"
55,"ShaperInfluenceMaelstromCell1_2",1,12,11,16,"","[14811,14809]"
56,"ShaperSuperInfluenceSpawn1",3,100,1,16,0,"[14801,14802,19538]"
57,"ShaperSuperInfluenceSpawn2",3,100,1,16,1,"[14801,14802,19538]"
58,"ShaperSuperInfluenceSpawn3",3,100,1,16,2,"[14801,14802,19538]"
59,"ShaperSuperInfluenceSpawn4",3,100,1,16,3,"[14801,14802,19538]"
