"rownum","BaseItemTypesKey","GrantedEffectsKey","Str","Dex","Int","GemTagsKeys","VaalVariant_BaseItemTypesKey","IsVaalVariant","Description","Consumed_ModsKey","GrantedEffectsKey2","MinionGlobalSkillLevelStat","SupportSkillName","bool","bool","AwakenedVariant","RegularVariant"
0,5396,0,0,0,100,"[11,25,5,4,14,0]",5605,"","","","","","",1,1,"",""
1,5605,2928,0,0,100,"[11,25,5,4,14,24,0]","",1,"","",0,"","",1,1,"",""
2,5397,58,0,0,100,"[11,25,4,14,1,38]",5614,"","","","","","",1,1,"",""
3,5437,5015,0,0,100,"[11,25,4,14,5]",5605,"","","","","","",1,1,"",""
4,5614,67,0,0,100,"[11,25,4,14,24,1,38]","",1,"","",58,"","",1,1,"",""
5,5398,96,100,0,0,"[9,25,13,14,22,35,40,7]","","","","","","","",1,1,"",""
6,5450,4983,100,0,100,"[11,25,4,14,5,1]","","","","","","","",1,1,"",""
7,5399,7797,0,100,0,"[10,25,22,14,30,13,2,7]","","","","","","","",1,1,"",""
8,5400,5001,0,60,40,"[10,25,13,14,30,33,7]","","","","","","","",1,1,"",""
9,5401,100,100,0,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
10,5402,7147,100,0,0,"[9,25,13,14,7]","","","","","","","",1,1,"",""
11,5635,102,100,0,0,"[9,25,13,14,24,33,7]","",1,"","","","","",1,1,"",""
12,5615,5070,0,0,0,"[25,4,5,22]","","","","","","","",1,1,"",""
13,5403,7854,100,0,0,"[9,25,13,14,40,7]",5617,"","","","","","",1,1,"",""
14,5617,7858,100,0,0,"[9,25,13,14,24,40,7]","",1,"","",7854,"","",1,1,"",""
15,5404,163,60,40,0,"[9,25,13,14,33,7]","","","","","","","",1,1,"",""
16,5405,184,100,0,0,"[9,25,13,14,22,35,33,7]","","","","","","","",1,1,"",""
17,5406,224,100,0,0,"[27,9,25,14,15]","","","","","","","",1,1,"",""
18,5407,234,0,100,0,"[10,25,13,7,36,33]",5623,"","","","","","",1,1,"",""
19,5623,7852,0,100,0,"[10,25,13,7,36,15,24,33]","",1,"","",234,"","",1,1,"",""
20,5408,5049,40,60,0,"[10,25,13,14,33,7]","","","","","","","",1,1,"",""
21,5409,242,0,100,0,"[10,25,13,5,7,36,0,1,2,14,45,6]","","","","","","","",1,1,"",""
22,5410,254,100,0,0,"[9,25,4,15,34]","","","","","","","",1,1,"",""
23,5611,256,100,0,0,"[9,25,4,15,24,34]","",1,"","",254,"","",1,1,"",""
24,5411,260,40,60,0,"[47,10,25,13,7,36]","","","","","","","",1,1,"",""
25,5412,271,0,60,40,"[10,25,13,22,35,7]","","","","","","","",1,1,"",""
26,5413,304,0,100,0,"[10,25,13,5,7,36,6]","","","","","","","",1,1,"",""
27,5416,310,0,60,40,"[10,25,4,14,0]",5616,"","","","","","",1,1,"",""
28,5616,7853,0,60,40,"[10,25,4,14,24,0]","",1,"","",310,"","",1,1,"",""
29,5417,7139,0,60,40,"[10,25,4,14,0]","","","","","","","",1,1,"",""
30,5418,7148,0,60,40,"[10,25,4,5,14,33]","","","","","","","",1,1,"",""
31,5419,328,0,100,0,"[10,25,13,5,6]","","","","","","","",1,1,"",""
32,5424,329,0,100,0,"[10,25,13,5,33,6]","","","","","","","",1,1,"",""
33,5425,516,100,0,0,"[0,33,9,16]","","","Supports any skill that hits enemies.",13290,"","","",1,1,433,""
34,5426,517,0,100,0,"[13,10,16]","","","Supports attack skills.",13385,"","","",1,1,"",""
35,5427,519,0,100,0,"[10,16,5]","","","Supports projectile skills.",13329,"","","",1,1,450,""
36,5428,521,0,100,0,"[10,16,5]","","","Supports projectile skills.",13317,"","","",1,1,"",""
37,5430,523,0,100,0,"[10,16,5]","","","Supports projectile skills.",13305,"","","",1,1,"",""
38,5431,525,0,100,0,"[1,10,16]","","","Supports any skill that hits enemies.",13294,"","","",1,1,443,""
39,5432,527,40,60,0,"[13,10,16]","","","Supports attack skills.",13296,"","","",1,1,"",""
40,5433,528,0,0,100,"[11,16,14]","","","Supports any skill with an area of effect.",13313,"","","",1,1,461,""
41,5434,530,0,0,100,"[2,11,16]","","","Supports any skill that hits enemies.",13393,"","","",1,1,455,""
42,5414,7788,0,40,60,"[11,25,4,14,1,15]",5619,"","","","","","",1,1,"",""
43,5619,7795,0,40,60,"[11,25,4,14,15,24,1]","",1,"","",7788,"","",1,1,"",""
44,5415,551,0,0,100,"[11,25,4,8]","","","","","",10250,"",1,1,"",""
45,5420,563,0,100,0,"[10,25,13,5,14,15,3,6]","","","","","","","",1,1,"",""
46,5435,575,0,0,100,"[11,25,4,14]","","","","","","","",1,1,"",""
47,5436,576,0,100,0,"[10,25,4,15,33]","","","","","","","",1,1,"",""
48,5438,580,0,0,100,"[11,25,4,15,0]","","","","","","","",1,1,"",""
49,5439,581,40,0,60,"[11,25,4,14,0]",5636,"","","","","","",1,1,"",""
50,5636,7866,40,0,60,"[11,25,4,14,0,24,15]","",1,"","",581,"","",1,1,"",""
51,5440,623,0,0,100,"[11,25,4,15,0]","","","","","","","",1,1,"",""
52,5441,624,0,0,100,"[11,25,4,14,0,1,2,38]","","","","","","","",1,1,"",""
53,5442,629,33,33,34,"[29,25,4]",5637,"","","","","","",1,1,"",""
54,5637,630,33,33,34,"[29,25,4,24]","",1,"","",629,"","",1,1,"",""
