"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsEnabled"
0,276,100,300,0,1
1,277,100,750,0,1
2,278,100,3750,0,1
3,239,100,1000,0,""
4,240,100,1000,0,""
5,241,100,1000,0,""
6,242,100,1000,0,""
7,243,100,1000,0,""
8,244,100,1000,0,""
9,245,100,1000,0,""
10,246,40,10000,19,""
11,247,40,10000,19,""
12,248,40,10000,19,""
13,249,40,10000,19,""
14,250,40,10000,19,""
15,251,40,10000,19,""
16,252,40,10000,19,""
17,253,40,10000,19,""
18,254,40,10000,19,""
19,255,10,100000,35,""
20,256,10,1000000,75,""
21,257,10,1000000,75,""
22,258,10,1000000,75,""
23,259,10,1000000,75,""
24,260,10,1000000,75,""
25,261,10,1000000,75,""
26,262,10,100000,35,""
27,263,10,100000,35,""
